                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4253,                 2.5503,                 5.4588,                 1.2362,                0.02666,                0.08614,                0.01173,                  0.008,                0.02809,                0.08643,                0.01213,                 0.0085,                 1.2995,                 2.0934,                 4.4824,                 1.1758,                0.06719,             3.2843e-05,             3.2843e-05
                      2,                 1.2921,                 2.2117,                 4.1885,                 1.1644,                0.05039,                0.08591,                0.03939,                 0.0277,                0.04765,                0.09008,                0.03971,                0.02796,                 1.2134,                  1.926,                 3.5825,                 1.1365,               0.033889,             6.5958e-05,             6.5958e-05
                      3,                 1.2134,                 1.9963,                 3.4967,                 1.1454,                 0.1019,                0.16624,                0.08417,                0.05802,                0.10414,                0.16508,                0.08472,                0.05635,                 1.1309,                 1.7442,                 2.9753,                 1.1003,             0.00058905,             9.8853e-05,             9.8853e-05
                      4,                 1.1228,                 1.8223,                 2.9089,                 1.0952,                0.14491,                0.23227,                0.12839,                0.09024,                 0.1424,                0.23099,                0.12824,                0.08429,                 1.0789,                 1.5893,                  2.558,                 1.0684,              9.901e-05,              9.901e-05,              9.901e-05
                      5,                 1.0829,                 1.7037,                 2.5341,                 1.0678,                0.28671,                0.23693,                0.17587,                0.12498,                0.28663,                0.23581,                0.17519,                0.11485,                 1.0269,                 1.4967,                 2.2697,                 1.0347,              9.901e-05,              9.901e-05,              9.901e-05
                      6,                 1.0447,                 1.6032,                 2.3306,                 1.0403,                0.36629,                0.24998,                0.20756,                0.15072,                0.36673,                0.24985,                0.20746,                0.13806,                0.99934,                 1.4428,                  2.113,                  1.012,              9.868e-05,              9.868e-05,              9.868e-05
                      7,                 1.0318,                 1.5924,                 2.1656,                 1.0287,                0.33231,                0.30129,                0.24361,                0.17579,                0.33075,                0.30011,                0.24362,                0.16036,                0.98632,                 1.4062,                 1.9753,                 0.9946,              9.835e-05,              9.835e-05,              9.835e-05
                      8,                 1.0255,                 1.5815,                 2.0846,                 1.0203,                 0.3757,                0.30927,                   0.27,                0.19719,                0.37383,                0.30798,                 0.2687,                0.17879,                0.97752,                 1.3813,                 1.8654,                0.99088,              9.802e-05,              9.802e-05,              9.802e-05
                      9,                0.99122,                 1.5161,                 1.9757,                 1.0048,                0.42167,                0.31848,                0.30168,                 0.2183,                0.42211,                0.31624,                0.29824,                0.19588,                0.96793,                 1.3484,                 1.7518,                0.98491,              9.769e-05,              9.769e-05,              9.769e-05
                     10,                0.97562,                 1.4852,                  1.866,                0.99778,                0.36019,                0.35569,                0.32413,                0.23606,                0.35936,                 0.3554,                0.32357,                0.21481,                0.96026,                 1.3191,                 1.7291,                0.97467,              9.736e-05,              9.736e-05,              9.736e-05
                     11,                 0.9654,                 1.4566,                 1.8329,                0.99116,                0.53001,                0.35847,                0.35081,                0.25531,                0.52942,                0.35597,                0.34797,                0.23025,                0.94853,                 1.3125,                 1.6562,                0.97164,              9.703e-05,              9.703e-05,              9.703e-05
                     12,                0.95408,                 1.4284,                  1.747,                0.98169,                0.43979,                0.38347,                 0.3737,                 0.2733,                0.43783,                0.38298,                0.37166,                 0.2475,                0.94016,                 1.3012,                 1.6118,                0.96573,               9.67e-05,               9.67e-05,               9.67e-05
                     13,                0.95783,                 1.4429,                 1.6984,                0.98317,                0.48466,                0.39549,                0.39791,                0.29026,                0.48291,                0.39381,                0.39461,                0.26621,                0.94024,                 1.2849,                 1.5494,                  0.965,              9.637e-05,              9.637e-05,              9.637e-05
                     14,                0.95213,                 1.4127,                 1.6588,                 0.9796,                0.53101,                0.41175,                0.41528,                 0.3035,                0.52928,                0.41066,                0.41367,                0.27818,                0.93521,                 1.2652,                  1.514,                0.96348,              9.604e-05,              9.604e-05,              9.604e-05
                     15,                0.93358,                 1.3737,                 1.6048,                0.97372,                0.51611,                0.42904,                0.43352,                0.31717,                0.51519,                0.42653,                0.42929,                 0.2918,                0.92371,                  1.257,                 1.4815,                0.95574,              9.571e-05,              9.571e-05,              9.571e-05
                     16,                0.93297,                 1.3659,                 1.5663,                0.96642,                0.59889,                0.41499,                0.45109,                0.32992,                0.59541,                0.41462,                 0.4477,                0.30294,                0.92569,                 1.2655,                 1.4585,                0.95346,              9.538e-05,              9.538e-05,              9.538e-05
