                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0551,                 1.8212,                 4.5421,                 1.2554,                0.87009,                      1,                  0.995,                 0.8955,                0.87009,                      1,                  0.995,                  0.995,                0.39956,                0.39001,                  2.654,                0.88163,               0.067055,             0.00033278,             0.00033278
                      2,                 0.8306,                 1.2803,                 2.6277,                 1.0869,                0.75104,                      1,                  0.995,                 0.8955,                0.75104,                      1,                  0.995,                  0.995,                0.52976,                0.46097,                 2.8029,                0.93528,               0.034053,             0.00066446,             0.00066446
                      3,                0.75184,                 1.1123,                 1.8998,                 1.0182,                0.95314,                      1,                  0.995,                  0.995,                0.95314,                      1,                  0.995,                  0.995,                0.06283,                0.36415,                 1.0149,                0.79826,              0.0010499,              0.0009945,              0.0009945
                      4,                0.72886,                 1.0497,                 1.5246,                 1.0043,                0.46505,                      1,                  0.995,                  0.995,                0.46505,                      1,                  0.995,                  0.995,                0.30255,                0.33943,                 2.3248,                0.82473,             0.00099258,             0.00099258,             0.00099258
                      5,                 0.7073,                 1.0096,                 1.2437,                0.98895,                0.93593,                      1,                  0.995,                 0.8955,                0.93593,                      1,                  0.995,                  0.995,                0.61036,                0.38521,                 1.1872,                 1.0367,             0.00099258,             0.00099258,             0.00099258
                      6,                0.68097,                 0.9662,                 1.1122,                0.97301,                0.95733,                      1,                  0.995,                 0.8955,                0.95733,                      1,                  0.995,                  0.995,                0.34756,                 0.3035,                  0.873,                 0.8277,              0.0009901,              0.0009901,              0.0009901
                      7,                0.67572,                 0.9676,                 1.0142,                0.97102,                0.97301,                      1,                  0.995,                  0.995,                0.97301,                      1,                  0.995,                  0.995,                0.19509,                0.33577,                0.36691,                0.81962,             0.00098763,             0.00098763,             0.00098763
                      8,                0.66205,                0.93285,                0.93185,                0.95936,                0.96648,                      1,                  0.995,                  0.995,                0.96648,                      1,                  0.995,                  0.995,                 0.4418,                0.31906,                0.73668,                 0.8788,             0.00098515,             0.00098515,             0.00098515
                      9,                0.65543,                0.92874,                0.88343,                0.95894,                0.97442,                      1,                  0.995,                 0.8955,                0.97442,                      1,                  0.995,                  0.995,                0.55024,                0.37857,                0.35087,                0.95634,             0.00098268,             0.00098268,             0.00098268
                     10,                0.64203,                0.91483,                0.84873,                0.95114,                0.97261,                      1,                  0.995,                 0.8955,                0.97261,                      1,                  0.995,                  0.995,                0.50485,                0.37079,                0.46149,                0.92177,              0.0009802,              0.0009802,              0.0009802
                     11,                0.63196,                0.89525,                0.80408,                0.94372,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.34155,                0.30991,                 0.1913,                0.84654,             0.00097773,             0.00097773,             0.00097773
                     12,                0.62394,                0.87299,                0.76914,                0.94289,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.35412,                0.33302,                 0.2021,                0.85236,             0.00097525,             0.00097525,             0.00097525
                     13,                0.61435,                 0.8694,                0.73233,                 0.9344,                0.97403,                      1,                  0.995,                  0.995,                0.97403,                      1,                  0.995,                  0.995,                0.25859,                0.28885,                0.18804,                0.81942,             0.00097278,             0.00097278,             0.00097278
                     14,                0.60763,                0.85465,                0.71009,                0.92918,                0.97464,                      1,                  0.995,                  0.995,                0.97464,                      1,                  0.995,                  0.995,                0.23409,                0.30991,                0.21597,                0.82438,              0.0009703,              0.0009703,              0.0009703
                     15,                0.59795,                0.84214,                0.68437,                0.92224,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                 0.8955,                0.57818,                0.45296,                0.29838,                 0.9786,             0.00096783,             0.00096783,             0.00096783
                     16,                0.59206,                0.83203,                0.65991,                0.92205,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.58238,                0.39047,                0.31636,                0.97922,             0.00096535,             0.00096535,             0.00096535
                     17,                0.58828,                0.82541,                0.65277,                0.91679,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.46145,                0.27924,                0.31926,                0.89945,             0.00096288,             0.00096288,             0.00096288
                     18,                0.57927,                0.81676,                0.64147,                0.91416,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.62746,                0.49988,                0.38055,                 1.0378,              0.0009604,              0.0009604,              0.0009604
                     19,                0.57424,                0.80928,                0.61324,                0.91025,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.49925,                0.35294,                 0.3285,                0.92166,             0.00095793,             0.00095793,             0.00095793
                     20,                0.58112,                0.81143,                0.61965,                0.92211,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                 0.5934,                0.41977,                0.20319,                0.99982,             0.00095545,             0.00095545,             0.00095545
                     21,                0.56937,                0.80469,                0.59403,                0.91099,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.44898,                0.35637,                0.23005,                0.87683,             0.00095298,             0.00095298,             0.00095298
                     22,                 0.5617,                0.79374,                0.58397,                0.90269,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                 0.5451,                0.31128,                0.36547,                0.90709,              0.0009505,              0.0009505,              0.0009505
                     23,                0.56027,                 0.7979,                0.57078,                  0.909,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.49555,                0.29205,                0.37355,                0.90255,             0.00094803,             0.00094803,             0.00094803
                     24,                0.55384,                0.77948,                0.55071,                 0.9037,                0.97398,                      1,                  0.995,                 0.8955,                0.97398,                      1,                  0.995,                  0.995,                0.50295,                0.36484,                0.23457,                 0.9105,             0.00094555,             0.00094555,             0.00094555
                     25,                0.55053,                0.76647,                 0.5464,                 0.8991,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.55505,                0.51178,                0.29021,                0.93989,             0.00094308,             0.00094308,             0.00094308
                     26,                0.54936,                0.77886,                 0.5421,                0.89434,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.61919,                0.34424,                0.23322,                0.93936,              0.0009406,              0.0009406,              0.0009406
                     27,                 0.5466,                 0.7774,                0.53563,                0.89226,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                 0.8955,                0.44192,                0.48798,                0.27002,                0.89485,             0.00093813,             0.00093813,             0.00093813
                     28,                0.53707,                0.76534,                0.51977,                0.89722,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.18152,                0.25726,                0.15757,                0.80711,             0.00093565,             0.00093565,             0.00093565
                     29,                0.53968,                0.76457,                0.51797,                0.89055,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.58278,                0.33119,                0.47234,                0.93764,             0.00093317,             0.00093317,             0.00093317
                     30,                0.53691,                0.76484,                0.49963,                0.88744,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.17392,                0.24971,                0.15345,                0.80052,              0.0009307,              0.0009307,              0.0009307
                     31,                0.52423,                0.74384,                0.48588,                0.88635,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.52976,                0.28519,                0.24105,                0.89527,             0.00092822,             0.00092822,             0.00092822
                     32,                0.52218,                0.74843,                0.48438,                0.88327,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.59707,                0.36598,                0.24342,                0.95556,             0.00092575,             0.00092575,             0.00092575
                     33,                0.51934,                0.73094,                0.47938,                0.88682,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.59823,                0.26459,                0.23653,                0.95013,             0.00092327,             0.00092327,             0.00092327
                     34,                0.51381,                0.73241,                0.46328,                0.88267,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.56228,                0.26871,                0.21608,                0.91657,              0.0009208,              0.0009208,              0.0009208
                     35,                0.51216,                0.72393,                0.45296,                0.87769,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                 0.5704,                0.36415,                0.21942,                0.91323,             0.00091833,             0.00091833,             0.00091833
                     36,                0.51093,                0.72334,                0.45973,                0.87556,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.43648,                0.32936,                0.15229,                0.87322,             0.00091585,             0.00091585,             0.00091585
                     37,                0.50888,                0.72445,                0.44979,                0.87559,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.60828,                 0.3772,                 0.2555,                0.99296,             0.00091337,             0.00091337,             0.00091337
                     38,                0.50526,                0.72439,                0.44612,                0.87652,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.47726,                0.31975,                0.18991,                0.89236,              0.0009109,              0.0009109,              0.0009109
                     39,                0.49914,                0.71115,                0.43826,                0.87369,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                 0.1412,                0.23712,                0.14887,                0.80313,             0.00090842,             0.00090842,             0.00090842
                     40,                0.50312,                0.71273,                0.42953,                0.87086,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.46469,                0.29022,                0.20397,                0.88735,             0.00090595,             0.00090595,             0.00090595
                     41,                0.49949,                0.71651,                0.42979,                0.86969,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.18885,                0.27649,                0.11518,                 0.8074,             0.00090347,             0.00090347,             0.00090347
                     42,                 0.4984,                0.70699,                0.42338,                 0.8717,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.46941,                0.37834,                0.18193,                0.90707,               0.000901,               0.000901,               0.000901
                     43,                0.49107,                 0.7022,                0.41964,                0.87102,                      1,                      1,                  0.995,                  0.796,                      1,                      1,                  0.995,                  0.995,                0.82415,                0.50262,                0.26154,                 1.2912,             0.00089853,             0.00089853,             0.00089853
                     44,                0.49001,                0.69349,                0.41592,                 0.8717,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                 0.3569,                0.38933,                0.20438,                0.87591,             0.00089605,             0.00089605,             0.00089605
                     45,                0.48369,                0.68849,                0.40743,                0.86571,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.56471,                0.35248,                 0.2693,                0.92559,             0.00089358,             0.00089358,             0.00089358
                     46,                0.49057,                0.69002,                0.41395,                0.86843,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.45626,                0.33394,                0.19727,                0.85746,              0.0008911,              0.0008911,              0.0008911
                     47,                 0.4807,                0.67776,                0.39699,                0.86783,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.24808,                0.25017,                0.14778,                0.80801,             0.00088862,             0.00088862,             0.00088862
                     48,                 0.4798,                0.68249,                0.39759,                0.86913,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.57627,                0.35545,                0.18998,                0.93462,             0.00088615,             0.00088615,             0.00088615
                     49,                0.47659,                0.67709,                 0.3957,                0.86466,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.50065,                0.36186,                0.19965,                0.92235,             0.00088368,             0.00088368,             0.00088368
                     50,                0.47769,                0.67995,                0.39353,                0.86351,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.32673,                 0.3083,                0.20719,                0.83118,              0.0008812,              0.0008812,              0.0008812
                     51,                0.47422,                0.67947,                0.38566,                0.86072,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.43036,                0.30075,                0.15864,                0.87633,             0.00087873,             0.00087873,             0.00087873
                     52,                0.47227,                0.67391,                0.38021,                0.86157,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.31639,                0.30029,                0.12742,                0.83138,             0.00087625,             0.00087625,             0.00087625
                     53,                0.46225,                0.65986,                0.37982,                0.85402,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.24021,                0.28244,                 0.1641,                 0.8147,             0.00087378,             0.00087378,             0.00087378
                     54,                0.46294,                0.66834,                0.37056,                0.85835,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.54869,                 0.2742,                0.22458,                0.93827,              0.0008713,              0.0008713,              0.0008713
                     55,                0.46714,                0.66918,                0.37417,                0.85494,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.44321,                0.30991,                0.23613,                0.87421,             0.00086882,             0.00086882,             0.00086882
                     56,                 0.4617,                0.66069,                 0.3685,                0.86073,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.21544,                0.30807,                0.14302,                0.81738,             0.00086635,             0.00086635,             0.00086635
                     57,                0.46395,                0.66172,                0.36555,                0.85862,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                  0.995,                0.38385,                  0.271,                0.18916,                0.85483,             0.00086388,             0.00086388,             0.00086388
