                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9636,                 1.5455,                 2.7269,                 1.0511,                0.42283,                0.39744,                0.32973,                0.25039,                0.41921,                0.39212,                0.32502,                0.22279,                 0.8239,                 1.2404,                 5.1366,                0.93909,               0.070114,              0.0033207,              0.0033207
                      2,                  0.892,                 1.2586,                 1.5715,                0.97427,                0.52375,                0.51213,                0.55318,                0.41217,                0.52154,                0.51089,                0.54963,                0.38038,                 0.8704,                 1.1797,                   2.29,                0.93678,               0.040101,              0.0066408,              0.0066408
                      3,                0.92718,                 1.2826,                 1.4093,                 0.9953,                0.55592,                0.46346,                0.47145,                0.33427,                0.60864,                0.41227,                0.47565,                0.31408,                 1.0605,                 1.6276,                 2.3371,                 1.0257,               0.010075,              0.0099478,              0.0099478
                      4,                 1.0314,                 1.3908,                 1.3843,                 1.0168,                0.67276,                 0.5216,                 0.5823,                0.41577,                0.67111,                0.51825,                0.58154,                0.40139,                 1.0001,                 1.3993,                 2.8473,                 1.0022,              0.0099406,              0.0099406,              0.0099406
                      5,                  1.009,                   1.36,                 1.2968,                   1.02,                0.61002,                0.54751,                 0.5876,                0.41183,                0.60752,                0.53669,                0.57499,                0.38242,                0.97626,                 1.3343,                 1.8331,                 0.9922,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.0025,                 1.3814,                 1.2031,                  1.019,                0.68558,                0.57302,                0.62589,                0.44301,                 0.6853,                0.56906,                0.62162,                0.41704,                0.96045,                 1.3068,                 3.8794,                0.98414,              0.0099208,              0.0099208,              0.0099208
                      7,                 0.9903,                 1.3172,                 1.1361,                 1.0182,                  0.696,                0.60571,                0.66322,                 0.4652,                0.69304,                0.60259,                0.66114,                0.44359,                 0.9342,                 1.2516,                 1.7279,                0.97109,               0.009901,               0.009901,               0.009901
                      8,                0.97246,                 1.2943,                 1.1136,                 1.0075,                 0.7047,                 0.6173,                0.65789,                0.47599,                0.70477,                0.61725,                0.65577,                0.45479,                0.95187,                 1.2748,                 1.4398,                0.97688,              0.0098812,              0.0098812,              0.0098812
                      9,                 0.9752,                 1.2999,                 1.0673,                  1.011,                0.67587,                0.60992,                0.65655,                0.47128,                0.67122,                 0.6106,                0.65135,                0.44612,                0.93234,                 1.2682,                 1.4198,                 0.9692,              0.0098614,              0.0098614,              0.0098614
                     10,                0.97158,                 1.2626,                 1.0353,                 1.0095,                0.70421,                 0.6006,                0.65432,                 0.4689,                0.70558,                0.60034,                0.65292,                0.44182,                0.94143,                 1.2318,                 1.6871,                0.96995,              0.0098416,              0.0098416,              0.0098416
                     11,                0.94895,                 1.2469,                 1.0226,                0.99803,                0.74506,                0.54261,                0.63191,                0.45829,                0.74662,                0.53676,                0.62551,                0.42845,                0.97141,                 1.3954,                 1.4992,                 1.0066,              0.0098218,              0.0098218,              0.0098218
