                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96804,                  1.563,                 2.6891,                 1.0521,                 0.5686,                0.39273,                0.40914,                0.30955,                 0.5689,                  0.391,                0.40798,                0.27243,                0.87505,                 1.1822,                 1.7096,                 0.9889,                0.07011,              0.0033211,              0.0033211
                      2,                 0.8608,                 1.2345,                 1.5258,                0.97028,                 0.5113,                0.52375,                0.51645,                0.38353,                0.53737,                0.51335,                 0.5156,                0.35079,                0.92412,                 1.2971,                  1.415,                0.97961,               0.040097,              0.0066412,              0.0066412
                      3,                0.93139,                 1.2724,                 1.3937,                0.98653,                 0.5897,                0.50958,                0.52951,                0.37632,                0.58144,                 0.5041,                0.52038,                 0.3483,                 1.0667,                 1.4959,                 1.3423,                 1.0399,               0.010071,              0.0099482,              0.0099482
                      4,                0.99061,                 1.3731,                  1.343,                  1.011,                0.58958,                0.53581,                0.56385,                0.38157,                0.72248,                 0.4524,                0.55669,                0.36198,                 1.0778,                 1.4949,                 1.4874,                 1.0566,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.0092,                 1.3409,                 1.2454,                 1.0206,                0.65093,                0.46664,                 0.5322,                0.37005,                0.66471,                0.46195,                0.52649,                0.34542,                 1.1243,                  1.561,                  1.411,                 1.0881,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.0048,                 1.3438,                 1.1961,                 1.0133,                0.66368,                0.48657,                0.55581,                0.39424,                0.66301,                0.48279,                0.55042,                0.38454,                 1.0781,                 1.4025,                 1.3447,                 1.0513,              0.0099208,              0.0099208,              0.0099208
                      7,                0.98525,                 1.3234,                 1.1543,                 1.0069,                0.65159,                  0.522,                0.58592,                0.40842,                0.65417,                 0.5199,                0.57992,                0.38362,                 1.1094,                 1.5093,                 1.2359,                 1.0879,               0.009901,               0.009901,               0.009901
                      8,                0.97794,                 1.3005,                 1.0875,                 1.0098,                0.69463,                0.58211,                 0.6289,                0.43434,                0.69362,                0.57363,                0.61648,                0.40641,                  1.049,                 1.4271,                 1.1861,                 1.0477,              0.0098812,              0.0098812,              0.0098812
                      9,                0.96149,                 1.2809,                 1.0642,                 1.0035,                0.71829,                  0.621,                0.68528,                0.48032,                0.71317,                 0.6218,                0.68178,                0.45766,                 1.0234,                 1.3279,                 1.0866,                 1.0404,              0.0098614,              0.0098614,              0.0098614
                     10,                0.94544,                   1.25,                 1.0354,                0.99667,                0.69946,                0.58542,                0.66714,                0.47467,                0.70522,                 0.5892,                0.66954,                0.45816,                0.99545,                 1.3257,                 1.1072,                 1.0261,              0.0098416,              0.0098416,              0.0098416
                     11,                0.92656,                 1.2051,                0.99112,                0.99273,                0.67419,                0.60147,                0.64726,                 0.4603,                 0.6743,                0.59293,                0.64019,                0.43017,                0.99147,                 1.3617,                  1.173,                 1.0341,              0.0098218,              0.0098218,              0.0098218
                     12,                0.91781,                 1.2247,                0.99485,                0.98276,                0.69131,                0.64153,                0.69093,                0.49281,                0.69132,                0.63676,                0.68883,                0.47251,                0.97052,                 1.3276,                 1.0365,                 1.0202,               0.009802,               0.009802,               0.009802
                     13,                0.89538,                 1.1897,                0.94236,                0.98051,                0.71649,                 0.5849,                0.67114,                0.46861,                0.71643,                 0.5826,                0.66867,                0.44788,                 1.0209,                  1.363,                 1.1142,                 1.0425,              0.0097822,              0.0097822,              0.0097822
                     14,                0.89822,                  1.194,                0.94022,                0.98298,                0.71998,                 0.6289,                0.68905,                0.49178,                0.73205,                0.61375,                0.68577,                0.45903,                0.98013,                 1.3293,                 1.0031,                 1.0208,              0.0097624,              0.0097624,              0.0097624
                     15,                 0.8936,                  1.175,                0.91255,                0.98121,                0.73399,                 0.6033,                0.68586,                0.48853,                0.74205,                0.60076,                0.68792,                0.45784,                0.98112,                 1.3522,                 1.0114,                 1.0261,              0.0097426,              0.0097426,              0.0097426
                     16,                0.87985,                 1.1546,                0.89013,                0.97485,                0.72037,                0.67294,                0.71651,                0.51348,                0.72256,                0.67143,                0.71132,                0.48503,                0.98014,                 1.3577,                0.96665,                 1.0257,              0.0097228,              0.0097228,              0.0097228
                     17,                 0.8532,                 1.1165,                0.87161,                0.96537,                0.76255,                0.62421,                0.72116,                0.52752,                0.76341,                0.62533,                0.71795,                 0.5007,                0.95512,                 1.2857,                0.97129,                 1.0064,               0.009703,               0.009703,               0.009703
                     18,                0.86524,                 1.1392,                0.85453,                0.96397,                0.76127,                0.59109,                0.66997,                 0.4858,                0.76425,                0.59165,                0.66881,                0.45071,                 0.9607,                  1.298,                0.98958,                  1.025,              0.0096832,              0.0096832,              0.0096832
                     19,                0.85263,                 1.1146,                 0.8461,                0.96854,                0.75471,                0.62803,                0.72471,                 0.5331,                 0.7818,                0.61101,                0.71678,                 0.4825,                0.96408,                 1.2724,                0.96724,                 1.0252,              0.0096634,              0.0096634,              0.0096634
                     20,                0.84206,                 1.1112,                0.83231,                0.95938,                0.72232,                0.63341,                0.70544,                0.51755,                0.72129,                0.62638,                 0.7005,                0.48316,                0.92118,                 1.2088,                0.96778,                0.99428,              0.0096436,              0.0096436,              0.0096436
