                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91428,                 1.4451,                   2.95,                 1.0537,                0.52956,                0.33002,                0.34731,                0.25904,                0.53113,                0.32849,                0.34602,                0.24442,                 0.9907,                 1.3587,                 1.9333,                 1.0296,                0.07011,              0.0033211,              0.0033211
                      2,                0.78774,                 1.0375,                 1.6527,                0.96319,                0.71475,                0.36366,                0.48537,                0.35321,                0.71599,                0.36219,                0.48117,                0.32137,                0.97543,                 1.4389,                 1.6361,                 1.0091,               0.040097,              0.0066412,              0.0066412
                      3,                0.80632,                 1.0072,                 1.3585,                0.94555,                0.52193,                0.38097,                0.42464,                0.28693,                0.52557,                0.38318,                0.42549,                0.28576,                 1.1839,                 1.6664,                 1.7887,                 1.1267,               0.010071,              0.0099482,              0.0099482
                      4,                0.84546,                 1.0096,                 1.3037,                0.96087,                0.59907,                0.48884,                0.52214,                 0.3491,                0.59965,                0.48876,                0.52294,                0.34269,                  1.136,                 1.5446,                 1.4159,                 1.0924,              0.0099406,              0.0099406,              0.0099406
                      5,                0.81688,                0.97092,                 1.0685,                0.94606,                0.68438,                0.44128,                0.52453,                0.35622,                0.68329,                0.43772,                0.52114,                0.34778,                 1.0942,                 1.5305,                 1.4423,                 1.0545,              0.0099406,              0.0099406,              0.0099406
                      6,                0.76807,                0.86275,                0.94391,                 0.9289,                0.68143,                0.51682,                0.57356,                0.40169,                0.68156,                0.51847,                0.57284,                0.39545,                 1.0751,                  1.513,                 1.3613,                 1.0645,              0.0099208,              0.0099208,              0.0099208
                      7,                0.73674,                0.78511,                0.83453,                0.91729,                 0.7082,                0.55509,                0.60019,                 0.4149,                0.70335,                0.55035,                0.59684,                0.40101,                 1.0753,                 1.5125,                 1.2655,                 1.0756,               0.009901,               0.009901,               0.009901
                      8,                0.70173,                0.72336,                 0.7316,                0.90185,                0.71579,                0.50445,                0.57671,                0.39582,                0.71379,                0.50855,                0.57524,                 0.3773,                 1.0698,                 1.5856,                  1.287,                 1.0884,              0.0098812,              0.0098812,              0.0098812
                      9,                0.66675,                0.65609,                0.66885,                0.88863,                0.72173,                 0.5313,                0.59996,                0.41001,                0.72312,                0.53161,                0.59695,                 0.3918,                 1.0829,                 1.6065,                  1.214,                 1.0973,              0.0098614,              0.0098614,              0.0098614
                     10,                 0.6365,                0.59503,                0.60941,                0.87725,                 0.7186,                0.55668,                0.61828,                0.42714,                0.72785,                0.55848,                0.62052,                0.40718,                  1.044,                 1.5839,                 1.2077,                  1.072,              0.0098416,              0.0098416,              0.0098416
