,model_version,F1(B),F1(M),mAP50(B),mAP50(M),mAP50-95(B),mAP50-95(M)
0,_hsv_h_0.02_hsv_s_0.7_hsv_v_0.4,0.816863182,0.807696667,0.844217327,0.833521954,0.713149935,0.644967408
1,_hsv_h_0.015_hsv_s_0.8_hsv_v_0.35,0.813134034,0.801960631,0.844400264,0.831382333,0.708427417,0.645791543
2,_hsv_h_0.015_hsv_s_0.7_hsv_v_0.4,0.812644308,0.803242482,0.846329577,0.836263903,0.713198982,0.644399146
3,_hsv_h_0.02_hsv_s_0.8_hsv_v_0.4,0.81193487,0.806471186,0.846048174,0.838550389,0.717700797,0.650873906
4,_hsv_h_0.01_hsv_s_0.8_hsv_v_0.4,0.811325931,0.804612692,0.837515152,0.828611498,0.704947757,0.63845124
5,_hsv_h_0.01_hsv_s_0.7_hsv_v_0.35,0.809806354,0.803952184,0.843031459,0.835923056,0.710519691,0.638775878
6,_hsv_h_0.015_hsv_s_0.6_hsv_v_0.4,0.80966395,0.800879269,0.847934663,0.837367228,0.719574066,0.651602127
7,_hsv_h_0.015_hsv_s_0.8_hsv_v_0.45,0.809487796,0.803899296,0.839616911,0.833021092,0.712742646,0.642673172
8,_hsv_h_0.01_hsv_s_0.8_hsv_v_0.35,0.809240227,0.800352978,0.845266145,0.837248621,0.715028092,0.652241038
9,_hsv_h_0.02_hsv_s_0.6_hsv_v_0.4,0.808438867,0.802788649,0.84169108,0.834540173,0.712824349,0.647316938
10,_hsv_h_0.01_hsv_s_0.6_hsv_v_0.4,0.808414466,0.799832789,0.841721541,0.833368538,0.711902466,0.643202871
11,_hsv_h_0.015_hsv_s_0.8_hsv_v_0.4,0.808356627,0.804249147,0.841525071,0.83372014,0.712463053,0.646697863
12,_hsv_h_0.02_hsv_s_0.8_hsv_v_0.45,0.808348711,0.801985215,0.83987265,0.832927097,0.704137867,0.638149549
13,_hsv_h_0.01_hsv_s_0.7_hsv_v_0.45,0.808257198,0.798219061,0.841210311,0.82995072,0.714031932,0.64470183
14,_hsv_h_0.015_hsv_s_0.6_hsv_v_0.45,0.808234157,0.801878084,0.839934085,0.83140567,0.70697117,0.639355406
15,_hsv_h_0.015_hsv_s_0.7_hsv_v_0.35,0.807618748,0.801904019,0.842280797,0.833660456,0.714506209,0.645344897
16,_hsv_h_0.02_hsv_s_0.7_hsv_v_0.35,0.807357314,0.79933535,0.841267094,0.833974697,0.712180075,0.646509859
17,_hsv_h_0.02_hsv_s_0.7_hsv_v_0.45,0.8072225,0.802304686,0.838615665,0.832040592,0.711629223,0.645692368
18,_hsv_h_0.02_hsv_s_0.6_hsv_v_0.45,0.806311796,0.799309012,0.840336011,0.832563031,0.708901071,0.643975037
19,_hsv_h_0.015_hsv_s_0.7_hsv_v_0.45,0.80628145,0.799377402,0.838888656,0.832067019,0.714270726,0.648949698
20,_hsv_h_0.01_hsv_s_0.8_hsv_v_0.45,0.805863688,0.799043611,0.835435175,0.826320812,0.704530718,0.637821967
21,_hsv_h_0.01_hsv_s_0.6_hsv_v_0.45,0.805711349,0.798432733,0.839416648,0.82938953,0.712967753,0.649504722
22,_hsv_h_0.01_hsv_s_0.7_hsv_v_0.4,0.805246319,0.795824273,0.845879131,0.836698594,0.714774293,0.64773571
23,_hsv_h_0.015_hsv_s_0.6_hsv_v_0.35,0.803918021,0.796200488,0.844520519,0.835343368,0.707851026,0.64685409
24,_hsv_h_0.02_hsv_s_0.8_hsv_v_0.35,0.802876363,0.797420612,0.838786615,0.833269267,0.707849914,0.64495572
25,_hsv_h_0.02_hsv_s_0.6_hsv_v_0.35,0.79587027,0.787937697,0.831873466,0.824961385,0.703581596,0.639994257
26,_hsv_h_0.01_hsv_s_0.6_hsv_v_0.35,0.794936581,0.788548408,0.832204316,0.825037642,0.705811847,0.643182999
,,,,,,,
5-fold cv,best_da,0.782957725,0.77655772,0.821404873,0.812859013,0.68899284,0.625050526
5-fold cv,no_da,0.621220527,0.620790555,0.646614063,0.646392866,0.523911368,0.480039362
