                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1468,                 2.0009,                 4.2718,                   1.16,                 0.3624,                0.10662,                0.07181,                0.05176,                 0.3648,                0.10895,                0.07451,                0.05101,                  1.045,                 1.5462,                 3.3702,                 1.0871,               0.066955,             0.00016605,             0.00016605
                      2,                0.95765,                 1.5348,                  2.714,                 1.0644,                0.33186,                 0.2751,                0.19514,                 0.1454,                0.33277,                0.27308,                0.19479,                0.13138,                0.91094,                 1.2717,                 2.3955,                 1.0097,               0.033788,             0.00033206,             0.00033206
                      3,                 0.8662,                 1.3176,                 2.0864,                 1.0049,                0.42227,                0.39161,                0.36012,                0.27714,                0.42501,                  0.391,                0.35649,                0.24591,                0.85418,                 1.1505,                 1.8052,                0.98506,             0.00061996,             0.00049741,             0.00049741
                      4,                0.80639,                 1.2067,                 1.6676,                0.97086,                0.55388,                0.42883,                0.47285,                0.37024,                0.56189,                0.42449,                0.46991,                0.32804,                0.82366,                 1.1257,                 1.5097,                0.95963,             0.00049703,             0.00049703,             0.00049703
                      5,                 0.7933,                 1.1282,                 1.4395,                0.95456,                0.59846,                0.54324,                0.57175,                 0.4479,                0.60106,                 0.5407,                 0.5698,                0.40226,                0.80719,                 1.0614,                 1.2807,                0.94861,             0.00049703,             0.00049703,             0.00049703
                      6,                0.77447,                 1.1099,                 1.2851,                0.94064,                 0.6324,                0.58383,                 0.6265,                0.49613,                0.63052,                0.58272,                0.62301,                0.44669,                 0.7888,                 1.0408,                 1.2018,                0.93951,             0.00049604,             0.00049604,             0.00049604
                      7,                0.75573,                 1.0795,                 1.2017,                0.92633,                0.67742,                0.57239,                0.66922,                0.53011,                 0.6839,                0.57399,                0.66949,                0.48007,                0.78658,                 1.0307,                 1.0928,                0.93873,             0.00049505,             0.00049505,             0.00049505
                      8,                 0.7409,                 1.0387,                 1.1091,                0.92251,                 0.6633,                0.64549,                0.70109,                0.55308,                0.66064,                0.64343,                0.70176,                0.50022,                 0.7815,                  1.019,                 1.0718,                0.93324,             0.00049406,             0.00049406,             0.00049406
                      9,                0.73478,                 1.0272,                 1.0495,                0.91764,                0.77908,                0.58178,                0.71849,                0.57351,                0.77475,                0.57899,                0.71241,                0.52343,                0.77775,                 1.0077,                  1.016,                0.93007,             0.00049307,             0.00049307,             0.00049307
                     10,                0.72482,                 1.0174,                 1.0114,                0.91717,                 0.7239,                0.65793,                0.73238,                0.58058,                0.72771,                0.64179,                0.72222,                0.51975,                0.78302,                 1.0292,                0.95467,                0.93762,             0.00049208,             0.00049208,             0.00049208
                     11,                0.71421,                0.97857,                0.95311,                0.91691,                0.70865,                0.67348,                0.75483,                0.60564,                0.74507,                0.64302,                0.75095,                0.55248,                0.75468,                 1.0147,                0.89877,                0.92171,             0.00049109,             0.00049109,             0.00049109
                     12,                0.70539,                0.97738,                0.95448,                 0.9014,                0.74971,                0.64281,                0.74809,                 0.5999,                0.74271,                 0.6397,                0.74202,                0.54158,                 0.7755,                0.99356,                0.88322,                0.93439,              0.0004901,              0.0004901,              0.0004901
                     13,                0.69268,                0.95592,                0.87714,                0.90321,                0.77147,                0.68105,                0.77149,                0.61925,                0.77133,                0.67945,                0.76822,                0.56389,                0.75829,                 1.0021,                0.86683,                0.92516,             0.00048911,             0.00048911,             0.00048911
                     14,                0.69554,                0.96135,                0.85857,                0.90373,                0.78506,                 0.6673,                0.77994,                0.62615,                0.78232,                0.65807,                0.77076,                0.56696,                0.75277,                0.99687,                0.84962,                0.92471,             0.00048812,             0.00048812,             0.00048812
                     15,                0.68699,                0.95295,                0.82464,                0.90133,                0.80007,                0.66719,                0.76632,                 0.6163,                0.79658,                0.65911,                0.75773,                0.55836,                0.74996,                0.98124,                0.85717,                0.92786,             0.00048713,             0.00048713,             0.00048713
