                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83302,                 1.4502,                 4.3344,                  1.173,                0.21289,                0.25607,                0.15046,                0.11682,                0.21332,                0.25684,                0.15109,                0.11683,                0.83712,                 1.1115,                  3.202,                 1.2532,               0.067049,             0.00033283,             0.00033283
                      2,                0.65814,                0.99541,                 2.6845,                 1.0434,                0.32805,                0.45698,                0.37621,                0.29091,                0.32685,                0.45762,                0.37752,                0.29173,                0.70714,                0.92388,                  2.029,                 1.1258,               0.034048,             0.00066452,             0.00066452
                      3,                0.61915,                0.91462,                 1.9934,                 1.0002,                0.68602,                0.52376,                0.59226,                0.47706,                0.68404,                 0.5233,                  0.591,                0.47263,                0.65244,                0.84565,                  1.368,                 1.0577,              0.0010445,             0.00099455,             0.00099455
                      4,                0.57985,                0.85271,                 1.5372,                0.96575,                0.70985,                0.60241,                0.66357,                 0.5209,                0.71041,                  0.604,                0.66449,                0.52724,                0.68344,                0.89809,                 1.2178,                 1.0877,             0.00099258,             0.00099258,             0.00099258
                      5,                0.56796,                0.80874,                 1.2947,                0.95441,                0.73983,                0.65002,                0.74043,                0.59259,                0.74046,                0.65127,                0.74096,                 0.5891,                0.64991,                0.80772,                0.99588,                 1.0468,             0.00099258,             0.00099258,             0.00099258
                      6,                0.56033,                0.78508,                 1.1577,                0.95027,                0.74557,                0.70825,                0.77705,                0.62965,                0.74766,                0.71041,                0.77813,                 0.6264,                0.62436,                0.78867,                0.89645,                 1.0322,              0.0009901,              0.0009901,              0.0009901
                      7,                 0.5387,                0.76134,                 1.0268,                0.93754,                0.79907,                0.70241,                0.80262,                0.65096,                 0.7989,                0.70357,                0.80145,                0.65576,                0.61539,                0.75857,                0.84642,                 1.0259,             0.00098763,             0.00098763,             0.00098763
                      8,                0.53497,                 0.7504,                  0.946,                 0.9371,                0.76281,                0.74701,                0.80919,                0.66175,                0.76357,                0.74783,                0.80898,                0.66103,                0.61474,                0.76326,                 0.8281,                 1.0303,             0.00098515,             0.00098515,             0.00098515
                      9,                 0.5263,                 0.7394,                0.91145,                0.93234,                0.82377,                0.73483,                0.82445,                0.67415,                0.82564,                0.73661,                0.82529,                0.67535,                0.62345,                 0.7637,                0.81327,                 1.0288,             0.00098268,             0.00098268,             0.00098268
                     10,                0.52059,                0.72821,                0.87314,                0.92565,                0.82486,                0.74129,                0.83082,                0.68644,                0.82249,                0.74439,                0.82934,                0.68436,                0.60861,                0.76071,                0.79464,                 1.0247,              0.0009802,              0.0009802,              0.0009802
                     11,                0.51674,                0.72265,                0.83032,                0.92621,                0.82045,                0.73276,                0.82845,                 0.6874,                0.82152,                0.73391,                0.82782,                0.67977,                0.60271,                 0.7503,                0.75744,                 1.0125,             0.00097773,             0.00097773,             0.00097773
                     12,                0.51064,                0.71657,                0.79729,                0.91976,                0.80657,                0.76762,                0.83657,                0.69864,                0.80833,                 0.7684,                0.83815,                0.69328,                0.60557,                 0.7655,                0.74895,                 1.0122,             0.00097525,             0.00097525,             0.00097525
                     13,                0.51404,                0.72333,                0.77883,                0.92337,                0.79412,                0.76045,                0.82959,                0.68663,                0.79505,                0.76147,                0.82838,                0.67637,                0.60851,                0.80002,                0.75142,                 1.0174,             0.00097278,             0.00097278,             0.00097278
                     14,                0.49681,                0.68742,                0.72664,                0.91545,                0.81883,                0.77605,                0.85121,                0.70635,                0.81905,                0.77623,                0.85085,                0.70283,                0.59411,                0.74588,                0.73379,                 1.0149,              0.0009703,              0.0009703,              0.0009703
                     15,                0.49918,                0.69421,                0.72584,                0.91771,                0.83832,                0.73442,                0.83444,                0.69462,                0.83985,                0.74051,                0.83701,                0.68971,                0.60502,                  0.762,                0.71365,                 1.0222,             0.00096783,             0.00096783,             0.00096783
                     16,                0.49532,                0.69506,                0.70455,                0.91812,                0.78509,                0.80098,                0.84912,                0.71614,                0.78921,                0.80523,                0.85217,                0.70601,                0.59406,                0.73909,                0.70799,                 1.0159,             0.00096535,             0.00096535,             0.00096535
                     17,                0.48766,                0.68141,                0.68823,                 0.9035,                0.83088,                0.78389,                0.85869,                0.71318,                0.83154,                0.78445,                0.85821,                0.70791,                0.59747,                0.74113,                0.70453,                 1.0195,             0.00096288,             0.00096288,             0.00096288
                     18,                0.48734,                 0.6761,                0.66768,                0.90483,                0.79976,                0.81373,                0.86039,                0.72297,                0.80043,                0.81444,                0.86095,                0.71176,                0.58466,                0.73284,                0.67156,                 1.0053,              0.0009604,              0.0009604,              0.0009604
                     19,                0.48659,                0.66984,                 0.6612,                0.90877,                0.83366,                0.78975,                0.85808,                0.72689,                0.83538,                0.79236,                0.85942,                0.71623,                0.57296,                0.73844,                0.66377,                 1.0055,             0.00095793,             0.00095793,             0.00095793
