                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82999,                  1.483,                 4.3412,                 1.1604,                 0.1493,                0.21106,                0.14058,                0.10564,                0.20978,                0.21265,                0.14187,                0.10357,                0.85782,                 1.2337,                 3.3953,                 1.2348,               0.067069,             0.00033264,             0.00033264
                      2,                0.66288,                 1.0244,                  2.622,                 1.0311,                0.45649,                0.35965,                 0.3506,                0.27093,                0.45952,                0.36202,                0.35391,                0.26892,                0.72938,                0.96259,                 2.1431,                 1.1094,               0.034067,             0.00066432,             0.00066432
                      3,                 0.6085,                0.92198,                 1.9735,                0.98782,                0.52272,                0.48566,                0.49328,                0.38892,                0.52798,                0.48986,                0.49692,                0.38743,                0.69559,                0.90533,                 1.5081,                 1.0821,              0.0010641,             0.00099436,             0.00099436
                      4,                0.59702,                0.86209,                 1.5538,                 0.9732,                 0.6203,                0.56511,                  0.632,                0.49877,                0.62297,                0.56688,                0.63531,                 0.5035,                0.68148,                0.85651,                 1.2319,                 1.0749,             0.00099258,             0.00099258,             0.00099258
                      5,                0.57468,                0.83219,                  1.284,                0.95956,                0.68378,                0.61642,                0.68558,                0.54967,                0.68661,                0.61934,                0.68888,                0.55047,                0.65248,                0.83458,                 1.0623,                 1.0497,             0.00099258,             0.00099258,             0.00099258
                      6,                0.56233,                0.79919,                 1.1168,                0.95058,                0.65178,                0.66691,                0.70512,                0.56982,                 0.6557,                0.67298,                0.70859,                0.56598,                0.65001,                0.84419,                 1.0129,                 1.0495,              0.0009901,              0.0009901,              0.0009901
                      7,                0.54724,                0.77723,                 1.0507,                0.94106,                0.76613,                 0.6476,                0.74427,                0.60082,                0.77252,                0.65189,                0.75058,                0.59414,                0.65451,                0.82856,                0.91777,                 1.0451,             0.00098763,             0.00098763,             0.00098763
                      8,                0.54568,                0.77133,                0.94738,                0.93608,                0.76238,                0.68292,                0.76711,                0.62877,                0.76549,                 0.6889,                0.77192,                0.62334,                0.63509,                0.80298,                0.84322,                 1.0245,             0.00098515,             0.00098515,             0.00098515
                      9,                0.54099,                0.77353,                0.89552,                0.93126,                0.72603,                0.72775,                0.77451,                0.63195,                0.72903,                0.73073,                0.77865,                0.62576,                0.62995,                 0.8092,                0.83458,                 1.0291,             0.00098268,             0.00098268,             0.00098268
                     10,                0.53302,                0.75405,                0.85184,                0.93206,                0.75768,                0.71294,                0.78855,                0.64825,                0.75759,                0.71442,                0.79022,                0.64121,                0.63641,                 0.7994,                0.81049,                 1.0281,              0.0009802,              0.0009802,              0.0009802
                     11,                0.52963,                0.72929,                0.81285,                0.92184,                0.81501,                0.70668,                0.79923,                0.64883,                0.81561,                0.70722,                0.80052,                0.64707,                0.64087,                0.82102,                0.81452,                 1.0262,             0.00097773,             0.00097773,             0.00097773
                     12,                0.52317,                0.72952,                0.79955,                0.92399,                0.79231,                0.72075,                0.80118,                 0.6567,                0.79294,                0.72321,                0.80304,                0.64805,                0.63456,                0.80488,                0.79734,                  1.025,             0.00097525,             0.00097525,             0.00097525
                     13,                0.52563,                0.74209,                0.77127,                  0.918,                0.77735,                0.74574,                0.81373,                0.67445,                0.78035,                0.74888,                0.81667,                0.66461,                0.61067,                0.78563,                 0.7772,                 1.0113,             0.00097278,             0.00097278,             0.00097278
                     14,                0.51675,                0.72186,                 0.7555,                0.91826,                0.78088,                0.75508,                0.82114,                0.67729,                0.78277,                0.75747,                0.82339,                0.66727,                0.63769,                0.79143,                0.75494,                 1.0299,              0.0009703,              0.0009703,              0.0009703
                     15,                 0.5122,                0.71228,                0.73348,                0.91766,                 0.7726,                0.76388,                0.81998,                0.68122,                0.77482,                0.76495,                0.82269,                0.67224,                 0.6007,                  0.775,                0.73835,                 0.9958,             0.00096783,             0.00096783,             0.00096783
                     16,                0.50829,                0.71207,                0.72048,                0.91444,                0.80922,                 0.7626,                0.82754,                0.68501,                0.81238,                0.76573,                0.83125,                0.67393,                0.61068,                0.79211,                0.70835,                 1.0158,             0.00096535,             0.00096535,             0.00096535
                     17,                0.50338,                0.70532,                0.69976,                0.91206,                0.79932,                0.76118,                0.83425,                 0.6956,                0.76806,                0.79803,                0.83785,                0.68787,                0.61267,                0.78474,                 0.7138,                 1.0046,             0.00096288,             0.00096288,             0.00096288
                     18,                0.49521,                0.69557,                0.68549,                0.90998,                0.78775,                0.77908,                 0.8441,                0.70773,                0.79016,                0.78163,                0.84776,                0.69652,                0.60856,                0.79162,                 0.6883,                 1.0084,              0.0009604,              0.0009604,              0.0009604
                     19,                 0.5014,                0.69802,                0.66548,                0.90674,                0.78746,                0.76108,                0.82569,                0.68749,                0.78834,                0.76366,                0.82594,                0.68115,                0.62149,                 0.7965,                0.73139,                 1.0196,             0.00095793,             0.00095793,             0.00095793
                     20,                0.49264,                0.69002,                0.65343,                 0.9045,                0.81365,                0.74925,                0.83817,                0.69851,                0.81694,                0.75293,                0.84189,                0.68954,                0.60871,                0.77917,                0.71165,                 1.0059,             0.00095545,             0.00095545,             0.00095545
                     21,                0.48789,                0.68225,                 0.6455,                0.89941,                0.76207,                0.78365,                 0.8252,                0.68722,                0.76551,                0.78702,                0.82869,                0.67621,                 0.6093,                0.79442,                0.73974,                 1.0148,             0.00095298,             0.00095298,             0.00095298
                     22,                0.48033,                0.66757,                0.62726,                0.89721,                0.82313,                0.75777,                0.83408,                0.69814,                0.82521,                0.76244,                0.83612,                0.68455,                0.61133,                0.78996,                0.71731,                 1.0155,              0.0009505,              0.0009505,              0.0009505
                     23,                0.47882,                0.66878,                0.61559,                0.89564,                0.79592,                0.77767,                0.83582,                0.69924,                0.79904,                0.78032,                0.83901,                0.68573,                0.61451,                0.79839,                0.70777,                 1.0205,             0.00094803,             0.00094803,             0.00094803
                     24,                0.48203,                0.66817,                0.61386,                0.89849,                0.79603,                0.75971,                0.83411,                0.69695,                 0.7981,                0.76161,                0.83709,                0.68804,                0.61694,                0.77008,                 0.6989,                 1.0144,             0.00094555,             0.00094555,             0.00094555
                     25,                0.48071,                0.67155,                0.61952,                0.89338,                0.80145,                0.75906,                0.83703,                0.70037,                0.80369,                0.76173,                0.83967,                0.68863,                0.61221,                0.76776,                0.68227,                 1.0145,             0.00094308,             0.00094308,             0.00094308
