                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90482,                 1.5968,                 4.4322,                 1.1695,                0.24363,                0.19061,                0.11421,                0.08497,                0.23701,                0.19479,                0.11537,                 0.0834,                0.98651,                 1.4004,                 3.3762,                 1.3333,               0.067099,             0.00033234,             0.00033234
                      2,                0.73064,                 1.1339,                  2.707,                 1.0452,                0.28059,                0.37082,                0.29033,                0.22005,                0.28064,                0.37106,                 0.2904,                0.22211,                0.79114,                 1.0322,                 2.1798,                 1.1386,               0.034097,             0.00066379,             0.00066379
                      3,                0.66814,                0.99345,                 2.0246,                0.99323,                 0.4659,                  0.471,                0.47571,                0.37191,                0.46438,                0.47112,                0.47527,                0.37588,                0.74422,                  0.941,                 1.6336,                 1.1103,              0.0010932,             0.00099335,             0.00099335
                      4,                0.63611,                 0.9326,                 1.6061,                0.97752,                 0.5596,                 0.5457,                0.55571,                 0.4299,                0.55855,                0.55031,                0.55811,                  0.436,                0.74987,                0.99714,                 1.3803,                 1.1272,             0.00099151,             0.00099151,             0.00099151
                      5,                 0.6167,                0.88451,                 1.3179,                0.96023,                0.68893,                 0.6215,                0.69513,                0.55447,                0.68797,                0.62337,                0.69497,                0.55675,                0.68942,                0.85669,                 1.0914,                 1.0703,             0.00099151,             0.00099151,             0.00099151
                      6,                0.60075,                0.86658,                  1.204,                0.94995,                0.70902,                0.64468,                 0.7245,                0.57596,                0.71031,                 0.6458,                0.72576,                0.58446,                 0.6787,                0.83012,                0.97842,                 1.0584,             0.00098869,             0.00098869,             0.00098869
                      7,                0.59937,                0.85277,                 1.1008,                0.94613,                0.71155,                0.67437,                0.72459,                0.57663,                0.71209,                0.67497,                0.72573,                0.58197,                0.67558,                0.83596,                0.96514,                 1.0447,             0.00098586,             0.00098586,             0.00098586
                      8,                 0.5858,                 0.8218,                 1.0131,                0.93843,                0.72266,                0.70322,                0.75785,                0.61062,                0.72288,                0.70552,                0.75767,                0.61308,                0.64695,                0.79413,                0.89493,                 1.0275,             0.00098303,             0.00098303,             0.00098303
                      9,                0.57574,                0.81474,                 0.9517,                0.92502,                0.73126,                 0.7084,                0.76674,                0.61748,                0.73228,                0.70813,                0.76663,                0.61815,                0.66557,                0.81066,                0.86283,                 1.0329,              0.0009802,              0.0009802,              0.0009802
                     10,                0.57484,                0.80477,                0.91377,                0.93061,                0.79189,                0.72605,                0.79843,                0.64455,                0.79122,                0.72599,                 0.7977,                0.64481,                0.65945,                0.80703,                0.84178,                 1.0286,             0.00097737,             0.00097737,             0.00097737
                     11,                 0.5645,                0.79653,                    0.9,                0.92694,                0.80292,                 0.7224,                0.79964,                 0.6473,                0.80397,                  0.724,                0.80065,                0.64803,                 0.6587,                0.80597,                 0.8285,                 1.0392,             0.00097454,             0.00097454,             0.00097454
                     12,                0.55388,                0.77421,                0.85249,                0.92145,                0.76563,                0.74121,                0.81367,                0.66909,                0.76702,                0.74393,                0.81371,                0.66395,                0.63925,                0.78947,                0.78771,                 1.0224,             0.00097171,             0.00097171,             0.00097171
