                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0464,                 1.8431,                 4.8829,                 1.2986,                0.14068,                0.19343,                0.10381,                0.07748,                0.13897,                0.19453,                0.10479,                0.07603,                0.92232,                  1.335,                 3.4153,                 1.3121,               0.067069,             0.00033263,             0.00033263
                      2,                0.78785,                 1.2221,                 2.8755,                 1.0931,                0.27242,                0.38415,                0.28937,                 0.2253,                0.27409,                0.38403,                 0.2897,                0.22106,                0.77117,                 1.0445,                 2.1738,                 1.1399,               0.034068,             0.00066432,             0.00066432
                      3,                0.73623,                 1.1022,                 2.1225,                 1.0438,                0.49765,                0.46581,                0.48336,                0.37524,                0.50315,                0.46347,                0.48525,                0.36765,                0.71643,                0.94172,                 1.5874,                 1.0848,              0.0010642,             0.00099435,             0.00099435
                      4,                0.70781,                  0.999,                 1.6438,                 1.0296,                0.56478,                0.57208,                0.58931,                0.46319,                0.56454,                0.57184,                0.58873,                  0.453,                0.72361,                0.95627,                 1.2911,                 1.1018,             0.00099258,             0.00099258,             0.00099258
                      5,                0.69039,                0.99033,                 1.3537,                 1.0077,                0.66803,                0.64976,                0.70244,                0.56263,                0.66862,                 0.6507,                0.70361,                0.55337,                0.67831,                0.88863,                 1.0691,                 1.0581,             0.00099258,             0.00099258,             0.00099258
                      6,                0.66585,                0.92453,                 1.1662,                0.99446,                0.72762,                0.67526,                0.73478,                0.58331,                0.72908,                0.67725,                0.73509,                0.57162,                0.68722,                0.87486,                0.99596,                  1.062,              0.0009901,              0.0009901,              0.0009901
                      7,                0.64265,                0.91666,                 1.0526,                0.98802,                 0.7257,                0.69943,                0.75699,                0.60512,                0.72785,                0.69565,                0.75717,                0.59962,                0.67042,                0.88613,                0.93581,                 1.0388,             0.00098763,             0.00098763,             0.00098763
                      8,                0.64348,                0.89554,                0.98199,                0.97295,                0.78501,                0.69516,                0.77606,                0.62064,                0.78774,                0.69763,                0.77654,                0.61312,                0.69658,                0.89966,                0.91885,                 1.0684,             0.00098515,             0.00098515,             0.00098515
                      9,                0.63859,                0.89668,                0.94393,                0.98124,                  0.752,                 0.7383,                 0.7941,                0.63182,                0.75081,                0.73955,                0.79227,                0.62811,                0.66614,                0.86357,                 0.8469,                 1.0356,             0.00098268,             0.00098268,             0.00098268
                     10,                0.61426,                0.85847,                0.85095,                0.96381,                0.78154,                0.71143,                0.79843,                0.64234,                0.78597,                0.70594,                0.79524,                0.63021,                0.65275,                0.86195,                0.81942,                 1.0234,              0.0009802,              0.0009802,              0.0009802
                     11,                0.61459,                0.86296,                 0.8458,                0.96153,                0.79013,                0.74545,                0.82035,                0.66808,                0.78656,                0.74822,                0.81937,                0.65687,                0.65162,                0.85072,                 0.7919,                 1.0188,             0.00097773,             0.00097773,             0.00097773
                     12,                0.60073,                0.83912,                0.79822,                0.95844,                0.78776,                0.77484,                0.82791,                0.67049,                0.78404,                0.77616,                0.82581,                 0.6589,                0.65811,                0.84459,                  0.762,                 1.0247,             0.00097525,             0.00097525,             0.00097525
                     13,                 0.5917,                0.82723,                0.76348,                0.94861,                0.80181,                0.74467,                0.81146,                0.66371,                 0.8026,                0.74347,                0.80997,                0.65374,                0.65552,                0.88292,                0.77724,                 1.0283,             0.00097278,             0.00097278,             0.00097278
                     14,                0.59736,                0.83436,                0.74472,                0.94998,                0.78376,                0.72207,                0.80065,                0.64295,                0.77554,                0.72548,                0.79901,                 0.6364,                 0.6772,                0.88857,                0.85016,                 1.0453,              0.0009703,              0.0009703,              0.0009703
                     15,                 0.5773,                0.79636,                0.69884,                 0.9391,                0.80361,                0.77639,                0.83885,                0.68137,                0.80232,                0.77507,                0.83545,                0.66844,                0.64576,                0.84187,                0.73817,                 1.0143,             0.00096783,             0.00096783,             0.00096783
                     16,                0.57572,                0.80389,                0.69522,                0.93838,                0.81105,                0.76104,                0.81967,                0.67251,                 0.8109,                0.76074,                0.82038,                0.65898,                0.65023,                0.85544,                0.77655,                 1.0213,             0.00096535,             0.00096535,             0.00096535
                     17,                0.58406,                0.80939,                0.67289,                0.93312,                0.80215,                 0.7607,                0.83321,                0.68451,                0.80519,                0.76362,                0.83398,                0.67372,                0.64204,                0.84109,                0.74469,                 1.0134,             0.00096288,             0.00096288,             0.00096288
                     18,                 0.5717,                0.78963,                0.65487,                 0.9292,                0.78824,                0.75008,                0.81238,                0.65953,                0.79069,                0.74998,                0.81319,                0.65196,                0.66369,                 0.8901,                 0.7957,                 1.0408,              0.0009604,              0.0009604,              0.0009604
                     19,                0.56753,                0.79064,                0.64876,                0.93323,                0.82161,                0.75622,                 0.8379,                0.69568,                0.81209,                0.76174,                0.83571,                0.67806,                0.64201,                0.84915,                0.73053,                 1.0128,             0.00095793,             0.00095793,             0.00095793
