                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81523,                 1.3342,                 13.528,                 1.0962,                 0.1261,                0.27645,                0.10535,                0.07945,                0.12625,                0.27708,                0.10597,                0.07973,                0.80317,                 1.0996,                  9.485,                 1.1633,               0.070161,              0.0033154,              0.0033154
                      2,                0.71975,                 1.0681,                  8.249,                 1.0408,                0.22969,                0.35685,                0.24304,                0.18414,                0.22961,                0.35649,                0.24177,                0.18067,                0.80504,                 1.1653,                 7.7195,                 1.1593,               0.040139,              0.0066268,              0.0066268
                      3,                0.68588,                 1.0071,                 6.4911,                 1.0133,                0.44725,                0.44287,                0.39254,                0.30035,                0.44936,                0.44475,                0.39511,                0.29818,                0.74642,                 1.0292,                 6.1712,                 1.1114,               0.010095,              0.0099162,              0.0099162
                      4,                0.67334,                0.98262,                 5.2481,                 1.0094,                0.55901,                0.52539,                0.55469,                0.42225,                0.55605,                0.52511,                0.55527,                0.42124,                0.74732,                 1.0188,                 4.9969,                 1.1018,               0.009901,               0.009901,               0.009901
                      5,                0.65746,                0.97465,                 4.6373,                0.99368,                0.59345,                0.61335,                0.63742,                0.48906,                0.59367,                 0.6134,                0.63524,                0.48621,                0.73831,                 1.0393,                 4.5889,                 1.1083,               0.009868,               0.009868,               0.009868
                      6,                0.64947,                0.95677,                 4.1347,                0.99152,                0.59434,                0.61631,                0.63942,                0.48264,                0.59605,                0.61977,                0.64001,                0.48966,                0.77006,                 1.1184,                 4.7085,                 1.1349,               0.009835,               0.009835,               0.009835
                      7,                0.63806,                 0.9454,                 3.8769,                 0.9886,                0.61915,                0.67921,                0.69476,                0.54547,                 0.6175,                0.67825,                0.69228,                0.54083,                0.71139,                0.93862,                 3.8021,                  1.077,               0.009802,               0.009802,               0.009802
                      8,                0.63544,                0.93268,                 3.6288,                0.97759,                0.67445,                0.66573,                0.72226,                0.56193,                0.67097,                0.66851,                0.72142,                0.55852,                0.69918,                0.94695,                 3.6608,                 1.0706,               0.009769,               0.009769,               0.009769
                      9,                 0.6278,                0.91504,                 3.4215,                0.97933,                 0.7141,                 0.6637,                0.72147,                0.55102,                0.71287,                0.66335,                 0.7203,                0.55262,                0.76095,                 1.0621,                 4.0439,                 1.1301,               0.009736,               0.009736,               0.009736
                     10,                0.62682,                0.90722,                  3.291,                0.98364,                0.75707,                0.63693,                0.72349,                0.55938,                0.76027,                0.63903,                0.72581,                0.56495,                0.76879,                 1.0701,                 3.9541,                 1.1318,               0.009703,               0.009703,               0.009703
                     11,                0.62162,                0.91263,                 3.1825,                0.97396,                0.77374,                0.68559,                0.77244,                0.60364,                0.77567,                0.68757,                0.77323,                0.60363,                0.70368,                0.96301,                 3.3472,                 1.0811,                0.00967,                0.00967,                0.00967
                     12,                0.61763,                0.89779,                 3.0881,                0.97326,                0.74212,                0.66322,                0.72591,                0.56726,                0.74533,                0.66658,                0.73041,                0.56282,                0.79922,                 1.1835,                 4.1082,                 1.1557,               0.009637,               0.009637,               0.009637
                     13,                0.61224,                0.89062,                 3.0252,                0.96425,                0.76257,                0.71186,                0.79054,                0.62787,                 0.7689,                0.71746,                0.79685,                0.62733,                0.68437,                0.92694,                 3.2221,                 1.0531,               0.009604,               0.009604,               0.009604
                     14,                0.61235,                0.88927,                 2.9321,                0.96768,                0.77447,                0.69425,                0.76967,                0.60138,                 0.7898,                0.68996,                0.77295,                0.60746,                0.72246,                0.96183,                 3.3544,                 1.0926,               0.009571,               0.009571,               0.009571
