                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89946,                 1.4946,                 3.5683,                 1.1716,                0.48863,                0.38919,                0.37034,                0.27689,                0.49064,                0.39227,                0.37344,                0.27958,                0.85902,                 1.1727,                 2.2187,                 1.2222,              0.0033283,              0.0033283,              0.0033283
                      2,                0.82089,                 1.2003,                 1.9092,                 1.0765,                0.54237,                0.47283,                0.50448,                0.36991,                0.62859,                0.40424,                0.50504,                 0.3753,                0.82371,                 1.0963,                 1.5953,                  1.157,              0.0066397,              0.0066397,              0.0066397
                      3,                 0.8794,                 1.2479,                 1.6617,                 1.1078,                0.52444,                0.45209,                0.46654,                0.33793,                0.52602,                0.45311,                0.46648,                0.33255,                0.98574,                 1.3999,                 1.6997,                 1.2688,               0.009929,               0.009929,               0.009929
                      4,                0.95631,                 1.3776,                  1.668,                 1.1668,                0.56959,                0.49873,                0.52241,                0.37083,                0.56992,                0.50308,                0.52346,                0.37627,                0.99966,                 1.3441,                 1.6366,                 1.2724,               0.009901,               0.009901,               0.009901
                      5,                0.94154,                 1.3248,                 1.5284,                 1.1506,                 0.6055,                0.52343,                0.56741,                0.38902,                0.60215,                0.51786,                 0.5595,                0.39546,                 1.0597,                 1.4588,                 1.5044,                 1.3451,               0.009901,               0.009901,               0.009901
                      6,                0.92545,                 1.3013,                 1.4332,                 1.1555,                0.62147,                0.53258,                 0.5883,                0.41833,                0.61683,                0.53813,                0.58945,                0.42646,                0.94017,                 1.2099,                 1.3884,                 1.2613,               0.009868,               0.009868,               0.009868
                      7,                0.91659,                 1.2728,                 1.3785,                  1.136,                0.68725,                0.59495,                  0.655,                 0.4742,                0.69076,                0.60102,                0.65669,                0.47359,                0.90904,                 1.1972,                 1.2707,                 1.2233,               0.009835,               0.009835,               0.009835
                      8,                0.89419,                 1.2319,                 1.2969,                 1.1253,                 0.6273,                0.62571,                0.64619,                0.46424,                0.63059,                0.62952,                0.65135,                 0.4682,                0.90649,                 1.1436,                 1.2087,                   1.21,               0.009802,               0.009802,               0.009802
                      9,                0.88802,                 1.2256,                 1.2827,                 1.1218,                0.65973,                0.64833,                0.68801,                0.50731,                0.67104,                0.65188,                0.69564,                 0.5171,                 0.8687,                 1.1114,                 1.2116,                  1.194,               0.009769,               0.009769,               0.009769
                     10,                 0.8659,                  1.196,                 1.2127,                 1.1031,                0.66318,                0.61286,                0.67187,                0.49439,                0.68255,                0.61237,                0.67934,                0.49625,                0.86768,                 1.1144,                 1.2021,                 1.1988,               0.009736,               0.009736,               0.009736
                     11,                0.83984,                 1.1626,                 1.1533,                 1.0939,                0.70804,                0.64278,                0.71085,                 0.5287,                0.74931,                0.62467,                0.71939,                0.53183,                0.86445,                 1.1112,                 1.1224,                 1.1845,               0.009703,               0.009703,               0.009703
                     12,                0.83266,                 1.1599,                 1.1207,                 1.0883,                 0.7444,                0.64085,                0.72495,                0.53633,                0.74495,                 0.6432,                 0.7265,                0.53973,                0.86779,                 1.0813,                 1.1148,                  1.197,                0.00967,                0.00967,                0.00967
                     13,                 0.8209,                 1.1221,                 1.0736,                 1.0878,                0.67789,                0.66376,                0.71489,                0.53927,                0.68064,                0.66414,                0.71653,                0.52575,                0.82972,                 1.1174,                 1.0999,                 1.1612,               0.009637,               0.009637,               0.009637
                     14,                0.82336,                 1.1219,                 1.0749,                 1.0819,                0.74693,                0.69063,                0.75582,                0.56604,                0.75078,                0.69473,                0.75986,                0.57038,                 0.8455,                 1.0622,                 1.0318,                 1.1579,               0.009604,               0.009604,               0.009604
                     15,                0.81584,                 1.1025,                 1.0534,                 1.0797,                0.71551,                0.66985,                0.72843,                0.54996,                0.71574,                0.66686,                0.72876,                0.54015,                0.84682,                 1.1297,                 1.0433,                 1.1804,               0.009571,               0.009571,               0.009571
                     16,                0.79351,                 1.0843,                 1.0245,                  1.073,                0.75438,                0.69621,                 0.7563,                0.56709,                0.75748,                0.69844,                0.75778,                0.57469,                0.82171,                 1.0624,                0.99549,                 1.1457,               0.009538,               0.009538,               0.009538
                     17,                0.77787,                 1.0673,                0.98436,                 1.0576,                0.76216,                0.65378,                0.74895,                0.56389,                0.76552,                0.65376,                0.74976,                0.56207,                0.83205,                 1.0945,                  1.088,                 1.1589,               0.009505,               0.009505,               0.009505
                     18,                0.76164,                 1.0241,                  0.969,                 1.0548,                0.76291,                0.69822,                0.76618,                0.58993,                0.76453,                0.69852,                0.76994,                0.58833,                0.80303,                 1.0271,                0.92604,                 1.1251,               0.009472,               0.009472,               0.009472
                     19,                 0.7632,                 1.0565,                 0.9735,                 1.0552,                0.77811,                0.72115,                0.79842,                0.60857,                0.78001,                0.72617,                0.80262,                0.61066,                0.78305,                0.99835,                0.88886,                 1.1195,               0.009439,               0.009439,               0.009439
                     20,                0.74643,                 1.0191,                0.94064,                 1.0393,                0.78655,                0.71999,                0.79571,                0.61676,                0.79807,                0.71826,                0.80004,                0.61659,                0.77251,                0.96937,                0.87241,                 1.1117,               0.009406,               0.009406,               0.009406
                     21,                0.75203,                 1.0225,                0.90755,                 1.0396,                0.72169,                0.71392,                0.77435,                0.58299,                0.72385,                0.71588,                0.77503,                0.58312,                0.78748,                 1.0299,                0.93056,                 1.1248,               0.009373,               0.009373,               0.009373
                     22,                0.74714,                 1.0129,                0.89962,                 1.0353,                0.80363,                0.71449,                 0.7963,                0.60646,                0.80635,                0.71241,                0.79516,                0.60198,                0.76956,                 1.0195,                 0.8783,                 1.1203,                0.00934,                0.00934,                0.00934
                     23,                0.73843,                 0.9907,                0.87741,                 1.0336,                0.79904,                0.67328,                0.77223,                0.59883,                0.79961,                0.67369,                0.76931,                0.58965,                0.77517,                 1.0211,                0.89309,                   1.13,               0.009307,               0.009307,               0.009307
                     24,                0.73581,                0.98227,                0.86609,                 1.0302,                0.74677,                 0.7734,                0.80385,                0.61974,                0.75169,                0.76601,                0.80217,                0.61339,                0.77317,                0.99525,                0.83977,                 1.1183,               0.009274,               0.009274,               0.009274
                     25,                0.72464,                 0.9889,                0.85368,                 1.0252,                0.76975,                0.71339,                0.78808,                0.61021,                0.77447,                0.71064,                0.78846,                0.60495,                0.77318,                0.99154,                0.87858,                 1.1144,               0.009241,               0.009241,               0.009241
                     26,                0.71444,                0.98683,                0.85208,                 1.0203,                0.76732,                 0.7224,                0.78562,                0.61104,                0.77018,                0.72512,                0.78974,                0.61201,                0.74908,                0.96953,                 0.8896,                 1.0853,               0.009208,               0.009208,               0.009208
                     27,                0.71371,                0.96663,                0.85456,                  1.019,                 0.7845,                0.73998,                0.80112,                0.62487,                 0.7853,                0.73865,                0.80161,                0.62203,                0.74276,                0.96177,                0.85765,                 1.0981,               0.009175,               0.009175,               0.009175
                     28,                0.71051,                0.96466,                0.81447,                 1.0126,                0.79374,                0.72005,                0.80125,                0.60777,                0.79381,                0.72045,                0.80028,                0.60978,                0.77797,                0.99363,                0.85937,                 1.1323,               0.009142,               0.009142,               0.009142
                     29,                0.69884,                0.94428,                0.80504,                 1.0144,                 0.7898,                0.74446,                0.81393,                0.64126,                0.79277,                0.74713,                0.81665,                0.63324,                0.73049,                 0.9542,                0.82444,                 1.0909,               0.009109,               0.009109,               0.009109
                     30,                0.69469,                0.94745,                0.79625,                 1.0086,                0.76937,                0.77723,                0.82021,                0.64293,                0.79516,                 0.7598,                0.82269,                0.63999,                0.73551,                0.94396,                0.80204,                 1.0911,               0.009076,               0.009076,               0.009076
                     31,                0.68506,                0.92096,                0.78034,                 1.0058,                0.76853,                0.76386,                0.81456,                 0.6442,                0.77291,                0.76009,                0.81588,                0.63552,                0.73087,                0.93444,                0.80472,                 1.0824,               0.009043,               0.009043,               0.009043
                     32,                 0.6857,                0.93788,                0.78659,                 1.0043,                0.78725,                0.74746,                0.81724,                0.64247,                0.79343,                0.75544,                0.82177,                0.63801,                0.74527,                0.93292,                0.81202,                 1.0944,                0.00901,                0.00901,                0.00901
                     33,                0.69283,                 0.9354,                0.75656,                  1.009,                0.82573,                0.73829,                0.82445,                0.64568,                0.82724,                0.73815,                0.82438,                0.63785,                0.72298,                0.94536,                0.80629,                 1.0937,               0.008977,               0.008977,               0.008977
                     34,                0.67422,                0.90842,                0.76596,                0.99681,                0.79198,                0.76082,                0.81828,                0.64816,                0.79881,                0.76675,                0.82472,                0.64363,                0.70981,                0.93628,                0.79221,                 1.0772,               0.008944,               0.008944,               0.008944
                     35,                0.67578,                0.91463,                0.75319,                0.99237,                0.82265,                  0.735,                0.82052,                0.65208,                0.82454,                0.73553,                0.82196,                0.63901,                  0.714,                0.94259,                0.79564,                 1.0764,               0.008911,               0.008911,               0.008911
                     36,                0.67224,                0.90338,                0.73082,                0.99259,                0.78135,                0.76195,                0.82367,                0.64813,                0.78241,                0.76496,                0.82348,                0.64209,                0.72444,                0.93231,                0.78837,                 1.0852,               0.008878,               0.008878,               0.008878
                     37,                 0.6723,                0.89877,                0.73517,                0.98927,                0.81228,                0.74372,                0.81245,                0.64784,                0.81285,                0.74213,                0.81365,                0.63591,                0.69995,                0.93159,                0.79069,                 1.0565,               0.008845,               0.008845,               0.008845
                     38,                0.65998,                0.90458,                0.71827,                0.98307,                0.80986,                0.77574,                0.83518,                0.65501,                0.81018,                0.77172,                0.82986,                0.64538,                0.71237,                 0.9593,                0.77888,                 1.0622,               0.008812,               0.008812,               0.008812
                     39,                0.65074,                0.88295,                0.71882,                0.98114,                0.79242,                0.76142,                0.82667,                0.65626,                0.79554,                0.76569,                0.82807,                0.64462,                0.72056,                0.94848,                0.79638,                  1.099,               0.008779,               0.008779,               0.008779
                     40,                0.65239,                0.90016,                0.71962,                0.98584,                0.78755,                0.76729,                0.82026,                0.64689,                0.78923,                0.76786,                0.82232,                0.63895,                0.69938,                0.92317,                0.77124,                 1.0716,               0.008746,               0.008746,               0.008746
                     41,                0.66087,                0.89153,                 0.7021,                0.98708,                0.82511,                0.75695,                0.82872,                0.65678,                0.82884,                 0.7595,                0.82916,                0.65348,                 0.7017,                0.91387,                0.75957,                 1.0688,               0.008713,               0.008713,               0.008713
                     42,                0.63406,                0.85704,                0.68481,                0.98163,                0.81712,                0.77768,                0.83836,                0.66578,                0.81949,                 0.7776,                0.83954,                0.65693,                0.71779,                0.91887,                 0.7483,                 1.0897,                0.00868,                0.00868,                0.00868
                     43,                0.63767,                0.86806,                0.68256,                0.97749,                0.81434,                0.75208,                0.81911,                0.65066,                  0.821,                0.75254,                 0.8212,                0.63818,                0.71825,                0.95773,                0.77447,                 1.0912,               0.008647,               0.008647,               0.008647
                     44,                0.63414,                0.86088,                 0.6733,                 0.9786,                0.79202,                0.78267,                0.82895,                0.65613,                0.79305,                0.78216,                0.82794,                0.64709,                0.69791,                0.92711,                 0.7454,                 1.0611,               0.008614,               0.008614,               0.008614
                     45,                0.63645,                0.86724,                0.67394,                0.96882,                0.79317,                0.78422,                 0.8301,                0.65935,                0.79434,                0.78624,                0.82913,                0.64695,                0.70591,                0.94152,                0.73561,                 1.0754,               0.008581,               0.008581,               0.008581
                     46,                 0.6165,                0.83619,                0.65578,                0.96409,                0.82467,                0.77114,                0.83777,                0.66638,                 0.8287,                0.77314,                0.84067,                0.65975,                0.68411,                0.92882,                0.72928,                 1.0678,               0.008548,               0.008548,               0.008548
                     47,                0.61829,                0.84472,                0.64045,                0.96741,                0.81545,                0.75303,                0.82452,                0.65414,                0.82038,                0.75666,                 0.8251,                0.65037,                0.69915,                0.94375,                0.74802,                 1.0714,               0.008515,               0.008515,               0.008515
                     48,                0.61104,                0.83335,                0.63409,                 0.9643,                0.82828,                0.77188,                 0.8436,                0.68077,                0.84138,                0.75949,                0.84498,                0.67337,                0.68256,                0.89609,                0.73769,                  1.066,               0.008482,               0.008482,               0.008482
                     49,                0.61531,                0.84163,                0.64317,                0.96675,                 0.8412,                0.78303,                   0.85,                0.67621,                 0.8458,                0.77691,                0.84675,                0.66706,                0.69157,                0.91522,                0.71845,                 1.0751,               0.008449,               0.008449,               0.008449
                     50,                0.61192,                0.83123,                   0.63,                0.96252,                0.81826,                0.76924,                0.84078,                0.66975,                0.81778,                0.76824,                0.83722,                0.66003,                0.69186,                0.95407,                 0.7351,                 1.0634,               0.008416,               0.008416,               0.008416
                     51,                0.60903,                0.84385,                0.63225,                 0.9619,                0.82918,                0.76893,                0.84683,                0.66549,                0.82943,                0.77215,                0.84577,                0.66166,                0.70032,                0.92801,                0.71427,                 1.0742,               0.008383,               0.008383,               0.008383
                     52,                 0.6097,                0.81679,                0.62594,                0.96071,                0.79393,                0.80597,                0.84241,                0.67585,                0.79153,                0.80314,                0.84285,                0.66384,                0.68554,                0.92849,                 0.7164,                 1.0652,                0.00835,                0.00835,                0.00835
                     53,                0.60103,                0.80942,                0.61075,                0.95511,                0.81793,                 0.7796,                0.84793,                0.67976,                  0.817,                0.77806,                0.84568,                0.67152,                0.68716,                0.92106,                0.70768,                 1.0666,               0.008317,               0.008317,               0.008317
                     54,                0.59543,                 0.8068,                0.60331,                0.94738,                0.83149,                0.77117,                0.84088,                0.67729,                0.83121,                0.77255,                0.84075,                0.66602,                0.67571,                0.89853,                0.71397,                 1.0432,               0.008284,               0.008284,               0.008284
                     55,                0.59552,                0.80861,                 0.6139,                0.95247,                0.85777,                0.76263,                0.84813,                0.68364,                0.85592,                0.76109,                0.84603,                0.67574,                0.67394,                 0.9067,                0.70833,                  1.064,               0.008251,               0.008251,               0.008251
                     56,                 0.5992,                0.81156,                0.60308,                0.94822,                0.82492,                0.75849,                0.83828,                0.67497,                0.82244,                0.75707,                 0.8347,                0.66097,                0.68186,                0.93886,                0.73262,                 1.0599,               0.008218,               0.008218,               0.008218
                     57,                0.59351,                0.81825,                0.59741,                0.95192,                0.84214,                0.77706,                0.84287,                0.67954,                0.84554,                0.77442,                0.84325,                0.66347,                0.68208,                0.94329,                0.71747,                  1.059,               0.008185,               0.008185,               0.008185
                     58,                0.58456,                0.80793,                0.58739,                0.94208,                0.81726,                0.77856,                0.84122,                0.67729,                0.80902,                0.79189,                0.84257,                  0.664,                0.70122,                0.93213,                0.71955,                 1.0858,               0.008152,               0.008152,               0.008152
                     59,                 0.5905,                0.78969,                0.59126,                0.95086,                0.80652,                0.79023,                0.84554,                0.67497,                0.80602,                0.79033,                 0.8414,                0.66288,                0.68038,                0.92449,                0.72552,                 1.0558,               0.008119,               0.008119,               0.008119
                     60,                 0.5876,                0.80016,                0.58127,                0.94793,                0.83976,                0.76971,                0.84018,                0.67068,                0.84224,                0.77052,                0.84158,                0.66145,                0.70224,                0.92649,                 0.7018,                 1.0742,               0.008086,               0.008086,               0.008086
                     61,                0.58838,                0.79847,                0.58646,                0.94201,                0.81974,                0.78963,                0.84573,                0.67862,                0.81998,                0.78968,                0.84425,                0.66843,                 0.6835,                0.91234,                0.69638,                 1.0657,               0.008053,               0.008053,               0.008053
                     62,                0.57659,                0.78364,                0.57214,                0.93954,                0.80675,                 0.7842,                0.83664,                0.67764,                0.81159,                0.78432,                0.83985,                0.66624,                0.67728,                0.91847,                0.69933,                 1.0559,                0.00802,                0.00802,                0.00802
                     63,                0.57151,                0.77489,                0.57056,                0.93715,                0.84499,                0.77793,                0.84868,                0.68216,                0.84338,                0.77393,                0.84475,                0.67361,                0.67289,                0.91083,                0.71618,                 1.0618,               0.007987,               0.007987,               0.007987
                     64,                0.56722,                 0.7783,                0.55736,                0.93639,                0.82428,                0.76931,                0.83646,                0.67989,                0.82814,                0.76913,                0.83565,                0.66648,                0.66259,                0.90055,                0.72402,                 1.0424,               0.007954,               0.007954,               0.007954
                     65,                0.56602,                0.77253,                0.55068,                0.93348,                0.85272,                0.76294,                0.84275,                0.68247,                 0.8555,                0.75852,                 0.8405,                0.66739,                 0.6813,                0.93113,                0.70116,                 1.0607,               0.007921,               0.007921,               0.007921
                     66,                0.56748,                0.77684,                0.56212,                0.94149,                0.83081,                0.77383,                0.83739,                0.67133,                0.83207,                 0.7757,                0.83667,                0.66477,                 0.6721,                 0.9039,                0.70295,                 1.0503,               0.007888,               0.007888,               0.007888
                     67,                0.57325,                 0.7884,                0.56544,                 0.9375,                0.82505,                0.78833,                0.84231,                0.68388,                0.82354,                0.78629,                0.83805,                0.66701,                0.66966,                0.92109,                0.69183,                 1.0524,               0.007855,               0.007855,               0.007855
                     68,                0.56371,                0.78263,                0.54631,                0.93801,                0.85006,                0.76337,                0.84656,                0.68202,                0.85049,                 0.7632,                0.84349,                0.67368,                0.67441,                0.91334,                0.69194,                 1.0618,               0.007822,               0.007822,               0.007822
                     69,                0.57014,                0.78842,                0.55218,                0.94038,                 0.8337,                0.75764,                0.82939,                 0.6642,                0.83059,                0.75773,                0.82489,                0.66005,                0.68616,                0.93878,                0.74446,                 1.0621,               0.007789,               0.007789,               0.007789
                     70,                 0.5532,                0.75514,                0.53809,                0.92631,                0.83973,                0.79337,                0.85714,                0.68922,                 0.8376,                0.79115,                0.85293,                0.68337,                 0.6695,                0.90904,                0.67889,                 1.0595,               0.007756,               0.007756,               0.007756
                     71,                0.55027,                0.74872,                 0.5223,                0.92582,                0.84751,                0.76856,                0.83764,                0.67092,                0.84665,                0.76749,                0.83757,                0.66322,                0.67494,                0.93357,                0.71477,                 1.0713,               0.007723,               0.007723,               0.007723
                     72,                 0.5533,                0.75295,                0.52565,                0.92741,                0.83043,                 0.7758,                0.83811,                0.68027,                0.83388,                0.77701,                0.83913,                0.66917,                0.67169,                0.92005,                0.69922,                 1.0566,                0.00769,                0.00769,                0.00769
                     73,                0.55852,                0.76348,                0.52125,                0.93092,                0.84762,                0.77342,                0.84303,                0.68407,                0.85098,                0.77594,                0.84547,                 0.6748,                0.66743,                0.93062,                0.68669,                 1.0576,               0.007657,               0.007657,               0.007657
                     74,                0.55276,                0.75382,                0.51919,                0.92963,                0.82192,                0.77921,                0.84959,                0.68972,                0.82428,                0.78086,                0.85072,                0.67506,                0.66925,                0.92791,                 0.7006,                 1.0507,               0.007624,               0.007624,               0.007624
                     75,                0.54786,                0.74199,                0.51572,                0.92489,                0.81917,                0.79559,                0.84449,                0.68542,                0.81693,                0.79832,                0.84234,                0.67396,                0.66225,                0.93029,                0.70257,                 1.0561,               0.007591,               0.007591,               0.007591
                     76,                0.54502,                0.73976,                0.50718,                0.92816,                0.85307,                0.79316,                0.86134,                0.69843,                0.85599,                0.79544,                0.86063,                0.68886,                 0.6571,                0.91222,                0.67185,                 1.0532,               0.007558,               0.007558,               0.007558
