                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89605,                  1.494,                  3.506,                 1.1649,                0.45486,                0.38314,                0.37235,                0.27784,                0.45446,                0.38333,                0.37275,                 0.2748,                0.84683,                 1.1421,                  1.974,                 1.1764,              0.0033263,              0.0033263,              0.0033263
                      2,                0.81095,                 1.1804,                 1.8187,                 1.0615,                0.57643,                0.47571,                0.53124,                0.39824,                0.58272,                 0.4797,                 0.5372,                0.40535,                0.87022,                 1.1888,                 1.5884,                 1.2171,              0.0066377,              0.0066377,              0.0066377
                      3,                0.88163,                 1.2496,                 1.5828,                 1.0994,                0.54262,                0.45836,                0.46634,                0.33146,                0.54381,                0.45467,                 0.4673,                0.32994,                 1.0508,                 1.5376,                 1.8762,                 1.3446,              0.0099271,              0.0099271,              0.0099271
                      4,                0.94841,                 1.3283,                 1.5849,                 1.1535,                0.58514,                0.53056,                0.56506,                0.39516,                0.58392,                0.52908,                0.56737,                0.40461,                 1.0274,                 1.3118,                 1.5703,                 1.3233,               0.009901,               0.009901,               0.009901
                      5,                0.93127,                  1.304,                 1.4227,                 1.1374,                0.62125,                0.51644,                0.56015,                0.39422,                0.63569,                0.51672,                0.56279,                0.39289,                 1.0068,                 1.4576,                 1.5521,                 1.2836,               0.009901,               0.009901,               0.009901
                      6,                0.92392,                 1.2929,                 1.3062,                 1.1267,                0.66969,                0.61227,                0.66557,                0.49527,                0.68202,                0.60768,                0.66979,                0.49517,                0.90144,                   1.21,                 1.2501,                 1.2082,               0.009868,               0.009868,               0.009868
                      7,                0.89229,                  1.256,                  1.257,                 1.1147,                0.63623,                0.62491,                0.66967,                0.50526,                0.64069,                0.62428,                0.66957,                0.48978,                0.86889,                 1.2501,                  1.207,                 1.1899,               0.009835,               0.009835,               0.009835
                      8,                0.87924,                 1.2006,                   1.21,                 1.1028,                0.71118,                0.63482,                0.69954,                0.51248,                0.71614,                0.64009,                0.70484,                0.52656,                0.90096,                 1.1604,                 1.1594,                 1.1977,               0.009802,               0.009802,               0.009802
                      9,                 0.8611,                 1.2031,                 1.1577,                 1.0993,                0.75203,                0.57808,                0.68222,                0.51093,                0.75955,                0.58403,                 0.6888,                0.50838,                0.87416,                  1.169,                 1.1686,                 1.2025,               0.009769,               0.009769,               0.009769
                     10,                0.83906,                 1.1638,                 1.1111,                 1.0915,                0.68192,                  0.613,                 0.6812,                0.51326,                0.66775,                0.64085,                 0.6838,                0.50876,                  0.869,                 1.1851,                 1.1702,                 1.2149,               0.009736,               0.009736,               0.009736
                     11,                 0.8327,                 1.1475,                 1.0877,                 1.0794,                0.71344,                0.65011,                0.70656,                0.53371,                0.71952,                0.65493,                0.71072,                0.51862,                0.86411,                 1.2087,                 1.0744,                 1.1939,               0.009703,               0.009703,               0.009703
                     12,                0.82188,                 1.1237,                 1.0533,                  1.075,                0.75247,                0.63711,                0.70322,                0.52739,                0.75479,                0.63876,                0.70498,                0.52183,                0.87052,                 1.2159,                 1.1108,                 1.2034,                0.00967,                0.00967,                0.00967
                     13,                0.81141,                 1.1142,                 1.0072,                 1.0627,                0.74215,                0.65372,                0.73454,                0.55429,                0.74318,                0.65583,                 0.7393,                 0.5578,                0.80287,                 1.0657,                 1.0173,                 1.1489,               0.009637,               0.009637,               0.009637
                     14,                0.79395,                 1.0888,                0.97267,                 1.0585,                0.79736,                0.67154,                0.77037,                0.59679,                0.79744,                0.67461,                0.77334,                 0.5905,                 0.7827,                 1.0843,                0.92852,                 1.1292,               0.009604,               0.009604,               0.009604
                     15,                0.78678,                 1.0711,                0.96289,                 1.0545,                0.76843,                0.72227,                0.79024,                0.62057,                0.77445,                0.72693,                0.79332,                0.61403,                0.75953,                 1.0218,                0.89122,                  1.105,               0.009571,               0.009571,               0.009571
                     16,                0.77979,                 1.0543,                0.93376,                 1.0444,                0.74325,                0.70353,                0.74963,                0.58028,                 0.7339,                0.71994,                0.75239,                0.57501,                0.77171,                 1.0481,                0.92209,                 1.1233,               0.009538,               0.009538,               0.009538
                     17,                0.77637,                 1.0443,                0.93244,                 1.0428,                0.76692,                 0.7047,                 0.7751,                0.59529,                0.76588,                0.70581,                0.77675,                0.60374,                0.79364,                 1.0268,                0.92333,                 1.1408,               0.009505,               0.009505,               0.009505
                     18,                0.78176,                 1.0499,                0.92226,                  1.042,                0.74502,                0.71478,                0.77485,                0.60242,                0.75008,                0.71938,                0.78047,                0.60142,                0.77105,                 1.0449,                0.91705,                 1.1144,               0.009472,               0.009472,               0.009472
                     19,                0.75409,                 1.0177,                0.88095,                 1.0339,                0.73238,                0.72533,                0.77996,                0.60499,                0.73745,                 0.7291,                0.78436,                0.60479,                0.76815,                 1.0208,                0.91462,                 1.1181,               0.009439,               0.009439,               0.009439
