                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90774,                 1.4215,                 4.4338,                 1.2192,                0.40199,                0.21482,                0.18762,                0.13818,                0.40283,                0.21548,                0.18891,                0.13954,                 1.3169,                 2.3302,                 3.0504,                 1.6031,              0.0033263,              0.0033263,              0.0033263
                      2,                0.79227,                 1.0393,                 2.0286,                 1.0947,                0.45774,                0.43805,                0.43574,                0.31128,                0.45968,                0.44217,                0.43965,                0.32964,                0.95531,                 1.1878,                 1.7565,                 1.2539,              0.0066377,              0.0066377,              0.0066377
                      3,                0.86082,                 1.1154,                 1.7223,                 1.1364,                0.49777,                0.35535,                0.33929,                0.22537,                0.49954,                 0.3579,                0.33958,                0.23214,                 1.2246,                 1.8169,                 2.2689,                 1.4833,              0.0099271,              0.0099271,              0.0099271
                      4,                0.91995,                  1.152,                   1.61,                 1.1703,                0.43037,                0.43131,                0.41663,                0.28414,                0.43085,                0.43558,                 0.4201,                0.29343,                 1.0685,                 1.4721,                 1.9039,                 1.3448,               0.009901,               0.009901,               0.009901
                      5,                 0.8926,                 1.1171,                 1.3724,                 1.1544,                0.54769,                0.47409,                0.51513,                0.36643,                0.54928,                0.47746,                 0.5178,                0.37019,                 1.0052,                 1.3843,                  1.577,                 1.2967,               0.009901,               0.009901,               0.009901
                      6,                0.82968,                 1.0293,                 1.2047,                 1.1059,                0.66116,                0.48147,                 0.5448,                0.38481,                 0.6643,                 0.4857,                0.54981,                0.39036,                 1.0251,                 1.5212,                 1.5556,                 1.3127,               0.009868,               0.009868,               0.009868
                      7,                 0.7738,                0.95317,                 1.0777,                 1.0658,                0.66479,                0.51949,                0.56619,                0.41358,                 0.6669,                 0.5204,                0.56849,                0.41552,                0.99352,                 1.3986,                 1.4794,                 1.3094,               0.009835,               0.009835,               0.009835
                      8,                0.73513,                0.91578,                 0.9701,                 1.0508,                0.70787,                0.54781,                0.63978,                0.47009,                0.70727,                0.54795,                0.63897,                0.46519,                0.91756,                 1.2529,                 1.2878,                 1.2452,               0.009802,               0.009802,               0.009802
                      9,                 0.6866,                 0.8538,                0.87561,                 1.0147,                0.60328,                0.60799,                0.62535,                0.45616,                0.60081,                0.60488,                0.62266,                0.45101,                0.90287,                 1.2727,                 1.2274,                 1.2322,               0.009769,               0.009769,               0.009769
                     10,                0.64457,                0.80508,                0.81322,                0.98948,                 0.7061,                0.61715,                0.67129,                0.50221,                0.70577,                0.62169,                0.67256,                0.50741,                0.86399,                 1.1629,                 1.1665,                 1.1973,               0.009736,               0.009736,               0.009736
                     11,                0.61545,                0.77921,                0.72232,                0.97317,                 0.7316,                0.58893,                0.66588,                0.49276,                0.73137,                0.58869,                0.66287,                0.49613,                0.89458,                  1.229,                   1.19,                 1.2352,               0.009703,               0.009703,               0.009703
                     12,                0.60227,                0.73091,                0.69855,                0.96164,                0.72056,                0.59668,                0.67386,                0.50687,                0.72268,                0.59821,                0.67738,                0.51355,                0.84728,                  1.142,                 1.1026,                 1.2091,                0.00967,                0.00967,                0.00967
                     13,                0.57713,                0.69838,                0.63104,                0.94482,                0.69392,                0.66105,                0.69066,                0.52043,                 0.6939,                0.66129,                0.69066,                0.52277,                0.84791,                  1.204,                  1.132,                 1.1897,               0.009637,               0.009637,               0.009637
                     14,                0.55138,                0.66188,                0.58333,                0.92766,                0.73095,                0.62364,                0.68887,                0.52165,                0.73221,                0.62406,                0.68859,                0.52746,                 0.8283,                 1.1814,                 1.1378,                 1.2005,               0.009604,               0.009604,               0.009604
                     15,                0.52965,                 0.6331,                0.54072,                0.91945,                0.76282,                0.65393,                0.71283,                0.54476,                0.76203,                0.65306,                0.71252,                0.55176,                0.81999,                  1.169,                 1.1222,                 1.1753,               0.009571,               0.009571,               0.009571
                     16,                0.51505,                0.62512,                0.53366,                0.90534,                0.74552,                0.61582,                0.68463,                0.52129,                0.74516,                 0.6156,                0.68529,                0.52501,                0.81106,                 1.2006,                 1.1274,                  1.175,               0.009538,               0.009538,               0.009538
                     17,                0.48528,                0.57297,                0.48374,                0.88923,                0.74571,                0.67241,                0.72482,                0.54565,                0.74776,                0.67475,                0.72846,                0.56076,                0.82918,                 1.2002,                 1.0653,                 1.1837,               0.009505,               0.009505,               0.009505
                     18,                0.47184,                0.55693,                0.45801,                0.87857,                0.76488,                0.65981,                0.72188,                0.55674,                 0.7693,                0.65495,                0.72409,                0.56376,                0.81802,                 1.2319,                 1.0555,                 1.2089,               0.009472,               0.009472,               0.009472
                     19,                0.45771,                0.53046,                 0.4322,                0.87408,                0.72947,                0.66208,                0.70375,                 0.5431,                0.72904,                0.66163,                0.70297,                 0.5378,                0.81568,                 1.2694,                 1.1373,                 1.1928,               0.009439,               0.009439,               0.009439
                     20,                0.43366,                0.50089,                0.41798,                0.85968,                 0.7431,                0.64328,                0.70478,                0.54688,                0.74669,                0.64631,                0.70741,                 0.5524,                0.80675,                 1.2634,                 1.1158,                 1.1967,               0.009406,               0.009406,               0.009406
                     21,                0.42909,                0.48713,                0.41307,                0.86145,                0.74629,                0.65186,                0.70781,                0.55277,                0.74866,                0.65402,                0.71132,                0.55942,                0.79546,                 1.2517,                 1.1475,                 1.1783,               0.009373,               0.009373,               0.009373
                     22,                 0.4056,                0.44639,                0.37948,                0.84897,                0.77876,                0.67028,                0.72742,                0.56422,                0.77427,                0.67158,                0.72757,                0.56765,                0.79588,                 1.2486,                 1.0535,                 1.1953,                0.00934,                0.00934,                0.00934
                     23,                0.40116,                0.43411,                0.36387,                0.84382,                0.78092,                0.67176,                0.73728,                0.57281,                 0.7783,                0.67441,                0.73693,                 0.5758,                0.76737,                 1.2934,                 1.0439,                 1.1569,               0.009307,               0.009307,               0.009307
                     24,                0.38704,                0.42972,                0.34901,                0.83864,                0.75061,                0.65319,                0.70966,                0.55107,                0.75611,                0.64939,                0.70565,                0.56214,                 0.7827,                 1.3285,                 1.1123,                 1.1773,               0.009274,               0.009274,               0.009274
                     25,                0.37469,                0.40754,                0.33681,                0.83374,                0.74776,                0.65308,                0.70466,                0.54971,                0.74817,                0.65591,                0.70404,                0.55542,                0.77592,                 1.3657,                 1.1218,                 1.1931,               0.009241,               0.009241,               0.009241
                     26,                0.36682,                0.39014,                0.32978,                0.82912,                  0.756,                0.65783,                0.72322,                 0.5726,                 0.7556,                0.65741,                0.71987,                0.57656,                0.76592,                 1.3575,                 1.0655,                 1.1713,               0.009208,               0.009208,               0.009208
                     27,                0.35762,                0.37677,                 0.3211,                0.82533,                0.79446,                0.64456,                0.72096,                0.57475,                0.79447,                0.64387,                0.72004,                0.58207,                0.75691,                 1.3692,                 1.1179,                 1.2076,               0.009175,               0.009175,               0.009175
                     28,                0.34522,                0.35992,                0.31233,                0.82104,                0.77238,                0.66653,                0.73205,                0.57969,                0.77142,                0.66647,                0.72903,                0.57754,                0.76801,                 1.3916,                 1.0726,                 1.1968,               0.009142,               0.009142,               0.009142
                     29,                0.33913,                0.35105,                0.30296,                0.81808,                0.78855,                0.63903,                0.71672,                 0.5668,                0.79766,                0.63655,                0.71769,                0.57528,                0.75327,                 1.4042,                 1.1306,                 1.1721,               0.009109,               0.009109,               0.009109
                     30,                0.32932,                0.32847,                0.29155,                0.81259,                0.75174,                0.65927,                0.71523,                0.57401,                0.75165,                0.65926,                0.71356,                0.57029,                0.74907,                 1.4351,                  1.102,                  1.181,               0.009076,               0.009076,               0.009076
                     31,                 0.3257,                0.31785,                0.29175,                0.81243,                0.78525,                0.65361,                0.71322,                0.56027,                0.78641,                0.65259,                0.71184,                0.56242,                0.76925,                 1.4812,                 1.1215,                 1.1916,               0.009043,               0.009043,               0.009043
                     32,                0.31705,                0.30859,                 0.2885,                0.81041,                0.73526,                0.70634,                0.73513,                0.58797,                0.73358,                0.70453,                 0.7327,                 0.5907,                 0.7447,                  1.484,                 1.0606,                 1.1806,                0.00901,                0.00901,                0.00901
                     33,                0.30539,                 0.2987,                 0.2822,                0.80641,                 0.8056,                0.63265,                0.72085,                0.57865,                0.80546,                0.63249,                0.71946,                0.57962,                 0.7439,                  1.457,                 1.0897,                  1.173,               0.008977,               0.008977,               0.008977
                     34,                 0.3049,                0.29363,                0.27821,                0.80335,                0.77093,                0.67717,                0.73461,                0.59225,                0.76999,                0.67382,                0.73426,                0.59625,                0.74859,                 1.4837,                 1.0847,                  1.184,               0.008944,               0.008944,               0.008944
                     35,                0.29664,                0.27279,                0.27489,                0.80129,                0.78793,                0.62614,                0.69956,                0.56597,                0.79555,                0.63097,                0.70381,                0.57253,                 0.7291,                 1.5055,                 1.0989,                 1.1778,               0.008911,               0.008911,               0.008911
                     36,                0.28793,                0.26734,                0.26934,                0.79806,                 0.7715,                0.67206,                0.72751,                0.58592,                 0.7697,                0.66993,                0.72445,                0.58854,                0.72271,                 1.5047,                 1.0583,                 1.1684,               0.008878,               0.008878,               0.008878
                     37,                0.28258,                0.25805,                0.25864,                0.79642,                0.76791,                0.64324,                0.72139,                0.58348,                 0.7629,                0.64087,                0.71792,                0.57836,                0.72143,                 1.5995,                 1.0574,                 1.1794,               0.008845,               0.008845,               0.008845
                     38,                0.28155,                0.25073,                0.25666,                0.79524,                0.82789,                0.61091,                0.71833,                0.57762,                0.82411,                0.61184,                0.71658,                0.57462,                0.72372,                 1.5689,                 1.0973,                 1.1775,               0.008812,               0.008812,               0.008812
                     39,                0.27712,                0.24084,                0.25853,                0.79211,                0.76927,                0.65324,                0.71604,                0.57733,                0.79069,                0.64572,                0.71968,                0.58407,                0.74702,                 1.5917,                 1.1048,                 1.2031,               0.008779,               0.008779,               0.008779
                     40,                0.27592,                0.23861,                0.24927,                0.79292,                0.75939,                0.67027,                0.72557,                0.58581,                0.76118,                0.67008,                0.72595,                0.58778,                0.73934,                 1.5477,                 1.1008,                 1.1964,               0.008746,               0.008746,               0.008746
                     41,                0.27259,                0.23434,                0.24247,                0.79026,                0.79296,                 0.6509,                0.72118,                 0.5781,                0.79284,                0.65064,                0.72092,                0.57732,                0.73363,                 1.6517,                 1.1352,                 1.1999,               0.008713,               0.008713,               0.008713
                     42,                0.27062,                0.22582,                 0.2434,                0.78995,                0.76487,                0.66815,                 0.7185,                0.57845,                0.76419,                0.66745,                0.71531,                 0.5769,                0.73302,                 1.6191,                 1.1074,                  1.188,                0.00868,                0.00868,                0.00868
                     43,                 0.2617,                0.21759,                0.23971,                 0.7885,                0.77222,                0.66315,                0.72886,                0.58861,                0.77256,                0.66253,                0.72855,                0.58574,                 0.7175,                 1.7221,                 1.0821,                 1.1731,               0.008647,               0.008647,               0.008647
                     44,                0.25863,                0.20836,                0.23062,                0.78791,                0.76871,                 0.6697,                0.73358,                0.59666,                0.77318,                0.67291,                0.73665,                0.60012,                0.72062,                 1.6703,                 1.0843,                  1.173,               0.008614,               0.008614,               0.008614
                     45,                0.25502,                0.21169,                0.23361,                0.78792,                0.79273,                0.63897,                0.72905,                0.59124,                0.79683,                0.64011,                0.72886,                0.58814,                 0.7147,                 1.7608,                  1.068,                 1.1852,               0.008581,               0.008581,               0.008581
                     46,                0.24937,                 0.2063,                0.22314,                0.78674,                0.80659,                0.65529,                0.72774,                0.59323,                0.80623,                0.65501,                0.72786,                0.58993,                 0.7192,                 1.7289,                 1.0862,                 1.1914,               0.008548,               0.008548,               0.008548
                     47,                 0.2477,                0.20377,                 0.2251,                0.78453,                0.80221,                0.64422,                0.72238,                0.59201,                0.79652,                0.64026,                0.71825,                0.58158,                0.70915,                 1.6457,                 1.0663,                 1.1769,               0.008515,               0.008515,               0.008515
                     48,                0.24483,                0.19254,                0.22201,                0.78408,                0.84445,                0.62336,                0.72895,                0.59436,                0.84703,                0.62517,                 0.7317,                0.59557,                0.71674,                 1.6999,                 1.0925,                  1.174,               0.008482,               0.008482,               0.008482
                     49,                0.24418,                 0.1884,                0.21548,                  0.783,                0.81385,                0.64746,                0.74233,                0.60139,                0.81434,                0.64835,                0.74456,                0.60332,                0.71294,                 1.6916,                 1.0211,                 1.1706,               0.008449,               0.008449,               0.008449
                     50,                 0.2404,                0.17948,                0.21385,                0.78184,                0.83046,                0.65837,                0.74227,                 0.6033,                 0.8291,                0.66132,                0.74351,                0.60369,                0.70992,                 1.7091,                 1.0667,                 1.1781,               0.008416,               0.008416,               0.008416
                     51,                0.23866,                0.17068,                0.21343,                0.77944,                0.82802,                0.63706,                0.73333,                0.60364,                0.82815,                0.63701,                0.73275,                0.60366,                0.70273,                 1.7194,                 1.0735,                 1.1655,               0.008383,               0.008383,               0.008383
                     52,                0.23445,                0.16428,                0.21304,                0.78041,                0.83446,                0.65098,                0.73982,                0.60716,                 0.8311,                 0.6515,                 0.7383,                0.60695,                0.70924,                 1.7805,                 1.0959,                 1.1829,                0.00835,                0.00835,                0.00835
                     53,                0.23278,                0.16492,                0.21182,                0.77895,                0.81502,                0.65465,                0.74078,                0.59819,                 0.8151,                0.65419,                0.73861,                0.59673,                0.70629,                 1.7607,                 1.0623,                 1.1839,               0.008317,               0.008317,               0.008317
                     54,                0.22819,                0.15634,                0.20935,                0.77814,                0.81446,                0.63139,                0.71309,                0.58437,                0.81388,                0.63127,                0.71247,                0.58248,                0.71303,                 1.8227,                 1.1162,                 1.1847,               0.008284,               0.008284,               0.008284
                     55,                0.22826,                0.15184,                0.20778,                0.77888,                0.77507,                0.66925,                0.73323,                0.60031,                0.77312,                0.66898,                0.73115,                0.60113,                0.70906,                 1.8928,                 1.0592,                 1.2028,               0.008251,               0.008251,               0.008251
                     56,                0.22513,                0.14512,                0.20129,                0.77642,                 0.8111,                0.64581,                0.73851,                0.60603,                0.82968,                0.63825,                0.73803,                0.60412,                0.70625,                 1.9011,                 1.0659,                 1.1945,               0.008218,               0.008218,               0.008218
                     57,                0.22671,                0.14345,                 0.2041,                 0.7775,                0.81943,                0.62214,                0.72959,                0.59625,                 0.8179,                 0.6219,                0.72966,                0.59538,                0.70344,                 1.9873,                 1.0881,                  1.184,               0.008185,               0.008185,               0.008185
                     58,                0.22374,                0.14488,                0.20227,                0.77665,                0.80697,                0.63899,                0.73071,                0.59209,                0.80739,                0.63932,                0.73054,                 0.5909,                0.70895,                 1.9649,                 1.0092,                 1.1936,               0.008152,               0.008152,               0.008152
                     59,                0.21732,                0.14139,                0.19883,                0.77404,                0.83447,                0.64395,                0.74762,                  0.605,                0.83443,                0.64529,                0.74789,                0.60855,                0.70806,                 1.9826,                 1.0319,                 1.1932,               0.008119,               0.008119,               0.008119
                     60,                0.21346,                 0.1397,                0.19546,                0.77446,                0.82052,                0.63521,                0.73033,                0.59839,                0.82161,                0.63413,                0.72618,                0.59021,                0.70116,                 1.9955,                 1.0393,                 1.1907,               0.008086,               0.008086,               0.008086
