                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91575,                 1.4426,                 2.4509,                  1.176,                0.33373,                0.28527,                0.19926,                0.13907,                0.33084,                0.28421,                0.19672,                0.12429,                 1.1796,                 3.3751,                 2.6577,                 1.4678,               0.067069,             0.00033263,             0.00033263
                      2,                0.99791,                  1.472,                 2.1319,                 1.2193,                 0.3552,                0.30328,                0.24967,                0.17612,                0.35537,                0.30672,                0.25067,                0.17553,                 1.1257,                 1.7713,                 2.3088,                 1.4103,               0.034067,             0.00066377,             0.00066377
                      3,                0.96279,                 1.4403,                 1.9702,                 1.2003,                0.39533,                0.36803,                0.35881,                0.24589,                0.40043,                0.37176,                0.36357,                0.25591,                 1.1241,                 1.5818,                 2.0506,                 1.4523,              0.0010626,             0.00099271,             0.00099271
                      4,                0.94695,                 1.3568,                 1.8357,                 1.1905,                0.56417,                0.42192,                0.42734,                 0.2919,                0.57297,                0.41444,                0.42737,                 0.2943,                 1.0357,                 1.4791,                 1.9482,                 1.3423,              0.0009901,              0.0009901,              0.0009901
                      5,                0.91721,                 1.3179,                 1.7325,                  1.184,                0.68574,                0.38725,                0.46289,                0.32668,                0.70529,                0.38226,                0.46759,                0.33072,                0.97644,                 1.3526,                 1.6655,                 1.3206,              0.0009901,              0.0009901,              0.0009901
                      6,                0.88559,                 1.2729,                   1.65,                 1.1541,                0.50883,                0.44746,                0.47958,                0.33137,                0.50971,                0.44793,                0.48057,                0.33504,                 1.0478,                  1.499,                 1.7318,                 1.3357,              0.0009868,              0.0009868,              0.0009868
                      7,                0.86775,                 1.2312,                 1.5681,                 1.1387,                0.57884,                0.51126,                 0.5441,                0.39061,                0.58545,                0.51072,                0.54362,                0.38659,                  0.906,                 1.2138,                 1.5221,                 1.2573,              0.0009835,              0.0009835,              0.0009835
                      8,                0.81911,                 1.1674,                 1.4492,                 1.1168,                0.66082,                0.48131,                0.54943,                0.38898,                0.66069,                 0.4841,                0.54783,                0.38437,                0.93354,                 1.2641,                 1.5141,                 1.2824,              0.0009802,              0.0009802,              0.0009802
                      9,                0.82076,                 1.1648,                 1.4193,                 1.1101,                0.63094,                0.48902,                0.57833,                0.41426,                0.62672,                0.48975,                 0.5783,                0.40559,                0.92588,                 1.2842,                 1.4385,                 1.2664,              0.0009769,              0.0009769,              0.0009769
                     10,                0.80854,                 1.1513,                 1.3765,                 1.1015,                0.67207,                0.52505,                0.61847,                 0.4566,                0.67418,                0.52666,                0.61937,                0.45545,                0.84789,                 1.1164,                 1.3558,                 1.1996,              0.0009736,              0.0009736,              0.0009736
                     11,                0.79973,                 1.1299,                 1.3416,                  1.102,                0.55444,                0.53221,                0.56347,                0.41136,                0.54917,                0.53475,                0.56888,                0.41648,                0.87306,                 1.1599,                   1.45,                  1.237,              0.0009703,              0.0009703,              0.0009703
                     12,                0.80325,                   1.14,                 1.3545,                 1.1055,                0.68688,                0.48984,                0.59477,                0.43006,                0.68576,                 0.4885,                0.59235,                0.43804,                0.88056,                 1.1263,                 1.3774,                  1.219,               0.000967,               0.000967,               0.000967
                     13,                0.77954,                 1.1131,                 1.3383,                  1.094,                0.57739,                 0.5623,                0.60538,                0.44247,                0.57603,                0.56266,                0.60535,                0.44961,                0.87039,                 1.2563,                 1.3553,                 1.2413,              0.0009637,              0.0009637,              0.0009637
                     14,                0.76565,                 1.0843,                 1.2958,                 1.0866,                0.65615,                 0.5766,                0.64942,                0.48527,                0.65439,                 0.5761,                0.64692,                0.48513,                0.84235,                 1.1097,                 1.2698,                 1.2138,              0.0009604,              0.0009604,              0.0009604
                     15,                0.75112,                  1.064,                 1.2445,                 1.0701,                0.72968,                0.59132,                0.67228,                 0.5059,                0.71808,                0.59862,                0.67356,                0.50446,                0.80459,                 1.0997,                 1.1514,                 1.1767,              0.0009571,              0.0009571,              0.0009571
                     16,                0.75999,                 1.0434,                 1.2204,                 1.0819,                0.64421,                0.60673,                0.64811,                0.48421,                0.64397,                0.60551,                 0.6489,                 0.4836,                0.82804,                  1.102,                  1.272,                 1.2063,              0.0009538,              0.0009538,              0.0009538
                     17,                0.74328,                 1.0514,                 1.1934,                 1.0735,                 0.5908,                0.66513,                 0.6817,                 0.5167,                0.58971,                0.66497,                0.68193,                0.51526,                0.80133,                 1.0392,                 1.2129,                 1.1898,              0.0009505,              0.0009505,              0.0009505
                     18,                0.73326,                 1.0396,                 1.2078,                 1.0652,                0.64001,                0.61557,                0.68974,                0.51565,                0.64076,                0.61558,                 0.6883,                0.51551,                 0.7967,                 1.0309,                 1.1857,                 1.1684,              0.0009472,              0.0009472,              0.0009472
                     19,                0.71819,                 1.0147,                 1.1646,                 1.0552,                0.68841,                 0.5902,                0.64854,                0.48816,                0.68679,                 0.5925,                0.64874,                0.47958,                0.82876,                 1.0775,                 1.1606,                 1.1931,              0.0009439,              0.0009439,              0.0009439
                     20,                0.72719,                 1.0278,                 1.1633,                 1.0588,                0.67621,                  0.622,                0.68939,                0.51328,                0.67243,                0.62191,                0.68808,                0.51342,                0.82823,                 1.0943,                 1.1616,                 1.1792,              0.0009406,              0.0009406,              0.0009406
                     21,                0.73763,                 1.0211,                 1.1174,                 1.0664,                0.76101,                0.59605,                0.69372,                0.52714,                0.76248,                0.59711,                0.69614,                0.52097,                0.78803,                 1.0567,                 1.0928,                 1.1671,              0.0009373,              0.0009373,              0.0009373
                     22,                0.72122,                 1.0052,                 1.1095,                 1.0468,                0.66358,                0.63563,                0.69125,                0.52243,                0.67879,                0.61627,                0.69055,                0.51961,                0.78573,                 1.0217,                 1.1373,                 1.1565,               0.000934,               0.000934,               0.000934
                     23,                0.71391,                 1.0047,                 1.1289,                 1.0551,                 0.7933,                0.64114,                0.73434,                0.55353,                0.79563,                0.63936,                0.73157,                 0.5535,                0.78217,                 1.0042,                  1.048,                 1.1574,              0.0009307,              0.0009307,              0.0009307
                     24,                0.71332,                 1.0093,                 1.1103,                  1.051,                0.74546,                0.64353,                0.72066,                0.54467,                0.73727,                0.65082,                0.71908,                0.53957,                0.81588,                 1.0538,                 1.1031,                 1.1895,              0.0009274,              0.0009274,              0.0009274
                     25,                0.71756,                 1.0071,                  1.099,                 1.0508,                0.69113,                0.66183,                0.71931,                0.53881,                0.69352,                0.66308,                0.71903,                0.54076,                0.82662,                 1.0437,                 1.1053,                 1.1825,              0.0009241,              0.0009241,              0.0009241
                     26,                0.69551,                0.98898,                 1.0298,                 1.0419,                0.75336,                0.63108,                0.73811,                0.56226,                0.75259,                0.63059,                  0.738,                0.56598,                0.77519,                0.99405,                 1.0354,                 1.1515,              0.0009208,              0.0009208,              0.0009208
                     27,                0.71333,                0.97434,                 1.1104,                 1.0556,                0.69335,                0.64209,                0.71153,                0.53395,                0.69274,                0.64141,                0.70949,                0.52856,                0.80492,                 1.0339,                 1.0786,                 1.1774,              0.0009175,              0.0009175,              0.0009175
                     28,                0.70812,                0.99029,                 1.1127,                 1.0528,                0.78106,                0.60126,                  0.715,                 0.5378,                0.78352,                0.60277,                0.71725,                0.53682,                0.79533,                   1.03,                 1.0815,                 1.1741,              0.0009142,              0.0009142,              0.0009142
                     29,                0.70441,                0.97872,                 1.0706,                 1.0463,                0.74436,                0.67849,                0.75203,                0.57622,                0.74487,                0.67871,                0.75353,                0.58278,                0.79076,                0.98532,                0.97717,                 1.1627,              0.0009109,              0.0009109,              0.0009109
                     30,                0.70087,                0.97854,                 1.0556,                 1.0371,                0.69813,                0.67663,                0.71607,                0.53978,                0.69716,                 0.6755,                0.71596,                0.54312,                 0.7705,                 1.0007,                 1.0721,                 1.1491,              0.0009076,              0.0009076,              0.0009076
                     31,                0.70335,                0.97902,                 1.0418,                  1.043,                 0.7422,                0.64807,                0.73579,                0.55447,                0.74008,                0.64614,                0.73373,                0.55944,                 0.7897,                 1.0155,                 1.0575,                 1.1564,              0.0009043,              0.0009043,              0.0009043
                     32,                0.68891,                0.97563,                  1.046,                 1.0434,                0.75175,                0.66781,                0.74781,                0.57296,                0.78057,                0.67364,                0.74997,                0.57228,                 0.7729,                 1.0008,                0.97799,                 1.1564,               0.000901,               0.000901,               0.000901
                     33,                0.69365,                0.96981,                 1.0601,                 1.0399,                0.76817,                0.66359,                0.74569,                 0.5707,                 0.7687,                0.66297,                0.74475,                0.56899,                0.78744,                0.96891,                0.98133,                 1.1803,              0.0008977,              0.0008977,              0.0008977
                     34,                0.67838,                 0.9431,                 1.0102,                 1.0327,                0.77572,                0.64888,                0.75426,                0.58142,                0.77142,                0.65007,                0.75473,                0.57885,                0.76224,                0.98628,                 1.0036,                  1.144,              0.0008944,              0.0008944,              0.0008944
                     35,                 0.6859,                0.97216,                 1.0319,                 1.0377,                0.75749,                0.66769,                0.75588,                0.59154,                0.76005,                 0.6691,                0.75861,                0.58722,                0.74954,                 0.9831,                0.98966,                 1.1342,              0.0008911,              0.0008911,              0.0008911
