                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5252,                 2.5176,                 3.3506,                 1.6247,                0.33715,                0.11142,                0.03477,                0.01948,                0.33721,                0.11078,                0.03603,                0.02068,                 1.8879,                 4.5139,                 14.452,                 2.2042,               0.070063,              0.0033263,              0.0033263
                      2,                 1.4244,                 2.2303,                 2.9451,                 1.5642,                0.23664,                0.14403,                0.04614,                0.02569,                0.23688,                0.14455,                0.04695,                0.02727,                  1.734,                 2.5919,                 4.3901,                 1.9869,               0.040041,              0.0066377,              0.0066377
                      3,                 1.2834,                 1.9896,                 2.6894,                  1.463,                0.24232,                0.00906,                0.01124,                0.00687,                 0.2431,                0.00944,                0.01131,                0.00724,                 2.6546,                 5.2684,                 8.7413,                 3.1491,              0.0099969,              0.0099271,              0.0099271
                      4,                 1.2217,                 1.8411,                 2.5466,                 1.4167,                0.26299,                0.07132,                0.05478,                 0.0329,                0.26391,                0.07185,                0.05466,                0.03014,                 2.0167,                 3.6984,                 4.3383,                 2.3663,               0.009901,               0.009901,               0.009901
                      5,                 1.1764,                 1.7764,                 2.4485,                  1.385,                0.33661,                0.21965,                 0.1674,                0.11176,                0.33764,                0.21996,                0.16798,                0.11667,                 1.2615,                 1.6674,                 2.4812,                 1.5622,               0.009901,               0.009901,               0.009901
                      6,                 1.1209,                  1.634,                 2.2646,                 1.3364,                0.42239,                0.25857,                0.16553,                0.11045,                0.42184,                0.25849,                0.16471,                0.11096,                  1.274,                 1.8414,                 2.4614,                 1.5633,               0.009868,               0.009868,               0.009868
                      7,                 1.0986,                 1.5845,                 2.1931,                 1.3186,                0.45326,                 0.2367,                0.18819,                0.12336,                0.50481,                0.23213,                0.18779,                0.12629,                 1.2535,                 1.6048,                 2.4242,                  1.553,               0.009835,               0.009835,               0.009835
                      8,                 1.0436,                 1.5116,                 2.0975,                 1.2828,                0.36456,                0.31516,                0.24435,                0.16849,                0.36499,                0.31538,                0.24633,                 0.1682,                 1.1176,                 1.4936,                  2.129,                 1.4633,               0.009802,               0.009802,               0.009802
                      9,                0.99939,                 1.4352,                  1.982,                 1.2436,                0.43066,                0.29323,                0.25171,                0.17837,                0.43185,                0.29447,                0.25388,                0.17827,                 1.1001,                 1.5249,                 2.2654,                 1.4452,               0.009769,               0.009769,               0.009769
                     10,                0.99434,                 1.4342,                 1.9633,                 1.2413,                0.49653,                0.26969,                0.26408,                0.18367,                0.49728,                0.26906,                0.26513,                0.18406,                 1.1252,                 1.4726,                 2.0801,                 1.4154,               0.009736,               0.009736,               0.009736
                     11,                 0.9741,                 1.4067,                 1.8925,                 1.2284,                0.53006,                0.24973,                0.24316,                0.16297,                0.52904,                0.24932,                0.24363,                0.16386,                 1.1442,                 1.7064,                 2.3848,                 1.4736,               0.009703,               0.009703,               0.009703
                     12,                0.96574,                  1.399,                 1.9051,                 1.2267,                0.39996,                0.31536,                0.28324,                0.19056,                0.40053,                0.31576,                0.28357,                0.19708,                 1.0979,                 1.4658,                 2.0802,                 1.4072,                0.00967,                0.00967,                0.00967
                     13,                0.91833,                 1.3332,                  1.816,                 1.1965,                0.59523,                0.27518,                0.32077,                0.22282,                0.55906,                0.30824,                0.32232,                0.22517,                 1.0296,                  1.498,                 1.9652,                 1.3796,               0.009637,               0.009637,               0.009637
                     14,                0.93091,                 1.3333,                 1.7797,                 1.2138,                0.43413,                0.42112,                0.36229,                0.25433,                0.43065,                0.42117,                0.36151,                0.25665,                0.99857,                 1.2997,                 1.8219,                 1.3554,               0.009604,               0.009604,               0.009604
                     15,                0.91891,                 1.3092,                 1.7387,                 1.1952,                0.60731,                0.35145,                0.38325,                0.27395,                0.60809,                0.35785,                0.38823,                 0.2727,                0.98202,                 1.3322,                 1.8816,                 1.3461,               0.009571,               0.009571,               0.009571
                     16,                0.90863,                 1.2835,                 1.6959,                 1.1962,                0.70303,                0.32501,                 0.3962,                0.27836,                0.70359,                 0.3249,                  0.397,                0.28104,                 1.0184,                 1.3331,                 2.2116,                 1.3712,               0.009538,               0.009538,               0.009538
                     17,                0.86296,                 1.2402,                 1.6252,                   1.17,                0.51209,                0.38475,                0.39366,                0.28132,                0.51264,                0.38495,                0.39399,                0.28166,                0.98561,                 1.3407,                  1.775,                 1.3514,               0.009505,               0.009505,               0.009505
                     18,                0.86726,                 1.2231,                 1.5883,                 1.1697,                0.51395,                0.40909,                0.45173,                0.31922,                0.51352,                0.40911,                0.45109,                0.32112,                0.97982,                 1.2304,                 1.6938,                 1.3542,               0.009472,               0.009472,               0.009472
                     19,                 0.8427,                 1.2012,                 1.5614,                 1.1579,                0.59993,                0.43941,                0.45885,                0.32838,                0.60338,                0.44154,                0.46205,                0.32661,                0.94469,                 1.2668,                 1.6369,                 1.2986,               0.009439,               0.009439,               0.009439
                     20,                0.87251,                 1.2639,                 1.6069,                  1.171,                0.60259,                0.40822,                0.43904,                0.32032,                0.54633,                0.40944,                0.44037,                0.31992,                0.91348,                 1.2117,                 1.6202,                 1.2805,               0.009406,               0.009406,               0.009406
                     21,                0.86762,                 1.2257,                 1.5428,                 1.1619,                0.68735,                0.42219,                0.46968,                0.33776,                0.68401,                0.42285,                0.46798,                0.32793,                0.97704,                 1.3609,                 1.7125,                 1.3249,               0.009373,               0.009373,               0.009373
                     22,                0.86885,                 1.2246,                 1.5377,                 1.1582,                0.61468,                0.43585,                0.48934,                0.35125,                0.61331,                0.43533,                0.48896,                0.35283,                0.93219,                 1.2018,                 1.5595,                  1.276,                0.00934,                0.00934,                0.00934
                     23,                0.82378,                 1.1726,                 1.4709,                 1.1424,                0.53748,                0.49422,                0.50414,                0.36039,                 0.5256,                0.50072,                0.50628,                0.36687,                0.93922,                 1.1868,                 1.5377,                 1.2966,               0.009307,               0.009307,               0.009307
                     24,                0.82569,                 1.1849,                 1.4707,                 1.1403,                0.58045,                0.49246,                0.54091,                0.39254,                0.58211,                0.49183,                0.54159,                0.39603,                0.90217,                 1.1574,                 1.4468,                 1.2797,               0.009274,               0.009274,               0.009274
