                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73947,                 1.2193,                 3.1829,                 1.0778,                0.56346,                0.33116,                0.38227,                0.29109,                0.56459,                0.33369,                 0.3852,                0.29116,                0.80324,                 1.0736,                  1.929,                   1.18,              0.0033263,              0.0033263,              0.0033263
                      2,                0.68122,                 0.9914,                 1.7129,                 1.0106,                 0.5571,                0.53214,                0.53878,                 0.4007,                0.56701,                0.53715,                0.54472,                0.40618,                  0.876,                 1.1853,                 1.5908,                 1.2334,              0.0066377,              0.0066377,              0.0066377
                      3,                0.75786,                  1.087,                 1.5507,                  1.046,                0.51171,                0.46209,                0.47203,                 0.3409,                0.52012,                0.46253,                  0.472,                0.33333,                 1.0272,                 1.4844,                 1.7876,                 1.3245,              0.0099271,              0.0099271,              0.0099271
                      4,                0.81831,                 1.1583,                 1.5031,                 1.0695,                0.57093,                0.51116,                0.53959,                0.38856,                0.56395,                 0.5278,                0.54503,                0.38842,                 1.0076,                  1.404,                 1.5479,                 1.3353,               0.009901,               0.009901,               0.009901
                      5,                0.82156,                  1.149,                 1.3826,                 1.0796,                 0.6478,                0.55526,                0.58981,                0.42918,                0.64726,                 0.5558,                0.58781,                0.42803,                0.96654,                 1.4061,                 1.4116,                 1.2868,               0.009901,               0.009901,               0.009901
                      6,                0.81013,                 1.1265,                 1.2759,                 1.0742,                0.64027,                0.61197,                0.64822,                0.47088,                0.65091,                0.62062,                0.65646,                0.47621,                0.96255,                 1.3071,                 1.2588,                  1.287,               0.009868,               0.009868,               0.009868
                      7,                0.78519,                 1.0898,                 1.2225,                 1.0599,                0.65387,                0.58942,                0.62886,                0.46562,                 0.6616,                0.58917,                0.62991,                0.46181,                0.91603,                 1.2639,                 1.2465,                 1.2371,               0.009835,               0.009835,               0.009835
                      8,                0.78134,                 1.0692,                 1.1686,                 1.0586,                0.73211,                 0.5931,                0.67048,                0.50219,                0.72951,                  0.593,                0.66777,                0.50012,                0.86625,                 1.1516,                 1.2099,                 1.1973,               0.009802,               0.009802,               0.009802
                      9,                0.76231,                 1.0435,                 1.1245,                 1.0464,                0.71297,                0.64133,                0.68742,                0.51572,                0.71608,                0.64455,                0.69269,                0.51233,                0.88158,                  1.194,                 1.1466,                 1.2227,               0.009769,               0.009769,               0.009769
                     10,                0.75262,                  1.031,                 1.0976,                 1.0438,                0.71743,                0.62647,                0.70395,                0.52573,                0.72133,                0.62721,                0.70433,                0.52985,                0.85177,                 1.1335,                 1.0788,                 1.1942,               0.009736,               0.009736,               0.009736
                     11,                0.74146,                0.99843,                 1.0683,                 1.0376,                0.70309,                0.66534,                0.72603,                0.55748,                 0.7032,                0.66703,                0.72822,                0.55069,                0.80814,                 1.0806,                 1.0737,                  1.149,               0.009703,               0.009703,               0.009703
                     12,                 0.7366,                0.99888,                 1.0563,                 1.0454,                 0.7625,                 0.6946,                  0.752,                0.58118,                0.76323,                0.69515,                0.75364,                0.58328,                0.79917,                 1.0446,                 1.0594,                 1.1412,                0.00967,                0.00967,                0.00967
