                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90124,                  1.702,                 5.2278,                 1.2035,                0.15465,                0.04331,                0.01903,                0.01289,                  0.154,                0.04214,                0.01935,                0.01315,                  1.103,                 1.7385,                 5.0464,                 1.4153,                0.06677,             3.3264e-05,             3.3264e-05
                      2,                0.81669,                 1.3792,                 4.1879,                 1.1573,                0.13623,                0.12078,                 0.0687,                0.05031,                0.13807,                0.12221,                0.06923,                0.04938,                0.96766,                 1.4169,                 4.1623,                 1.3291,                0.03347,             6.6432e-05,             6.6432e-05
                      3,                0.74713,                 1.2202,                 3.4516,                 1.1137,                0.14492,                 0.2192,                0.13919,                 0.1055,                0.14595,                0.22155,                 0.1404,                0.10296,                0.85247,                 1.1876,                 3.2349,                 1.2316,             0.00016917,             9.9436e-05,             9.9436e-05
                      4,                0.69751,                 1.0946,                 2.9215,                 1.0683,                0.21254,                0.33882,                0.22232,                0.16926,                0.21349,                0.34129,                0.22393,                0.16592,                0.78842,                 1.0577,                 2.7301,                 1.1773,             9.9258e-05,             9.9258e-05,             9.9258e-05
                      5,                0.65148,                 1.0031,                 2.5553,                 1.0271,                0.28558,                0.31891,                0.29106,                0.22341,                0.28659,                0.32247,                0.29271,                0.22134,                0.73796,                0.99472,                 2.3672,                 1.1323,             9.9258e-05,             9.9258e-05,             9.9258e-05
                      6,                0.62944,                0.94927,                 2.3037,                 1.0056,                0.40125,                0.35708,                0.35892,                 0.2778,                0.47938,                0.35286,                0.36173,                 0.2751,                 0.7142,                0.96739,                 2.1332,                 1.1049,              9.901e-05,              9.901e-05,              9.901e-05
                      7,                0.60595,                0.91881,                 2.1632,                 0.9911,                0.39085,                0.40696,                0.40339,                0.31516,                0.39131,                 0.4079,                 0.4035,                0.31342,                0.69553,                0.92725,                 1.9291,                 1.0854,             9.8763e-05,             9.8763e-05,             9.8763e-05
                      8,                0.59787,                0.89428,                  2.016,                0.97754,                0.51916,                0.39413,                0.45273,                0.35618,                0.52178,                0.39684,                0.45602,                0.35601,                  0.681,                0.90294,                 1.7863,                  1.074,             9.8515e-05,             9.8515e-05,             9.8515e-05
                      9,                0.59282,                0.89409,                 1.9084,                0.97292,                0.48443,                0.48124,                0.49655,                 0.3909,                0.48977,                0.47932,                0.49615,                0.38808,                0.67459,                0.89128,                   1.66,                 1.0682,             9.8268e-05,             9.8268e-05,             9.8268e-05
                     10,                0.58203,                0.87135,                 1.8244,                0.97251,                0.61606,                  0.458,                0.53161,                0.42428,                0.61709,                0.46049,                0.53318,                0.41973,                0.66371,                0.88137,                 1.5109,                 1.0598,              9.802e-05,              9.802e-05,              9.802e-05
