                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72705,                  1.193,                 3.1063,                 1.0702,                0.53209,                0.40738,                0.39708,                0.30057,                0.53786,                0.40876,                0.39969,                 0.2997,                0.78495,                 1.0885,                 1.8598,                 1.1417,               0.070063,              0.0033264,              0.0033264
                      2,                0.67512,                 0.9812,                 1.7053,                 1.0048,                0.51709,                 0.4159,                0.42104,                0.31364,                0.51118,                0.42992,                0.42608,                0.30963,                 0.8995,                   1.29,                  1.855,                 1.2298,               0.040046,              0.0066432,              0.0066432
                      3,                0.74391,                 1.0457,                 1.5181,                 1.0368,                0.57271,                0.41137,                0.44166,                0.30472,                0.57637,                0.41128,                0.44704,                0.31112,                 1.1165,                 1.6725,                 1.9332,                 1.4088,               0.010013,              0.0099436,              0.0099436
                      4,                0.81415,                 1.1641,                 1.4791,                 1.0862,                0.53266,                 0.5308,                0.53389,                0.37681,                0.53963,                0.52742,                0.53983,                0.38974,                0.94887,                 1.1788,                 1.6485,                 1.2507,              0.0099258,              0.0099258,              0.0099258
                      5,                0.82433,                 1.1818,                 1.4009,                 1.0887,                0.60442,                0.54815,                  0.571,                 0.4126,                0.60699,                0.55369,                0.57342,                0.41996,                0.93849,                 1.2135,                 1.5704,                 1.2334,              0.0099258,              0.0099258,              0.0099258
                      6,                0.79578,                 1.1113,                 1.2712,                 1.0689,                0.62185,                0.49039,                0.50881,                0.35847,                0.62222,                0.49456,                0.51284,                 0.3707,                0.99847,                 1.3914,                 1.8946,                 1.3035,               0.009901,               0.009901,               0.009901
                      7,                0.78265,                 1.0947,                 1.2445,                 1.0652,                0.60124,                0.55693,                0.61225,                0.44248,                0.58378,                0.55838,                0.61248,                 0.4501,                0.89971,                  1.182,                 1.3277,                 1.2231,              0.0098763,              0.0098763,              0.0098763
                      8,                0.77027,                 1.0674,                 1.1852,                 1.0513,                0.69814,                 0.5831,                0.64963,                0.48494,                0.70215,                0.58644,                0.65261,                 0.4817,                0.85366,                 1.1688,                  1.236,                 1.1885,              0.0098515,              0.0098515,              0.0098515
                      9,                0.75795,                 1.0559,                 1.1294,                 1.0468,                0.71185,                0.61382,                0.66676,                 0.4907,                0.71135,                0.61582,                 0.6684,                0.49499,                0.88311,                 1.1985,                 1.2666,                 1.1989,              0.0098268,              0.0098268,              0.0098268
                     10,                0.75289,                 1.0372,                 1.1009,                   1.05,                0.72319,                0.54838,                0.61835,                0.45342,                0.72946,                 0.5534,                0.62493,                0.46179,                0.93206,                 1.3382,                 1.2913,                  1.259,               0.009802,               0.009802,               0.009802
                     11,                0.73878,                 1.0105,                 1.0617,                  1.037,                0.71509,                0.62158,                0.70041,                0.53267,                0.71784,                0.62221,                0.70113,                0.53845,                0.79756,                 1.0426,                 1.0885,                 1.1327,              0.0097773,              0.0097773,              0.0097773
                     12,                0.72556,                0.98917,                 1.0355,                 1.0363,                 0.6989,                 0.6308,                 0.7001,                0.52566,                 0.6732,                 0.6626,                0.70348,                0.54155,                0.80771,                 1.0263,                 1.0727,                 1.1347,              0.0097525,              0.0097525,              0.0097525
                     13,                0.72744,                 1.0002,                0.99416,                 1.0248,                0.73027,                0.60493,                0.68138,                0.51165,                0.70341,                0.64118,                 0.6852,                0.51761,                0.84695,                 1.2617,                 1.1931,                 1.1922,              0.0097278,              0.0097278,              0.0097278
                     14,                0.71371,                0.97317,                 1.0016,                 1.0241,                0.73883,                0.67464,                0.72946,                0.55687,                0.74667,                0.67535,                0.73186,                0.56069,                0.80217,                  1.061,                 1.0509,                 1.1464,               0.009703,               0.009703,               0.009703
                     15,                0.70327,                0.95251,                0.96582,                 1.0201,                0.74454,                0.64977,                0.70285,                0.53396,                0.74505,                0.65045,                0.70225,                0.54192,                0.82069,                 1.0669,                 1.0743,                 1.1578,              0.0096783,              0.0096783,              0.0096783
                     16,                0.69264,                0.94444,                0.95361,                 1.0146,                0.74259,                0.67025,                0.72944,                0.55989,                0.74567,                 0.6741,                0.73379,                0.57069,                0.78527,                 1.0144,                0.97457,                  1.139,              0.0096535,              0.0096535,              0.0096535
                     17,                0.68933,                0.94874,                0.93634,                 1.0138,                0.68625,                0.71352,                0.75258,                0.57094,                0.69913,                0.70931,                0.75737,                 0.5808,                0.79126,                 1.0164,                0.94292,                 1.1312,              0.0096288,              0.0096288,              0.0096288
                     18,                0.68039,                   0.92,                0.92012,                 1.0136,                0.75018,                0.71446,                0.76716,                 0.5986,                0.75281,                0.71672,                0.77017,                0.60726,                0.75177,                0.95132,                0.89708,                 1.1228,               0.009604,               0.009604,               0.009604
                     19,                0.68708,                 0.9288,                0.90043,                 1.0082,                0.78253,                0.70955,                0.79342,                0.62339,                0.79196,                0.71147,                0.79578,                0.63173,                 0.7193,                0.93309,                0.89043,                 1.0812,              0.0095793,              0.0095793,              0.0095793
