                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80247,                 1.3834,                 46.734,                 1.1232,                0.44453,                0.30398,                0.30176,                0.21235,                0.44647,                0.30603,                0.30615,                0.20958,                  1.152,                 1.9353,                 39.469,                 1.4663,               0.070063,              0.0033264,              0.0033264
                      2,                0.72894,                 1.1131,                 26.524,                 1.0546,                 0.5313,                0.44244,                0.45371,                0.31493,                 0.5368,                0.44957,                0.46131,                0.33264,                 1.0428,                 1.4451,                 30.256,                 1.3431,               0.040041,              0.0066377,              0.0066377
                      3,                0.79713,                 1.2022,                 24.564,                 1.0846,                0.48825,                0.39002,                0.39727,                0.26723,                0.47862,                0.40277,                0.40016,                0.26366,                 1.2112,                 1.7606,                 35.655,                 1.4646,              0.0099968,              0.0099271,              0.0099271
                      4,                0.89507,                 1.3485,                 24.462,                 1.1297,                0.53921,                0.46915,                0.47127,                0.32078,                0.54194,                0.47174,                0.47356,                0.32757,                 1.1075,                 1.5459,                  29.64,                 1.3534,               0.009901,               0.009901,               0.009901
                      5,                0.91762,                 1.3486,                 23.503,                 1.1392,                0.62292,                0.49452,                0.55283,                0.37462,                0.63495,                0.48845,                0.55487,                 0.3877,                 1.0769,                 1.5107,                 24.055,                 1.3389,               0.009901,               0.009901,               0.009901
                      6,                0.91792,                 1.3377,                 21.701,                 1.1305,                0.59692,                0.53991,                0.56785,                0.37899,                0.60011,                0.54169,                0.57126,                0.39827,                 1.0734,                 1.3532,                 23.192,                 1.3221,               0.009868,               0.009868,               0.009868
                      7,                0.90566,                 1.3025,                 20.442,                 1.1275,                0.59331,                0.50694,                0.52784,                0.35955,                0.59827,                0.50975,                0.53033,                0.37027,                 1.1458,                 1.5366,                 24.948,                 1.4149,               0.009835,               0.009835,               0.009835
                      8,                0.90797,                 1.2869,                 19.633,                 1.1311,                0.73754,                0.53352,                0.61817,                0.41807,                0.73956,                0.53495,                0.62158,                0.42343,                 1.0668,                 1.4494,                 21.097,                 1.3418,               0.009802,               0.009802,               0.009802
                      9,                0.91172,                  1.292,                 19.388,                 1.1306,                0.65806,                0.54662,                  0.595,                 0.4038,                 0.6603,                0.55017,                0.59659,                 0.4135,                 1.1032,                 1.5278,                 23.974,                 1.3868,               0.009769,               0.009769,               0.009769
                     10,                0.90172,                 1.2699,                 18.807,                 1.1305,                0.68047,                0.62185,                0.67657,                0.46906,                  0.678,                 0.6198,                0.67597,                0.48477,                 1.0096,                 1.2539,                 19.305,                 1.2723,               0.009736,               0.009736,               0.009736
                     11,                0.88458,                 1.2389,                   18.1,                 1.1164,                0.70215,                0.61862,                0.67156,                 0.4761,                0.70696,                0.62046,                0.67575,                 0.4843,                 1.0009,                 1.2665,                 19.814,                 1.2858,               0.009703,               0.009703,               0.009703
                     12,                0.87943,                 1.2366,                 17.467,                 1.1088,                0.71786,                0.63599,                0.71234,                0.49564,                0.72693,                0.63869,                0.71699,                0.51019,                0.99789,                 1.2338,                 19.738,                 1.2925,                0.00967,                0.00967,                0.00967
                     13,                0.86945,                 1.2187,                 17.171,                 1.1103,                0.71372,                0.67539,                0.72376,                0.51896,                0.71738,                0.67911,                 0.7273,                0.53785,                0.93765,                  1.137,                 17.223,                 1.2449,               0.009637,               0.009637,               0.009637
                     14,                 0.8593,                 1.1794,                 16.791,                 1.0966,                0.75053,                0.60858,                0.67968,                 0.4776,                0.75902,                0.61275,                0.68673,                 0.4889,                 1.0599,                 1.4181,                 20.845,                 1.3512,               0.009604,               0.009604,               0.009604
                     15,                0.86134,                 1.1968,                 16.591,                 1.0955,                0.74539,                 0.6681,                0.73389,                0.52205,                0.75047,                 0.6725,                0.73978,                0.54946,                0.97513,                 1.1649,                 17.426,                 1.2668,               0.009571,               0.009571,               0.009571
                     16,                0.85204,                 1.1655,                 15.986,                 1.1026,                0.72878,                0.68642,                0.74368,                0.53769,                 0.7301,                0.69014,                0.74589,                0.55012,                0.93083,                 1.1306,                 16.576,                 1.2216,               0.009538,               0.009538,               0.009538
                     17,                0.82951,                 1.1301,                 15.645,                 1.0828,                0.71532,                0.69169,                0.73214,                0.52878,                0.71778,                0.69546,                 0.7391,                0.54718,                0.94314,                 1.1388,                 16.206,                 1.2397,               0.009505,               0.009505,               0.009505
                     18,                0.83885,                 1.1328,                 15.402,                 1.0913,                0.69811,                0.68168,                0.72023,                0.51882,                0.70457,                  0.686,                0.72664,                0.53408,                0.93201,                 1.1558,                  16.54,                 1.2402,               0.009472,               0.009472,               0.009472
                     19,                0.83781,                 1.1456,                  15.57,                 1.0892,                0.71163,                 0.6375,                0.70572,                0.51351,                0.71669,                0.64172,                0.71252,                0.52242,                0.94912,                 1.2363,                 17.329,                 1.2404,               0.009439,               0.009439,               0.009439
                     20,                0.82835,                 1.1407,                  15.21,                  1.077,                0.76199,                0.71491,                0.76302,                0.54466,                0.76544,                0.71472,                0.76869,                 0.5745,                0.92811,                 1.0778,                 15.139,                 1.2333,               0.009406,               0.009406,               0.009406
                     21,                0.81292,                 1.1115,                 14.784,                 1.0741,                0.78074,                0.72622,                0.77946,                0.57812,                0.78391,                 0.7269,                0.77919,                0.58497,                0.89372,                 1.0993,                 14.678,                 1.2099,               0.009373,               0.009373,               0.009373
                     22,                0.81793,                 1.1141,                 14.544,                 1.0816,                 0.7806,                0.71023,                0.76958,                0.55993,                0.78238,                0.71282,                 0.7743,                0.57882,                0.90691,                 1.0721,                 14.825,                 1.2295,                0.00934,                0.00934,                0.00934
                     23,                0.81965,                 1.1107,                 14.481,                 1.0783,                0.75357,                0.72921,                 0.7866,                 0.5774,                0.75533,                 0.7439,                0.79557,                0.59243,                0.89179,                 1.0678,                 14.485,                 1.2076,               0.009307,               0.009307,               0.009307
                     24,                0.80297,                 1.1065,                 14.148,                 1.0688,                0.80159,                0.70532,                0.79561,                0.58647,                0.80368,                0.70923,                0.79945,                0.59541,                0.89991,                 1.0826,                 14.494,                 1.2101,               0.009274,               0.009274,               0.009274
                     25,                0.80234,                 1.0938,                 14.142,                 1.0757,                0.77926,                0.74692,                0.81045,                  0.606,                0.77865,                0.74637,                0.80986,                0.61108,                0.87859,                 1.0752,                 14.353,                  1.219,               0.009241,               0.009241,               0.009241
                     26,                0.80404,                 1.0898,                  13.96,                 1.0688,                0.78527,                0.72237,                0.78553,                0.58615,                0.78775,                0.72613,                0.78812,                0.59911,                0.88884,                 1.0553,                 14.694,                 1.2074,               0.009208,               0.009208,               0.009208
                     27,                0.80015,                   1.08,                 14.044,                 1.0763,                 0.7907,                0.68956,                0.77416,                0.56606,                0.78315,                0.69583,                0.77695,                0.58122,                0.91062,                 1.0922,                 15.286,                 1.2244,               0.009175,               0.009175,               0.009175
