                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77074,                 1.2985,                 11.663,                 1.1067,                0.39092,                0.46625,                 0.4088,                0.30111,                0.38352,                0.47276,                0.40879,                0.30294,                0.81738,                 1.0895,                 7.5091,                 1.1912,               0.070063,              0.0033263,              0.0033263
                      2,                0.68733,                 1.0135,                 6.5015,                 1.0203,                0.55883,                 0.4304,                 0.5075,                0.37958,                0.55964,                0.43397,                0.50869,                0.38091,                0.83385,                 1.1511,                 6.0546,                 1.1889,               0.040041,              0.0066377,              0.0066377
                      3,                0.74015,                 1.0716,                 5.8702,                 1.0413,                0.69303,                0.48051,                0.54798,                0.39569,                0.69497,                0.48128,                0.55066,                0.39609,                0.90364,                 1.3088,                 6.4968,                  1.244,              0.0099969,              0.0099271,              0.0099271
                      4,                0.81443,                 1.1661,                 5.7387,                 1.0755,                0.67161,                0.51586,                0.55713,                 0.3843,                0.67555,                0.51792,                0.56097,                0.39709,                  1.023,                 1.4402,                 6.4123,                 1.3681,               0.009901,               0.009901,               0.009901
                      5,                0.81997,                 1.1781,                 5.3362,                 1.0902,                0.68247,                 0.5862,                0.63952,                0.44733,                0.68014,                0.58796,                0.63968,                0.46124,                0.95163,                 1.2922,                 5.4794,                 1.2734,               0.009901,               0.009901,               0.009901
                      6,                0.82617,                 1.1508,                 4.9583,                 1.0797,                0.67024,                0.59738,                0.64243,                0.46053,                0.67329,                0.60085,                0.64602,                0.47681,                0.93642,                 1.1681,                 5.1359,                 1.2669,               0.009868,               0.009868,               0.009868
                      7,                 0.8246,                  1.166,                  4.802,                 1.0814,                0.59941,                0.44486,                0.46688,                0.32168,                0.59966,                0.44705,                0.46601,                0.32782,                 1.1959,                 1.9629,                 7.9481,                 1.5074,               0.009835,               0.009835,               0.009835
                      8,                0.80222,                 1.1327,                 4.5682,                 1.0744,                0.75178,                0.56964,                0.64211,                0.45374,                0.75018,                0.57071,                0.64321,                0.46444,                 0.9961,                  1.348,                 5.1842,                 1.3105,               0.009802,               0.009802,               0.009802
                      9,                0.80388,                 1.1026,                 4.5065,                 1.0682,                0.74297,                 0.6359,                0.72665,                0.53372,                0.74894,                0.63977,                0.73188,                0.54847,                0.88286,                 1.0898,                 4.3454,                  1.219,               0.009769,               0.009769,               0.009769
                     10,                0.79127,                 1.0764,                 4.3333,                 1.0716,                0.76788,                0.62886,                0.70751,                0.51572,                0.78093,                0.63121,                0.71357,                0.52878,                0.89686,                 1.1402,                 4.7965,                 1.2274,               0.009736,               0.009736,               0.009736
                     11,                0.77704,                 1.0785,                 4.1816,                 1.0567,                0.74697,                0.67166,                0.74478,                0.55597,                0.74499,                0.68318,                0.74933,                0.55998,                0.83206,                 1.0887,                   3.96,                 1.1836,               0.009703,               0.009703,               0.009703
                     12,                0.78288,                  1.076,                 4.0929,                 1.0531,                0.73322,                0.68407,                0.73691,                0.54992,                 0.7341,                0.68477,                0.74077,                0.56147,                0.81035,                  1.027,                 3.9247,                 1.1663,                0.00967,                0.00967,                0.00967
                     13,                0.76335,                 1.0522,                 3.9874,                 1.0535,                0.73759,                0.70567,                0.75234,                0.56083,                0.73994,                0.70692,                 0.7527,                0.56957,                0.85935,                 1.1401,                      4,                 1.2038,               0.009637,               0.009637,               0.009637
                     14,                 0.7541,                 1.0343,                 3.9534,                 1.0428,                  0.762,                0.70477,                0.77006,                0.57874,                0.76451,                0.70778,                0.77334,                0.59225,                0.81911,                 1.0035,                 3.6726,                 1.1663,               0.009604,               0.009604,               0.009604
                     15,                0.75202,                 1.0305,                 3.8292,                 1.0435,                 0.7861,                0.69772,                0.78961,                0.59337,                0.78845,                0.69826,                 0.7892,                0.61245,                0.81305,                 1.0209,                 3.6064,                 1.1702,               0.009571,               0.009571,               0.009571
                     16,                0.74761,                 1.0168,                 3.7178,                 1.0322,                0.72821,                0.55175,                0.62291,                0.45114,                0.72397,                0.55694,                0.62339,                  0.442,                0.98626,                 1.7215,                 5.9073,                 1.3296,               0.009538,               0.009538,               0.009538
                     17,                0.73944,                 1.0231,                 3.6543,                 1.0393,                0.78947,                0.67123,                0.78113,                0.59664,                0.79155,                0.67288,                 0.7807,                0.60201,                0.81088,                 1.0119,                 3.7125,                 1.1668,               0.009505,               0.009505,               0.009505
                     18,                0.73034,                 1.0043,                 3.5961,                 1.0322,                0.76244,                0.68172,                0.75772,                0.57909,                0.76641,                0.68816,                0.76288,                0.59082,                0.79255,                 1.0341,                 3.6934,                 1.1635,               0.009472,               0.009472,               0.009472
                     19,                 0.7264,                0.98706,                 3.5714,                 1.0293,                0.76194,                0.71138,                0.76913,                 0.5925,                0.76702,                0.71619,                0.77686,                0.59933,                0.77962,                 1.0012,                 3.5014,                 1.1413,               0.009439,               0.009439,               0.009439
                     20,                0.71518,                0.97393,                 3.4804,                 1.0151,                0.84196,                0.72145,                0.82472,                0.64274,                0.84073,                0.72092,                0.82388,                0.64606,                0.75578,                0.96083,                  3.201,                 1.1173,               0.009406,               0.009406,               0.009406
                     21,                0.71448,                0.96038,                  3.363,                 1.0252,                0.80281,                0.72863,                 0.8132,                0.62587,                0.79135,                  0.736,                0.81307,                0.63605,                0.77593,                0.95028,                 3.3291,                 1.1492,               0.009373,               0.009373,               0.009373
                     22,                0.71343,                 0.9804,                 3.3588,                 1.0238,                0.80921,                 0.6982,                0.78048,                0.57864,                0.80825,                 0.6988,                0.77884,                0.59099,                 0.8521,                 1.1487,                 3.7262,                  1.206,                0.00934,                0.00934,                0.00934
