                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68984,                 1.1651,                 3.2256,                 1.0858,                0.46819,                0.40452,                0.36274,                0.27898,                0.46908,                 0.4066,                0.36412,                0.27961,                0.82363,                 1.0676,                 1.9648,                 1.2111,               0.070074,              0.0033251,              0.0033251
                      2,                0.62839,                0.93061,                 1.6738,                 1.0151,                0.53668,                0.46351,                0.46529,                0.36097,                0.53508,                0.46217,                0.46478,                0.36288,                0.78802,                 1.0481,                 1.5069,                 1.1888,               0.040052,              0.0066365,              0.0066365
                      3,                 0.7005,                 1.0105,                 1.4642,                  1.052,                0.67427,                 0.3482,                0.39386,                0.28153,                0.66272,                0.34105,                0.38792,                0.28108,                 1.1414,                 1.9674,                 2.2775,                  1.512,               0.010008,              0.0099258,              0.0099258
                      4,                0.79291,                 1.1439,                 1.5083,                  1.099,                0.62879,                0.48009,                 0.5149,                0.36682,                0.62937,                0.48288,                0.51616,                0.37099,                 1.0084,                 1.4176,                 1.5618,                 1.3494,               0.009901,               0.009901,               0.009901
                      5,                 0.7868,                  1.122,                 1.3788,                  1.093,                0.68089,                0.54463,                0.60619,                0.44091,                0.68093,                0.54389,                0.60713,                0.45059,                0.89185,                 1.1431,                 1.3249,                 1.2477,               0.009901,               0.009901,               0.009901
                      6,                0.76797,                 1.1014,                 1.2696,                 1.0886,                0.64607,                0.54222,                0.58801,                0.42248,                0.64837,                0.54457,                0.58529,                0.42677,                0.96235,                 1.3003,                 1.3446,                   1.32,               0.009868,               0.009868,               0.009868
                      7,                0.76904,                 1.0633,                 1.2287,                  1.091,                 0.6815,                0.54736,                0.60612,                0.45557,                0.68037,                0.54682,                0.60403,                0.46691,                0.87452,                 1.1347,                 1.2914,                 1.2489,               0.009835,               0.009835,               0.009835
                      8,                0.75777,                 1.0584,                 1.1819,                 1.0823,                0.67051,                0.54969,                 0.6064,                0.45067,                0.66577,                0.54988,                0.60609,                0.45174,                 0.9146,                 1.2757,                 1.3565,                 1.3005,               0.009802,               0.009802,               0.009802
                      9,                0.73123,                 1.0167,                 1.1311,                 1.0727,                0.69541,                 0.6406,                0.68719,                0.52151,                 0.6975,                0.64279,                0.68877,                0.53035,                0.85235,                 1.0392,                 1.1013,                   1.23,               0.009769,               0.009769,               0.009769
                     10,                0.72986,                 1.0175,                 1.0738,                 1.0633,                0.73939,                0.61088,                0.67673,                 0.5202,                0.73855,                0.60983,                0.67513,                0.51885,                0.81977,                 1.0913,                 1.0301,                 1.2071,               0.009736,               0.009736,               0.009736
                     11,                0.71336,                0.99565,                 1.0296,                 1.0596,                0.74818,                 0.6063,                 0.6772,                0.51413,                0.75815,                0.60732,                0.68017,                0.52362,                0.83579,                 1.1343,                 1.1018,                 1.2084,               0.009703,               0.009703,               0.009703
                     12,                 0.7024,                0.96019,                 1.0392,                 1.0425,                0.74156,                0.65722,                0.71454,                0.54789,                0.74162,                0.65684,                0.71225,                  0.558,                0.80002,                 1.0015,                 1.0146,                 1.1955,                0.00967,                0.00967,                0.00967
                     13,                0.69731,                0.96496,                 1.0004,                 1.0423,                0.74504,                 0.6748,                0.75007,                0.59104,                0.74099,                0.67403,                0.74759,                0.59395,                0.75648,                 0.9845,                0.96561,                 1.1547,               0.009637,               0.009637,               0.009637
                     14,                0.68795,                0.93813,                0.96781,                 1.0401,                0.77809,                0.65121,                0.72654,                0.56404,                0.77476,                0.64403,                0.72283,                0.57313,                0.77192,                0.96794,                 0.9599,                 1.1654,               0.009604,               0.009604,               0.009604
                     15,                0.66987,                0.91062,                0.94575,                 1.0255,                0.76162,                0.68834,                0.73975,                0.57474,                0.76011,                0.68635,                0.73766,                0.58259,                0.77213,                0.99246,                0.95768,                 1.1597,               0.009571,               0.009571,               0.009571
                     16,                0.67052,                0.91414,                0.93774,                 1.0293,                0.78347,                0.66776,                0.73497,                0.57306,                0.79468,                0.65913,                0.73256,                0.57559,                0.78884,                 1.0175,                0.93358,                 1.1831,               0.009538,               0.009538,               0.009538
                     17,                0.65805,                0.89543,                0.90956,                 1.0266,                0.76198,                0.58833,                0.65493,                0.50176,                0.76176,                0.58814,                0.65368,                0.50492,                 0.8698,                 1.2594,                 1.3729,                  1.259,               0.009505,               0.009505,               0.009505
                     18,                0.65164,                0.87766,                0.90136,                 1.0103,                0.82394,                0.65474,                0.74877,                 0.5972,                0.82441,                0.65494,                0.74621,                0.59768,                0.71714,                0.91227,                0.86968,                 1.1161,               0.009472,               0.009472,               0.009472
                     19,                0.63779,                0.86881,                0.83549,                  1.004,                0.83531,                0.64681,                0.73207,                0.57542,                 0.8331,                0.65258,                0.73192,                0.57386,                0.79073,                 1.0696,                0.91358,                 1.1663,               0.009439,               0.009439,               0.009439
                     20,                0.64079,                0.85414,                0.84678,                 1.0122,                0.79074,                0.68927,                0.81807,                0.66308,                0.79332,                0.69027,                 0.8176,                0.66764,                0.72045,                0.92374,                0.86006,                 1.1396,               0.009406,               0.009406,               0.009406
                     21,                0.63203,                0.88521,                0.85375,                  1.007,                0.79797,                 0.6697,                0.78787,                0.62558,                0.79712,                 0.6691,                0.78676,                0.63158,                0.76833,                 1.0262,                0.89035,                 1.1654,               0.009373,               0.009373,               0.009373
                     22,                0.62133,                0.85349,                0.83628,                 1.0004,                0.83701,                 0.7163,                0.76582,                0.60742,                 0.8387,                0.71542,                0.76772,                 0.6145,                  0.751,                0.94071,                0.83178,                 1.1609,                0.00934,                0.00934,                0.00934
                     23,                 0.6257,                0.83909,                0.81238,                0.99747,                0.85558,                0.68812,                0.78104,                 0.6197,                  0.853,                0.68779,                0.77825,                0.62167,                 0.7238,                0.95082,                0.84489,                 1.1258,               0.009307,               0.009307,               0.009307
                     24,                0.62612,                0.85864,                0.80634,                0.99707,                 0.8397,                0.67451,                0.76959,                0.62173,                0.83903,                0.67538,                0.76878,                0.62314,                0.73309,                0.96111,                0.86906,                 1.1471,               0.009274,               0.009274,               0.009274
                     25,                0.60437,                0.83235,                 0.7904,                0.98904,                0.79273,                0.68969,                0.76059,                0.59946,                0.79066,                 0.6875,                0.75599,                0.60241,                0.74903,                0.93222,                0.88294,                 1.1717,               0.009241,               0.009241,               0.009241
                     26,                0.60432,                0.80624,                 0.7768,                 0.9828,                0.83508,                0.69915,                0.78591,                0.61481,                0.83341,                0.69715,                0.77928,                0.62336,                0.74768,                0.98493,                0.83464,                 1.1572,               0.009208,               0.009208,               0.009208
                     27,                0.60209,                0.80471,                0.78252,                0.98795,                0.85296,                0.70941,                0.79782,                 0.6495,                0.85176,                0.70759,                0.79309,                0.65249,                0.67441,                0.88544,                0.76835,                 1.0933,               0.009175,               0.009175,               0.009175
                     28,                0.59052,                0.79374,                0.75559,                0.98081,                0.80802,                0.73303,                0.79139,                0.63305,                 0.8082,                0.73269,                0.78772,                0.63105,                0.71382,                0.92901,                0.78239,                 1.1389,               0.009142,               0.009142,               0.009142
                     29,                0.58729,                0.81746,                0.75547,                0.98212,                0.84507,                0.71656,                0.79914,                0.64591,                0.84257,                0.71621,                0.79335,                0.64376,                 0.6858,                0.87724,                0.76139,                 1.1047,               0.009109,               0.009109,               0.009109
                     30,                0.58671,                0.80568,                0.74743,                0.97689,                0.84868,                0.72182,                0.79892,                0.64657,                0.84743,                0.72141,                0.79652,                0.65234,                0.70378,                0.90129,                0.74222,                 1.1169,               0.009076,               0.009076,               0.009076
