                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69603,                  1.185,                 1.2348,                 1.0605,                0.79384,                0.73935,                0.79405,                0.61275,                0.80129,                0.73218,                0.79328,                0.60317,                0.76697,                 1.0078,                0.78851,                 1.1544,               0.070063,              0.0033263,              0.0033263
                      2,                0.68684,                 1.0115,                0.78235,                 1.0234,                0.77127,                0.74236,                0.77524,                0.58851,                0.77284,                0.74387,                0.77637,                0.58602,                0.81314,                 1.0922,                0.84763,                 1.1736,               0.040041,              0.0066377,              0.0066377
                      3,                0.74868,                 1.0881,                0.80728,                 1.0494,                0.74556,                0.72312,                0.77041,                0.55324,                0.75216,                0.73067,                0.77404,                0.56061,                0.95202,                 1.2522,                  1.043,                 1.2694,              0.0099969,              0.0099271,              0.0099271
                      4,                0.82695,                 1.2021,                0.87379,                 1.0928,                0.78793,                0.66853,                 0.7271,                 0.5298,                0.79504,                0.67456,                0.73398,                0.53402,                0.95575,                 1.4069,                 1.0197,                 1.3097,               0.009901,               0.009901,               0.009901
                      5,                0.82468,                 1.1998,                0.82003,                 1.0941,                0.76907,                0.70275,                0.76118,                0.54188,                0.76035,                0.71332,                 0.7628,                  0.545,                0.98135,                 1.3619,                0.93729,                 1.3062,               0.009901,               0.009901,               0.009901
                      6,                0.80987,                 1.1595,                0.80956,                 1.0899,                0.76236,                 0.7186,                0.76596,                0.55434,                0.78381,                0.70728,                0.76999,                0.55791,                0.95065,                 1.3501,                 0.9586,                 1.2941,               0.009868,               0.009868,               0.009868
                      7,                0.78847,                 1.1171,                0.76122,                 1.0823,                0.80568,                0.69974,                0.77894,                0.57791,                0.80785,                0.70162,                0.78014,                0.58167,                0.90603,                 1.2414,                0.88611,                 1.2752,               0.009835,               0.009835,               0.009835
                      8,                0.78022,                 1.1042,                0.73474,                 1.0742,                0.80393,                0.76716,                0.82966,                0.62166,                0.80591,                0.76905,                 0.8317,                0.62607,                 0.8515,                 1.1385,                 0.7661,                 1.2136,               0.009802,               0.009802,               0.009802
                      9,                0.76437,                 1.0949,                0.71208,                 1.0594,                 0.7996,                 0.7914,                0.83655,                0.62571,                0.80303,                0.79479,                0.83755,                0.62395,                0.83874,                 1.1291,                0.74237,                 1.2179,               0.009769,               0.009769,               0.009769
                     10,                0.76059,                 1.0868,                0.70967,                 1.0656,                0.78196,                 0.6937,                0.76211,                0.55797,                0.78459,                0.69634,                 0.7653,                0.55517,                0.93366,                 1.3574,                0.94619,                 1.2867,               0.009736,               0.009736,               0.009736
                     11,                0.74726,                 1.0548,                0.69894,                 1.0527,                0.81749,                0.80385,                0.85458,                0.65826,                0.82056,                0.80687,                 0.8546,                0.65864,                0.77237,                0.98642,                0.65696,                 1.1574,               0.009703,               0.009703,               0.009703
                     12,                0.72251,                0.99714,                0.66686,                 1.0452,                0.81262,                0.76122,                0.82184,                0.62506,                0.81584,                0.76371,                0.82216,                0.62236,                0.81063,                 1.0916,                0.79803,                 1.1892,                0.00967,                0.00967,                0.00967
                     13,                0.72284,                 1.0212,                0.66554,                  1.045,                0.80322,                0.79451,                0.84589,                0.65282,                0.80143,                0.79776,                0.84584,                0.65066,                0.77731,                  1.031,                0.68623,                 1.1541,               0.009637,               0.009637,               0.009637
                     14,                0.72001,                 1.0009,                0.65398,                 1.0503,                0.81635,                0.79312,                 0.8502,                0.65643,                0.81884,                0.79329,                0.85009,                0.65035,                0.76991,                 1.0054,                 0.6808,                 1.1669,               0.009604,               0.009604,               0.009604
                     15,                0.70618,                0.98024,                0.65932,                 1.0371,                0.80598,                0.81328,                0.85924,                0.66914,                 0.8086,                0.81592,                0.85993,                0.66282,                0.74292,                0.95678,                0.63569,                 1.1338,               0.009571,               0.009571,               0.009571
                     16,                0.69503,                0.96322,                 0.6304,                 1.0257,                0.82617,                0.78612,                0.85967,                0.66279,                0.82669,                0.79102,                0.86169,                0.65521,                0.77284,                0.98738,                0.65891,                 1.1481,               0.009538,               0.009538,               0.009538
                     17,                0.68938,                0.94887,                0.62584,                 1.0158,                0.79723,                0.83252,                0.86389,                0.67372,                0.79686,                0.83214,                0.86285,                0.66944,                0.73546,                0.94883,                0.62691,                 1.1269,               0.009505,               0.009505,               0.009505
                     18,                0.68736,                0.94802,                0.61694,                  1.017,                0.80846,                0.79927,                0.85853,                0.67415,                0.82081,                0.79828,                0.86047,                0.66408,                0.72527,                0.97408,                 0.6259,                 1.1207,               0.009472,               0.009472,               0.009472
                     19,                0.68077,                0.94002,                0.60432,                 1.0208,                0.80533,                  0.813,                0.85703,                0.67735,                0.80944,                0.81715,                0.85999,                0.66339,                0.72886,                0.94384,                0.62409,                 1.1273,               0.009439,               0.009439,               0.009439
                     20,                0.66232,                0.91166,                0.59426,                 1.0082,                0.81045,                0.82045,                 0.8718,                0.69434,                0.82261,                0.80988,                0.87179,                0.67653,                0.70077,                0.93772,                0.58552,                 1.0981,               0.009406,               0.009406,               0.009406
                     21,                0.66007,                0.90352,                0.58333,                 1.0032,                0.81526,                0.81904,                0.86668,                0.68225,                0.81744,                0.81917,                 0.8664,                 0.6759,                0.73554,                 0.9645,                0.62176,                  1.127,               0.009373,               0.009373,               0.009373
                     22,                0.65692,                0.89662,                0.58199,                 1.0103,                0.81442,                0.81446,                0.86435,                0.68477,                0.81857,                0.81861,                0.86735,                 0.6747,                0.71322,                0.92671,                 0.6048,                 1.1049,                0.00934,                0.00934,                0.00934
                     23,                0.64771,                0.89014,                0.57672,                0.99984,                 0.8189,                0.79997,                0.85802,                0.67948,                 0.8216,                0.80261,                 0.8595,                0.66669,                 0.7049,                0.92353,                0.59891,                 1.0987,               0.009307,               0.009307,               0.009307
                     24,                0.65247,                0.88515,                0.56738,                 1.0027,                0.83491,                0.81177,                 0.8838,                0.70534,                0.82474,                0.82543,                 0.8824,                0.69539,                0.68358,                0.87697,                 0.5647,                 1.0896,               0.009274,               0.009274,               0.009274
                     25,                0.64885,                0.89025,                0.56906,                0.99816,                0.81199,                0.83629,                0.88132,                 0.7103,                0.81308,                0.83742,                 0.8816,                0.69833,                 0.6891,                0.88543,                0.56716,                 1.0865,               0.009241,               0.009241,               0.009241
