                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76027,                   1.22,                 2.9225,                 1.0845,                0.61705,                0.36104,                0.41813,                0.31427,                0.61965,                0.36406,                0.42262,                0.30764,                0.86861,                 1.2364,                 1.8388,                 1.2112,               0.070054,              0.0033273,              0.0033273
                      2,                0.78066,                 1.1566,                 1.8017,                 1.0636,                0.54764,                0.31913,                0.36101,                0.24739,                0.51053,                0.33669,                 0.3615,                0.24428,                 1.1833,                 2.0639,                 2.2081,                 1.4895,               0.040032,              0.0066387,              0.0066387
                      3,                0.94779,                 1.3588,                 1.8321,                  1.139,                  0.413,                0.36774,                0.34715,                0.22564,                0.41427,                0.37036,                0.34998,                0.21858,                  1.321,                 2.2455,                 2.5191,                 1.5864,              0.0099879,              0.0099281,              0.0099281
                      4,                 1.0297,                 1.4684,                 1.8288,                 1.1907,                 0.5648,                0.41385,                0.44331,                0.30212,                0.58359,                 0.4103,                0.45012,                0.30301,                 1.1995,                 1.6831,                 1.9121,                 1.4515,               0.009901,               0.009901,               0.009901
                      5,                 1.0072,                 1.4246,                 1.7061,                 1.1922,                0.52262,                0.42922,                0.43939,                0.29508,                0.52228,                0.43087,                0.44006,                0.29584,                 1.2229,                 1.8488,                 1.9599,                 1.4783,               0.009868,               0.009868,               0.009868
                      6,                0.98047,                 1.3947,                 1.6208,                 1.1788,                0.46462,                   0.34,                0.33245,                0.22366,                0.42163,                0.36868,                0.33163,                0.21631,                 1.5149,                  2.329,                 2.6564,                  1.721,               0.009835,               0.009835,               0.009835
                      7,                0.93482,                  1.306,                 1.4826,                 1.1468,                0.60054,                0.49904,                0.54665,                0.38029,                  0.611,                0.50556,                0.55588,                0.38709,                 1.0853,                 1.4262,                 1.5112,                  1.361,               0.009802,               0.009802,               0.009802
                      8,                0.91118,                 1.2917,                 1.4131,                 1.1366,                0.67601,                0.54922,                0.59041,                 0.4122,                0.68105,                0.55474,                0.59666,                 0.4151,                 1.0383,                 1.4125,                 1.4148,                 1.3258,               0.009769,               0.009769,               0.009769
                      9,                0.88338,                 1.2311,                 1.3559,                 1.1172,                0.65825,                0.60686,                0.65531,                  0.477,                0.65809,                0.60542,                0.65511,                0.47572,                0.94744,                  1.255,                 1.2786,                 1.2523,               0.009736,               0.009736,               0.009736
                     10,                 0.8693,                 1.2025,                 1.2864,                  1.113,                0.69479,                0.59894,                0.67698,                0.49116,                0.69552,                0.60438,                0.68086,                0.48866,                0.94818,                 1.2028,                  1.175,                 1.2544,               0.009703,               0.009703,               0.009703
