                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  0.997,                 1.5511,                 2.7864,                 1.0675,                0.51885,                0.34569,                0.37525,                 0.2963,                0.51249,                0.34057,                0.36724,                0.25528,                0.76697,                 1.0044,                 1.6984,                0.93343,                0.07024,              0.0033067,              0.0033067
                      1,                0.90881,                 1.2632,                 1.6443,                0.98822,                0.57104,                0.50865,                0.52335,                0.39296,                0.59232,                0.48268,                0.51496,                0.35708,                0.88818,                 1.0719,                 1.3678,                0.95414,               0.040207,              0.0066071,              0.0066071
                      2,                0.96598,                  1.291,                 1.4766,                0.99703,                0.52002,                0.51156,                0.53035,                 0.3988,                0.51666,                0.50632,                0.52527,                0.36152,                0.91725,                 1.1242,                 1.4607,                0.97356,               0.010141,              0.0098746,              0.0098746
                      3,                 1.0309,                 1.4226,                 1.3935,                 1.0231,                0.61251,                0.43359,                0.46355,                0.32545,                0.61163,                0.43503,                0.46343,                0.30429,                 1.1029,                 1.5659,                 1.4887,                 1.0992,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.0506,                 1.4282,                 1.3599,                 1.0329,                0.62787,                0.54757,                0.58567,                0.41984,                0.62288,                0.54138,                0.57851,                0.39069,                0.96297,                 1.2628,                  1.201,                 1.0109,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.0316,                 1.4032,                 1.2859,                 1.0229,                0.60443,                0.50209,                0.55788,                0.40101,                0.59673,                0.49695,                0.54727,                0.36798,                0.97279,                 1.2783,                 1.3282,                 1.0096,               0.009802,               0.009802,               0.009802
                      6,                 1.0362,                 1.3736,                 1.2437,                 1.0251,                0.63237,                0.48153,                0.51055,                0.36253,                0.62927,                0.47944,                0.50199,                 0.3316,                 1.0458,                 1.5156,                 1.3254,                 1.0662,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0257,                 1.3716,                 1.2301,                 1.0251,                0.65931,                0.56651,                 0.6142,                0.44954,                0.65933,                 0.5611,                0.60824,                0.40306,                0.92804,                 1.2328,                 1.1296,                0.99591,               0.009703,               0.009703,               0.009703
                      8,                 1.0137,                 1.3476,                 1.1785,                 1.0152,                0.71317,                0.52509,                0.61503,                0.45596,                0.71638,                0.51712,                0.60703,                0.41735,                0.95905,                 1.2748,                 1.0864,                 1.0245,              0.0096535,              0.0096535,              0.0096535
                      9,                0.98953,                 1.3125,                 1.1208,                 1.0128,                  0.655,                0.59184,                0.61872,                0.45002,                0.64659,                0.57939,                 0.6053,                0.40305,                0.90831,                 1.1677,                 1.0891,                0.99296,               0.009604,               0.009604,               0.009604
                     10,                0.97752,                  1.277,                 1.0792,                  1.003,                0.70208,                0.52065,                0.58668,                 0.4328,                0.69351,                0.51936,                0.58082,                0.39846,                0.93139,                 1.3358,                 1.1719,                 1.0145,              0.0095545,              0.0095545,              0.0095545
                     11,                0.97296,                 1.2538,                 1.0762,                 1.0009,                0.69461,                0.56881,                 0.6267,                0.46992,                0.69419,                0.56813,                0.62206,                0.42725,                0.89399,                 1.1435,                 1.0589,                0.99593,               0.009505,               0.009505,               0.009505
                     12,                0.96286,                 1.2626,                 1.0401,                 1.0004,                0.73395,                0.56453,                0.63676,                 0.4843,                 0.7283,                0.55988,                0.62314,                0.43415,                0.86164,                 1.1785,                 1.0513,                0.96846,              0.0094555,              0.0094555,              0.0094555
                     13,                 0.9429,                 1.2529,                 1.0305,                0.98776,                0.68373,                0.64729,                0.69738,                0.52534,                0.71628,                 0.6113,                 0.6866,                0.48204,                0.85181,                 1.0802,                0.92429,                0.96921,               0.009406,               0.009406,               0.009406
                     14,                0.92397,                  1.175,                 1.0145,                 0.9943,                0.72899,                0.62262,                0.69043,                0.52765,                0.72635,                0.62068,                0.68183,                0.48261,                 0.8575,                 1.1125,                0.96411,                0.98334,              0.0093565,              0.0093565,              0.0093565
                     15,                0.92363,                 1.1801,                0.98488,                0.98458,                 0.6898,                 0.6676,                0.69253,                0.53055,                0.68299,                0.66302,                0.68344,                0.48736,                0.82361,                  1.083,                0.96305,                0.96265,               0.009307,               0.009307,               0.009307
                     16,                0.91583,                 1.1883,                0.99042,                0.97886,                0.68589,                 0.6905,                0.70104,                0.52635,                0.67798,                0.68246,                0.68942,                0.47428,                0.84843,                 1.0985,                0.94092,                  0.977,              0.0092575,              0.0092575,              0.0092575
                     17,                0.90775,                 1.1986,                0.97561,                0.98259,                0.69048,                0.60262,                0.65434,                0.49698,                0.68639,                0.59799,                0.64428,                0.45264,                0.83205,                 1.0587,                0.97835,                0.96379,               0.009208,               0.009208,               0.009208
                     18,                0.90956,                  1.155,                0.96783,                0.97332,                0.70421,                0.66508,                0.68827,                0.52684,                0.69852,                0.65703,                0.67751,                0.47014,                0.82058,                 1.0804,                0.92171,                 0.9645,              0.0091585,              0.0091585,              0.0091585
                     19,                0.89932,                 1.1511,                0.92043,                0.97408,                0.74634,                0.59908,                0.66539,                0.50913,                0.73951,                0.58995,                0.65384,                0.45799,                0.81485,                 1.0571,                0.94141,                0.96084,               0.009109,               0.009109,               0.009109
                     20,                0.88965,                 1.1661,                0.94554,                0.96893,                0.74757,                0.64527,                0.71365,                0.55147,                0.74562,                 0.6434,                0.70818,                0.50198,                0.78949,                 1.0132,                0.84871,                0.95404,              0.0090595,              0.0090595,              0.0090595
                     21,                 0.8772,                 1.1778,                0.91632,                 0.9715,                0.78376,                0.65848,                 0.7272,                0.56671,                0.77939,                 0.6531,                0.72158,                0.52022,                0.80377,                 1.0172,                 0.8899,                0.95311,                0.00901,                0.00901,                0.00901
                     22,                0.88076,                 1.1362,                0.90618,                0.96615,                0.74612,                 0.7043,                0.74193,                0.57341,                  0.742,                0.70126,                0.73163,                0.52462,                0.79645,                 1.0274,                0.84277,                0.95696,              0.0089605,              0.0089605,              0.0089605
                     23,                0.86307,                 1.1282,                 0.8785,                0.96334,                0.71968,                0.68855,                0.73195,                0.56787,                0.70644,                0.67641,                0.71333,                 0.5067,                0.79702,                 1.0498,                0.85144,                0.95619,               0.008911,               0.008911,               0.008911
                     24,                0.86488,                 1.0905,                0.89447,                0.96629,                0.73284,                0.66956,                0.71503,                0.55888,                 0.7308,                0.66183,                 0.7075,                0.49023,                0.79855,                 1.0352,                0.87356,                0.95514,              0.0088615,              0.0088615,              0.0088615
