                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.96334,                 1.3298,                 2.7326,                 1.0326,                 0.2998,                0.31059,                0.23403,                0.16764,                0.30016,                0.30853,                 0.2323,                0.15714,                 1.2008,                 1.6945,                  2.504,                 1.1245,               0.076815,              0.0099363,              0.0099363
                      1,                 1.0586,                 1.3265,                 1.9565,                 1.0374,                 0.4492,                0.20085,                0.17652,                0.11778,                0.44803,                0.19888,                0.17575,                0.11542,                  1.346,                 2.1453,                 2.8347,                 1.2023,               0.053383,               0.019838,               0.019838
                      2,                 1.3153,                 1.6332,                 2.3247,                 1.1623,                0.24839,                0.12481,                0.09098,                0.05153,                0.36524,                0.11114,                   0.09,                0.05277,                 1.9877,                 3.7332,                 5.3565,                 1.6974,               0.029852,                0.02964,                0.02964
                      3,                 1.3715,                 1.6739,                  2.235,                 1.1982,                0.30662,                0.26146,                0.22859,                0.12962,                0.27557,                 0.2803,                 0.2249,                 0.1302,                 1.5751,                 2.4544,                 2.7583,                 1.4168,               0.029554,               0.029554,               0.029554
                      4,                 1.2412,                 1.4479,                 1.7442,                 1.1439,                0.38495,                0.32863,                0.28541,                0.18484,                0.37664,                0.32715,                 0.2809,                0.17642,                 1.4394,                 2.1082,                 2.3055,                 1.3295,               0.029554,               0.029554,               0.029554
                      5,                 1.1378,                 1.2562,                 1.4763,                 1.0989,                0.49099,                0.38085,                0.36697,                0.25307,                0.49104,                0.37482,                0.36679,                0.23217,                 1.2424,                 1.6732,                 2.0342,                 1.1875,               0.029406,               0.029406,               0.029406
                      6,                 1.0536,                 1.1057,                 1.3077,                 1.0514,                0.62299,                0.41796,                0.44077,                0.30645,                0.62373,                0.41872,                0.44072,                0.28598,                 1.1422,                 1.4371,                 1.7203,                 1.1198,               0.029257,               0.029257,               0.029257
                      7,                0.97132,                   0.99,                 1.1539,                  1.017,                0.55325,                0.50985,                0.52577,                0.38228,                0.54711,                0.50648,                0.51874,                0.35073,                0.98607,                 1.1096,                 1.3407,                 1.0309,               0.029109,               0.029109,               0.029109
                      8,                0.89371,                0.86384,                 1.0431,                0.98414,                0.67483,                 0.5628,                0.63968,                0.49261,                0.67331,                0.55997,                0.63587,                0.44835,                0.84858,                0.93126,                 1.0529,                0.98365,                0.02896,                0.02896,                0.02896
                      9,                0.84408,                0.79658,                0.93507,                0.96183,                 0.7376,                0.61333,                0.67097,                0.51627,                0.73671,                0.60983,                0.66823,                0.47978,                0.82854,                0.87432,                0.99303,                0.95531,               0.028812,               0.028812,               0.028812
                     10,                0.78967,                0.70035,                0.85415,                 0.9395,                0.71902,                0.58917,                0.66876,                0.52045,                0.71748,                 0.5859,                0.66446,                0.46233,                0.80036,                 1.1916,                 1.0666,                0.95897,               0.028663,               0.028663,               0.028663
                     11,                  0.741,                0.62605,                0.75398,                0.91572,                0.79627,                0.65981,                0.76147,                0.62229,                0.79909,                0.65446,                0.75803,                0.56824,                0.70199,                 0.7097,                0.83273,                0.90566,               0.028515,               0.028515,               0.028515
                     12,                0.69223,                0.57184,                0.69156,                0.89903,                 0.8031,                0.67765,                0.79068,                0.65851,                0.80149,                0.67564,                0.78646,                0.59339,                0.64809,                 0.6571,                0.75485,                 0.8859,               0.028366,               0.028366,               0.028366
                     13,                0.65623,                0.51707,                0.63563,                0.88042,                0.79649,                0.75463,                0.81823,                0.68102,                0.79446,                0.74893,                0.81023,                0.61939,                0.65872,                0.63222,                0.71229,                0.89146,               0.028218,               0.028218,               0.028218
                     14,                0.62637,                0.48497,                0.58344,                0.87202,                0.86438,                0.75926,                0.85306,                0.71842,                0.86418,                 0.7574,                0.85022,                0.65171,                0.59683,                0.57574,                0.62137,                  0.873,                0.02807,                0.02807,                0.02807
                     15,                 0.6056,                0.45449,                0.55362,                0.86407,                0.83815,                0.80666,                0.87321,                0.73758,                0.83701,                0.80175,                0.86786,                0.66042,                0.59121,                0.55656,                0.57442,                0.86628,               0.027921,               0.027921,               0.027921
                     16,                0.57525,                0.40939,                0.51218,                0.85325,                0.89529,                0.79837,                0.88683,                0.76198,                0.89172,                0.79475,                0.88023,                0.67917,                0.55726,                 0.5076,                 0.5682,                0.85551,               0.027773,               0.027773,               0.027773
                     17,                0.55681,                0.39178,                0.48277,                0.84715,                0.89225,                0.81451,                0.90116,                0.77895,                0.88828,                0.80926,                0.89461,                0.69022,                0.54076,                0.51359,                0.53258,                 0.8432,               0.027624,               0.027624,               0.027624
                     18,                0.53149,                0.36773,                0.45971,                0.83901,                0.84072,                0.70203,                0.79101,                0.66464,                0.83908,                0.69958,                0.78661,                 0.6045,                0.67119,                0.76722,                0.83595,                0.93656,               0.027475,               0.027475,               0.027475
