                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2309,                 2.0361,                 4.6257,                 1.1702,                0.03776,                0.05632,                0.01773,                0.01277,                0.03863,                 0.0573,                0.01854,                0.01362,                 1.0593,                 1.5242,                 4.1628,                 1.0862,               0.066915,             3.6433e-05,             3.6433e-05
                      1,                 1.1409,                 1.8024,                 3.8056,                 1.1155,                 0.0881,                0.13124,                0.05777,                0.04185,                0.08956,                0.13214,                0.05881,                0.04245,                0.98166,                 1.3518,                 3.2979,                 1.0525,               0.033618,             7.2738e-05,             7.2738e-05
                      2,                 1.0939,                 1.6299,                 3.0481,                 1.0908,                0.18469,                 0.2092,                0.12411,                0.09522,                0.18466,                  0.208,                 0.1245,                0.08791,                0.89275,                 1.2169,                 2.6921,                 1.0089,             0.00032099,             0.00010868,             0.00010868
                      3,                 1.0117,                 1.4798,                   2.54,                 1.0389,                0.26404,                0.25578,                0.20609,                0.16041,                0.26364,                0.25546,                0.20551,                0.14742,                0.83958,                  1.127,                 2.2512,                0.98155,             0.00010837,             0.00010837,             0.00010837
                      4,                0.96425,                 1.4042,                 2.1976,                 1.0127,                0.34206,                0.33765,                 0.2987,                0.23874,                0.34129,                 0.3369,                0.29669,                0.21344,                0.78379,                 1.0447,                 1.9386,                0.94722,             0.00010837,             0.00010837,             0.00010837
                      5,                0.96015,                 1.3882,                 2.0528,                 1.0078,                0.47715,                0.37471,                0.35992,                 0.2896,                0.47626,                0.37288,                0.35633,                 0.2593,                 0.7581,                 1.0042,                 1.7593,                0.93699,             0.00010782,             0.00010782,             0.00010782
                      6,                0.92697,                 1.3278,                  1.919,                0.99661,                0.42564,                0.41823,                0.40161,                0.32201,                0.42414,                 0.4168,                0.39831,                 0.2915,                0.74849,                0.96909,                 1.6255,                0.92686,             0.00010728,             0.00010728,             0.00010728
                      7,                0.89858,                 1.2808,                 1.8211,                0.98278,                0.53807,                0.41663,                0.43283,                0.34813,                0.53555,                0.41468,                0.42875,                0.31244,                0.73408,                0.95782,                 1.5303,                0.92319,             0.00010673,             0.00010673,             0.00010673
                      8,                0.89115,                 1.2526,                 1.7165,                0.97738,                0.49649,                0.45693,                0.46867,                0.37797,                0.49462,                0.45297,                0.46397,                0.34141,                0.72724,                0.93673,                 1.4461,                 0.9168,             0.00010619,             0.00010619,             0.00010619
                      9,                0.90018,                 1.2499,                 1.6746,                0.97573,                0.52981,                0.49163,                0.50156,                0.40717,                0.52836,                0.49047,                0.49624,                0.36407,                0.71442,                0.92898,                 1.3864,                0.90892,             0.00010564,             0.00010564,             0.00010564
                     10,                0.87587,                 1.1943,                 1.6019,                0.96703,                0.56881,                 0.5042,                0.53025,                0.43068,                0.56424,                0.49932,                0.52248,                0.38463,                0.70357,                0.91081,                 1.3198,                0.90618,              0.0001051,              0.0001051,              0.0001051
                     11,                0.85648,                 1.1927,                 1.5576,                0.96089,                0.61946,                0.49434,                 0.5518,                0.45005,                0.61356,                0.49036,                0.54421,                0.40261,                0.69572,                0.89705,                 1.2777,                0.90034,             0.00010456,             0.00010456,             0.00010456
                     12,                0.86173,                 1.2083,                 1.5439,                0.95436,                0.64534,                0.49214,                0.57028,                0.46778,                0.64436,                0.48487,                0.56335,                0.42018,                0.68985,                0.88168,                 1.2394,                0.89882,             0.00010401,             0.00010401,             0.00010401
                     13,                0.87014,                 1.2032,                  1.503,                0.95632,                0.66688,                0.53378,                0.59287,                0.48659,                0.66327,                0.53065,                0.58675,                0.43554,                0.68263,                0.88288,                 1.2015,                0.89478,             0.00010347,             0.00010347,             0.00010347
                     14,                0.84689,                 1.1539,                 1.4613,                0.95042,                0.63626,                0.56607,                0.61511,                0.50496,                0.63146,                0.56144,                0.60876,                0.44859,                0.68284,                0.87026,                  1.156,                0.89394,             0.00010292,             0.00010292,             0.00010292
                     15,                0.86342,                 1.1851,                 1.4291,                0.95452,                0.63503,                0.57231,                0.62694,                0.51538,                0.68009,                0.54185,                0.61819,                0.45838,                0.67951,                0.87013,                 1.1439,                0.89069,             0.00010238,             0.00010238,             0.00010238
                     16,                0.85441,                 1.1672,                  1.405,                0.94782,                0.62719,                0.60326,                0.63929,                0.52658,                0.62231,                0.59714,                0.63007,                0.47094,                0.67348,                0.86333,                 1.1134,                0.88973,             0.00010183,             0.00010183,             0.00010183
                     17,                0.84517,                 1.1486,                 1.3729,                0.94513,                0.69867,                0.58401,                0.65791,                0.54522,                0.69384,                   0.58,                0.65049,                0.48736,                0.66779,                0.84801,                 1.0738,                0.88646,             0.00010129,             0.00010129,             0.00010129
                     18,                0.83105,                 1.1305,                 1.3387,                0.94229,                0.72875,                0.58123,                0.66884,                0.55249,                0.72271,                0.57761,                0.66105,                0.49438,                 0.6637,                0.84461,                 1.0634,                 0.8862,             0.00010074,             0.00010074,             0.00010074
                     19,                 0.8342,                 1.1393,                 1.3441,                0.93971,                0.66179,                0.62016,                0.67652,                0.55672,                0.65496,                0.61717,                0.66851,                0.49804,                0.66963,                0.84766,                 1.0426,                0.88666,              0.0001002,              0.0001002,              0.0001002
                     20,                 0.8383,                  1.141,                  1.303,                0.94586,                0.72776,                0.61439,                0.69092,                0.57324,                0.72357,                0.60738,                0.68233,                0.51293,                0.65642,                0.83188,                  1.019,                0.88483,             9.9655e-05,             9.9655e-05,             9.9655e-05
                     21,                0.83083,                 1.1252,                 1.3126,                0.93861,                0.70557,                 0.6243,                0.69172,                0.57193,                0.69997,                0.61811,                 0.6818,                0.51128,                0.66658,                0.84778,                 1.0078,                0.88461,              9.911e-05,              9.911e-05,              9.911e-05
                     22,                0.83671,                  1.117,                 1.2996,                0.93676,                0.71058,                0.64513,                0.71079,                0.58971,                0.70421,                0.64205,                0.70294,                0.52861,                0.65526,                0.82804,                0.97815,                0.88233,             9.8566e-05,             9.8566e-05,             9.8566e-05
                     23,                0.84609,                 1.1514,                 1.2747,                0.94022,                0.79438,                0.59511,                0.71575,                0.59533,                0.79732,                0.58291,                0.70557,                0.52996,                0.65365,                0.82504,                0.96402,                0.88114,             9.8021e-05,             9.8021e-05,             9.8021e-05
                     24,                0.83186,                 1.1274,                 1.2542,                0.93882,                0.75048,                 0.6336,                0.72377,                0.60186,                0.74379,                0.62774,                0.71446,                0.53865,                0.65459,                0.82241,                0.94873,                0.88032,             9.7477e-05,             9.7477e-05,             9.7477e-05
                     25,                 0.8205,                 1.1083,                 1.2487,                0.93897,                0.74076,                0.64558,                0.73096,                0.60783,                0.73413,                0.63984,                0.72165,                0.54526,                0.64915,                0.81142,                0.91568,                0.87996,             9.6932e-05,             9.6932e-05,             9.6932e-05
                     26,                0.81567,                 1.0978,                 1.2118,                0.93497,                 0.7543,                0.64417,                0.73945,                0.61394,                0.74974,                  0.639,                0.73018,                 0.5491,                0.64929,                0.80985,                0.90747,                0.87993,             9.6388e-05,             9.6388e-05,             9.6388e-05
                     27,                0.82829,                 1.1112,                 1.2189,                0.93328,                0.73337,                0.66798,                0.73949,                0.61514,                0.72783,                 0.6631,                0.73035,                0.54814,                0.64571,                0.81734,                0.90485,                0.87982,             9.5843e-05,             9.5843e-05,             9.5843e-05
                     28,                0.81056,                 1.0918,                 1.2008,                0.93484,                0.76789,                 0.6828,                0.75433,                0.63122,                  0.764,                0.67772,                0.74643,                0.56394,                0.63743,                0.80688,                0.87552,                0.87721,             9.5299e-05,             9.5299e-05,             9.5299e-05
                     29,                0.82092,                 1.0981,                 1.2099,                0.93743,                0.78641,                0.65395,                 0.7586,                0.63344,                0.78034,                0.64878,                0.74888,                 0.5632,                0.64173,                 0.8073,                0.86635,                0.87636,             9.4754e-05,             9.4754e-05,             9.4754e-05
                     30,                0.80547,                  1.098,                 1.1668,                0.93247,                0.77956,                0.66987,                0.76176,                0.63693,                0.77548,                0.66568,                0.75358,                0.56934,                  0.635,                0.79181,                0.85683,                 0.8749,             9.4209e-05,             9.4209e-05,             9.4209e-05
                     31,                0.80838,                 1.0776,                 1.1652,                0.92693,                0.76298,                0.68431,                 0.7648,                 0.6409,                0.75786,                0.68009,                0.75592,                0.57071,                0.63061,                0.79318,                0.84465,                0.87445,             9.3665e-05,             9.3665e-05,             9.3665e-05
                     32,                0.80691,                  1.076,                 1.1571,                0.93311,                0.74818,                0.69696,                0.76706,                0.63975,                 0.7419,                0.69227,                0.75781,                0.57054,                0.63236,                0.79711,                0.84129,                 0.8739,             9.3121e-05,             9.3121e-05,             9.3121e-05
                     33,                0.81434,                 1.0785,                 1.1569,                0.93245,                0.74803,                0.70264,                0.76755,                0.64157,                0.74857,                0.69245,                0.75973,                0.56992,                0.63444,                0.79165,                0.82843,                0.87468,             9.2576e-05,             9.2576e-05,             9.2576e-05
                     34,                0.80669,                 1.0982,                 1.1579,                0.92908,                0.78215,                0.70164,                0.77905,                0.65329,                0.77819,                0.69818,                0.77183,                0.58397,                0.62452,                0.78546,                0.81658,                0.87258,             9.2032e-05,             9.2032e-05,             9.2032e-05
                     35,                0.78805,                 1.0621,                 1.1251,                0.92488,                0.78502,                0.69942,                0.78216,                0.65666,                0.78075,                0.69385,                 0.7718,                0.58484,                0.62605,                0.77854,                0.79947,                0.87258,             9.1487e-05,             9.1487e-05,             9.1487e-05
                     36,                0.78872,                 1.0571,                 1.1036,                0.92177,                0.74702,                0.72576,                0.78513,                0.65541,                  0.742,                0.71925,                0.77446,                0.58608,                0.63146,                0.77969,                0.79462,                0.87405,             9.0943e-05,             9.0943e-05,             9.0943e-05
                     37,                0.79009,                 1.0719,                 1.1069,                0.92379,                0.78801,                0.70712,                0.79135,                0.66587,                0.78498,                0.70295,                0.78259,                0.59328,                0.62074,                0.77038,                 0.7817,                0.87166,             9.0398e-05,             9.0398e-05,             9.0398e-05
                     38,                0.79566,                 1.0647,                 1.1191,                0.92806,                0.80562,                0.69877,                0.79122,                0.66525,                0.80125,                0.69494,                0.78331,                0.59381,                0.62256,                0.77739,                0.78104,                0.87107,             8.9854e-05,             8.9854e-05,             8.9854e-05
                     39,                0.79102,                 1.0563,                 1.0768,                0.92039,                 0.7994,                0.71733,                0.79832,                0.67245,                0.79464,                0.71197,                0.78808,                0.59773,                0.62137,                0.77356,                0.77214,                0.87049,             8.9309e-05,             8.9309e-05,             8.9309e-05
                     40,                0.78704,                 1.0593,                 1.0958,                0.92287,                0.80208,                0.71078,                0.79451,                0.66721,                0.78951,                0.71215,                0.78587,                0.59913,                0.62843,                0.78121,                0.77409,                0.87235,             8.8765e-05,             8.8765e-05,             8.8765e-05
                     41,                0.78345,                 1.0351,                 1.0865,                0.91817,                0.82355,                0.69695,                0.79882,                0.67147,                0.83253,                0.68465,                0.79158,                 0.5987,                0.61706,                0.77091,                0.76386,                0.86883,              8.822e-05,              8.822e-05,              8.822e-05
                     42,                0.79495,                  1.042,                 1.0716,                0.92164,                0.81096,                0.71225,                0.80323,                0.67527,                0.80881,                0.70378,                0.79244,                0.60104,                0.62035,                0.76936,                 0.7621,                0.86883,             8.7676e-05,             8.7676e-05,             8.7676e-05
                     43,                0.80187,                 1.0633,                 1.0769,                0.92424,                0.79242,                0.73385,                0.80407,                0.67492,                0.78752,                0.72956,                0.79529,                0.60359,                0.62352,                 0.7718,                0.75693,                0.86849,             8.7131e-05,             8.7131e-05,             8.7131e-05
                     44,                 0.7898,                 1.0586,                 1.0718,                0.92265,                0.79949,                0.72931,                0.80993,                0.68224,                0.79436,                0.72397,                0.79912,                0.60589,                0.61612,                0.76107,                0.74227,                  0.868,             8.6587e-05,             8.6587e-05,             8.6587e-05
                     45,                0.78925,                 1.0669,                 1.0588,                0.92255,                0.79059,                0.72923,                0.80836,                0.68156,                0.78631,                0.72318,                0.79836,                0.60446,                0.61059,                0.76574,                0.74146,                0.86716,             8.6042e-05,             8.6042e-05,             8.6042e-05
                     46,                0.78541,                 1.0522,                 1.0599,                0.92329,                0.83128,                0.71847,                0.81614,                0.68739,                0.82641,                0.71178,                0.80676,                0.61351,                0.61365,                 0.7566,                0.72893,                0.86806,             8.5498e-05,             8.5498e-05,             8.5498e-05
                     47,                0.79916,                 1.0548,                 1.0542,                0.92507,                0.80001,                0.74205,                 0.8178,                0.69052,                0.79474,                0.73675,                0.80869,                0.61558,                0.61582,                0.76579,                0.72721,                0.86765,             8.4953e-05,             8.4953e-05,             8.4953e-05
                     48,                0.77702,                 1.0292,                 1.0372,                0.91651,                0.80882,                0.74092,                0.82118,                0.69309,                0.80337,                0.73608,                0.81364,                0.62131,                0.61278,                0.76011,                0.72373,                0.86662,             8.4409e-05,             8.4409e-05,             8.4409e-05
                     49,                0.77445,                 1.0284,                 1.0289,                0.91676,                0.79565,                0.75013,                0.82171,                0.69391,                0.79183,                0.74502,                0.81378,                0.61768,                0.60961,                0.76216,                0.72033,                0.86632,             8.3864e-05,             8.3864e-05,             8.3864e-05
                     50,                0.78352,                 1.0281,                 1.0227,                 0.9177,                0.83174,                0.72476,                0.82413,                0.69729,                 0.8284,                 0.7204,                0.81667,                0.62079,                0.60915,                0.75577,                 0.7167,                0.86582,              8.332e-05,              8.332e-05,              8.332e-05
                     51,                0.78394,                   1.06,                 1.0334,                0.91816,                0.80457,                0.75079,                0.82451,                0.69879,                0.80307,                0.74229,                0.81556,                0.62047,                0.60306,                0.75016,                0.70301,                0.86533,             8.2775e-05,             8.2775e-05,             8.2775e-05
                     52,                0.78494,                 1.0344,                 1.0236,                0.92153,                 0.8002,                0.76229,                0.82532,                0.69826,                0.79521,                0.75636,                0.81537,                0.62378,                 0.6085,                0.75337,                 0.7027,                0.86498,             8.2231e-05,             8.2231e-05,             8.2231e-05
                     53,                0.78159,                 1.0431,                 1.0259,                0.91881,                 0.8278,                0.74507,                0.82722,                0.69983,                0.82458,                0.73901,                0.81767,                0.62274,                0.60863,                0.75222,                0.70312,                0.86608,             8.1686e-05,             8.1686e-05,             8.1686e-05
                     54,                0.76777,                 1.0265,                  1.012,                0.91367,                0.81738,                0.74429,                0.82941,                0.70018,                0.81487,                0.73942,                0.82116,                 0.6258,                0.60718,                0.74913,                0.69252,                0.86586,             8.1142e-05,             8.1142e-05,             8.1142e-05
                     55,                0.77078,                 1.0143,                0.98962,                0.91397,                0.80219,                 0.7677,                 0.8297,                0.70289,                0.81957,                0.74745,                0.82235,                0.62576,                0.60429,                 0.7506,                0.69724,                0.86389,             8.0597e-05,             8.0597e-05,             8.0597e-05
                     56,                0.78353,                 1.0382,                 1.0173,                0.92025,                0.82364,                0.75179,                0.82969,                0.70221,                 0.8197,                0.74842,                0.82189,                0.62413,                0.60726,                0.74584,                0.69442,                 0.8647,             8.0053e-05,             8.0053e-05,             8.0053e-05
                     57,                0.77977,                 1.0186,                0.99651,                0.91314,                0.82743,                0.74713,                0.83443,                0.70498,                0.82724,                0.74228,                0.82667,                0.63106,                  0.604,                0.74826,                0.69187,                 0.8649,             7.9508e-05,             7.9508e-05,             7.9508e-05
