                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2918,                 1.9514,                 5.1458,                 1.2007,                0.02901,                 0.0341,                 0.0135,                 0.0094,                0.02964,                0.03621,                0.01432,                0.01011,                 1.1369,                 1.6245,                 4.3776,                 1.1058,               0.066915,             3.6433e-05,             3.6433e-05
                      1,                 1.1134,                 1.5896,                 4.1206,                 1.1113,                0.08775,                0.11068,                0.05782,                0.04275,                0.08889,                0.11208,                0.05869,                0.04262,                 1.0179,                 1.3717,                  3.392,                 1.0545,               0.033618,             7.2738e-05,             7.2738e-05
                      2,                 1.0093,                 1.3686,                 3.2469,                 1.0634,                0.16504,                0.17148,                0.12454,                0.09538,                0.16522,                0.17277,                0.12551,                0.09011,                0.92048,                 1.1951,                 2.7866,                 1.0151,             0.00032099,             0.00010868,             0.00010868
                      3,                0.92367,                 1.1876,                 2.6724,                 1.0149,                0.24591,                 0.2743,                0.21461,                0.16826,                0.24532,                 0.2741,                0.21512,                0.15655,                0.83696,                 1.0361,                 2.2791,                0.96795,             0.00010837,             0.00010837,             0.00010837
                      4,                0.85693,                 1.0523,                 2.2527,                0.97733,                0.41242,                0.32794,                0.30708,                0.24452,                0.41404,                0.32532,                0.30664,                0.22235,                0.77389,                0.94207,                 1.9207,                0.93774,             0.00010837,             0.00010837,             0.00010837
                      5,                  0.794,                 0.9723,                 1.9535,                0.95091,                0.39905,                0.39876,                0.38039,                0.30843,                0.41165,                  0.393,                0.37923,                0.27793,                0.73229,                0.87404,                 1.6909,                0.91981,             0.00010782,             0.00010782,             0.00010782
                      6,                0.76633,                0.91078,                 1.7939,                0.93752,                0.55596,                 0.4007,                0.43057,                 0.3534,                0.55504,                0.39996,                0.42902,                0.31686,                0.71041,                0.83459,                 1.5471,                0.91179,             0.00010728,             0.00010728,             0.00010728
                      7,                0.73356,                0.84644,                 1.6344,                0.92319,                0.52406,                0.47052,                0.48718,                0.40368,                0.52259,                0.46925,                0.48482,                0.36193,                0.68581,                0.78952,                 1.4168,                0.90027,             0.00010673,             0.00010673,             0.00010673
                      8,                0.70987,                0.81321,                 1.5218,                0.91473,                0.59759,                 0.4744,                0.52777,                0.43819,                0.59691,                0.47248,                 0.5257,                 0.3917,                0.66881,                0.76582,                 1.3286,                 0.8925,             0.00010619,             0.00010619,             0.00010619
                      9,                 0.6853,                 0.7721,                 1.4219,                0.90414,                0.62533,                0.52943,                0.57261,                0.48171,                0.62387,                0.52822,                0.56965,                0.42904,                0.64656,                0.73411,                 1.2412,                0.88363,             0.00010564,             0.00010564,             0.00010564
                     10,                0.66707,                0.74204,                 1.3237,                0.89572,                0.64461,                 0.5544,                0.60873,                0.51615,                0.64314,                0.55314,                0.60621,                 0.4613,                0.63293,                0.71559,                 1.1811,                0.87868,              0.0001051,              0.0001051,              0.0001051
                     11,                0.65125,                0.71281,                 1.2531,                0.88985,                0.68107,                  0.574,                0.63642,                0.54105,                0.67997,                0.57317,                0.63321,                0.48506,                0.61979,                0.69384,                 1.1164,                0.87369,             0.00010456,             0.00010456,             0.00010456
                     12,                0.63107,                0.68209,                 1.1931,                0.88178,                0.71563,                0.58824,                0.66322,                0.56569,                 0.7146,                0.58723,                0.66032,                0.50794,                0.60616,                0.67239,                  1.055,                0.86849,             0.00010401,             0.00010401,             0.00010401
