                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2869,                 2.1369,                 4.3957,                   1.12,                0.53187,                0.05936,                0.03371,                0.02384,                0.53217,                0.06012,                0.03504,                0.02535,                 1.1499,                 1.5935,                 3.7859,                 1.0365,               0.067972,               0.001093,               0.001093
                      1,                  1.269,                  1.803,                 3.3346,                 1.0764,                  0.464,                0.11695,                0.08816,                0.06259,                0.46501,                0.11619,                0.08796,                 0.0599,                 1.1379,                 1.4213,                 2.9097,                 1.0402,               0.035728,              0.0021821,              0.0021821
                      2,                 1.2688,                 1.7109,                 2.7831,                 1.0831,                0.21908,                0.20245,                0.13645,                0.09381,                0.22067,                0.20226,                0.13725,                0.09182,                 1.1999,                   1.49,                 2.6397,                 1.0605,              0.0034727,              0.0032604,              0.0032604
                      3,                 1.2248,                 1.6466,                 2.4654,                 1.0648,                 0.2981,                0.27056,                0.21523,                0.14844,                 0.2939,                0.26797,                0.21188,                0.13925,                  1.109,                 1.3175,                 2.2226,                 1.0176,               0.003251,               0.003251,               0.003251
                      4,                 1.1949,                 1.6214,                 2.2599,                 1.0471,                0.37625,                0.31846,                0.27577,                 0.1921,                0.37585,                0.31844,                0.27404,                0.18077,                 1.1211,                 1.3242,                 2.0652,                  1.013,               0.003251,               0.003251,               0.003251
                      5,                 1.2111,                 1.6154,                 2.1597,                 1.0513,                0.37452,                0.35134,                0.30652,                0.21508,                0.37411,                0.35043,                0.30413,                0.20438,                 1.1418,                 1.4099,                 2.0962,                  1.023,              0.0032347,              0.0032347,              0.0032347
                      6,                 1.1772,                 1.5707,                 2.0445,                  1.042,                0.50374,                0.40778,                0.41155,                0.29174,                0.50307,                0.40373,                0.40722,                0.26375,                  1.051,                   1.22,                 1.8195,                0.98944,              0.0032183,              0.0032183,              0.0032183
                      7,                  1.147,                 1.5229,                 1.9745,                 1.0275,                0.56603,                0.41296,                0.45418,                0.33118,                0.56645,                0.41109,                0.45215,                0.31008,                 1.0176,                 1.1657,                  1.741,                0.96998,               0.003202,               0.003202,               0.003202
                      8,                 1.1299,                 1.5014,                 1.8657,                  1.021,                0.53892,                0.46845,                0.47683,                0.34604,                0.53905,                0.46633,                0.47397,                0.31781,                 1.0013,                 1.1754,                 1.6623,                0.96754,              0.0031857,              0.0031857,              0.0031857
                      9,                  1.142,                 1.5153,                 1.8432,                 1.0223,                0.58668,                 0.4897,                0.52247,                0.38441,                0.58513,                0.49113,                0.52155,                0.36615,                0.98214,                 1.1278,                 1.5727,                 0.9528,              0.0031693,              0.0031693,              0.0031693
                     10,                 1.1221,                 1.4414,                 1.7788,                 1.0151,                0.58827,                0.49304,                0.55156,                0.39779,                0.58373,                0.49269,                0.54433,                0.36815,                0.97069,                  1.129,                 1.5005,                0.95724,               0.003153,               0.003153,               0.003153
                     11,                 1.0969,                 1.4483,                 1.7288,                 1.0048,                0.60169,                0.55668,                0.57732,                0.41744,                0.60193,                0.55605,                 0.5741,                0.38619,                0.95163,                 1.1184,                 1.4199,                0.94503,              0.0031366,              0.0031366,              0.0031366
                     12,                 1.0947,                 1.4487,                 1.7019,                 1.0005,                0.64001,                0.56628,                0.60258,                0.44063,                0.64003,                 0.5636,                0.59812,                0.41304,                0.94422,                 1.0662,                  1.401,                0.94635,              0.0031203,              0.0031203,              0.0031203
                     13,                 1.1164,                 1.4671,                 1.6794,                 1.0054,                0.64151,                0.57151,                0.61617,                0.45236,                0.63941,                0.57042,                0.61271,                0.42354,                0.95246,                 1.0768,                 1.3789,                0.94265,               0.003104,               0.003104,               0.003104
                     14,                 1.0858,                 1.4115,                 1.6411,                0.99863,                0.67861,                 0.5524,                0.61019,                0.45339,                0.67867,                0.55263,                0.60951,                0.41909,                0.94432,                 1.1006,                 1.3372,                0.94059,              0.0030876,              0.0030876,              0.0030876
                     15,                 1.1003,                 1.4584,                 1.6133,                0.99974,                0.67756,                0.56477,                0.62647,                0.46424,                0.67186,                0.55953,                0.61791,                0.42629,                0.93516,                 1.0975,                 1.4204,                0.93717,              0.0030713,              0.0030713,              0.0030713
                     16,                 1.0897,                 1.4325,                 1.5899,                0.99346,                 0.6809,                0.60262,                0.65354,                0.48553,                0.67764,                0.59942,                0.64945,                0.45255,                0.91895,                 1.0509,                 1.2675,                 0.9319,               0.003055,               0.003055,               0.003055
                     17,                 1.0759,                 1.4126,                 1.5554,                 0.9904,                0.70305,                0.63265,                0.67634,                0.50598,                0.69962,                0.63163,                0.67409,                0.47023,                0.90506,                 1.0407,                  1.211,                0.92713,              0.0030386,              0.0030386,              0.0030386
                     18,                 1.0643,                 1.3963,                 1.5198,                0.98586,                0.73298,                0.61495,                0.69122,                0.51155,                0.73043,                0.61301,                0.68651,                0.47667,                0.91207,                 1.0474,                 1.2036,                0.93001,              0.0030223,              0.0030223,              0.0030223
                     19,                 1.0637,                 1.3927,                 1.5259,                0.98375,                0.69135,                 0.6277,                0.68146,                0.50414,                0.69342,                0.61276,                0.67472,                0.47085,                0.91367,                 1.0349,                 1.2267,                0.93327,               0.003006,               0.003006,               0.003006
                     20,                 1.0663,                 1.3914,                 1.4828,                0.98578,                0.74436,                0.63536,                 0.6942,                0.52255,                 0.7465,                0.63058,                0.68882,                0.48569,                0.89888,                 1.0497,                 1.1712,                0.92758,              0.0029896,              0.0029896,              0.0029896
                     21,                 1.0591,                 1.3834,                 1.4864,                0.98393,                0.74331,                0.63709,                0.70225,                0.52282,                0.74196,                0.63412,                0.69458,                0.47778,                0.89541,                 1.0423,                 1.1301,                 0.9259,              0.0029733,              0.0029733,              0.0029733
                     22,                 1.0595,                 1.3814,                 1.4873,                0.97986,                0.76041,                0.62952,                0.71423,                0.53502,                0.76276,                0.62047,                0.70602,                 0.4934,                0.87538,                  1.005,                 1.1115,                0.91437,               0.002957,               0.002957,               0.002957
                     23,                 1.0732,                 1.4002,                 1.4523,                0.98398,                0.72566,                0.61112,                0.68953,                0.51239,                0.72496,                0.61032,                0.68535,                0.47986,                0.91791,                 1.0748,                  1.137,                0.93044,              0.0029406,              0.0029406,              0.0029406
                     24,                 1.0538,                 1.3827,                  1.423,                0.97871,                0.78607,                 0.6499,                0.73867,                0.55434,                0.78864,                 0.6463,                0.73289,                0.51126,                0.87085,                 1.0042,                 1.0483,                0.91837,              0.0029243,              0.0029243,              0.0029243
                     25,                 1.0411,                 1.3737,                  1.432,                0.98016,                0.76468,                0.64435,                0.72149,                0.53727,                0.76372,                0.64377,                0.71775,                0.50248,                0.89355,                 1.0316,                 1.0699,                0.92387,               0.002908,               0.002908,               0.002908
                     26,                 1.0324,                 1.3395,                 1.3935,                0.97711,                0.74803,                0.63204,                0.70692,                0.52574,                0.74673,                0.62685,                0.70083,                0.48868,                0.89326,                 1.0142,                 1.1386,                0.92722,              0.0028916,              0.0028916,              0.0028916
                     27,                 1.0501,                 1.3474,                 1.4024,                0.97638,                0.74624,                0.68193,                 0.7378,                0.56287,                 0.7435,                0.68618,                0.73463,                0.52152,                0.85889,                0.99652,                  1.021,                0.91609,              0.0028753,              0.0028753,              0.0028753
