                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4196,                 2.1736,                 3.8595,                 1.1687,                0.34262,                0.05572,                0.05271,                0.03212,                0.34262,                0.05619,                0.05276,                0.03104,                 1.6878,                 2.7441,                 3.5144,                 1.3458,               0.076858,               0.009918,               0.009918
                      1,                 1.5515,                 2.2452,                 2.9905,                 1.2104,                0.15958,                 0.1238,                0.06472,                0.03731,                0.16085,                0.12488,                0.06468,                0.03914,                 1.9259,                 3.4216,                 3.4383,                 1.4431,               0.053426,               0.019819,               0.019819
                      2,                 1.6825,                 2.4778,                 2.9331,                 1.2766,                0.21518,                 0.1629,                0.07474,                0.03791,                0.21158,                0.15773,                 0.0705,                0.03558,                 1.8854,                 3.3519,                 4.8871,                 1.4108,               0.029895,               0.029622,               0.029622
                      3,                 1.7546,                 2.5465,                 2.8779,                 1.3053,                0.09532,                 0.0786,                0.03557,                0.01804,                0.09561,                0.07636,                0.03479,                0.01618,                 2.5054,                 4.6435,                  5.098,                 2.2333,               0.029554,               0.029554,               0.029554
                      4,                  1.679,                 2.4164,                  2.624,                 1.2705,                0.29181,                0.23166,                0.15009,                0.07992,                0.28995,                0.22853,                0.14919,                0.08462,                 1.6142,                 2.0369,                 3.9532,                 1.2572,               0.029554,               0.029554,               0.029554
                      5,                 1.5866,                   2.23,                 2.4744,                 1.2232,                0.29508,                0.24651,                0.16046,                0.09026,                0.28632,                0.25142,                0.16132,                0.09116,                 1.4786,                 1.9556,                 2.9852,                 1.1705,               0.029406,               0.029406,               0.029406
                      6,                 1.5244,                 2.0504,                 2.2805,                 1.1973,                0.39323,                0.20486,                0.19304,                0.11463,                 0.3901,                0.20362,                0.18926,                 0.1042,                 1.5195,                 2.4034,                 2.4972,                 1.2387,               0.029257,               0.029257,               0.029257
                      7,                 1.4932,                 2.0803,                 2.1641,                 1.1884,                0.33047,                0.30919,                0.23632,                0.13913,                0.32803,                0.30972,                0.23227,                0.13786,                 1.4121,                 1.9652,                 2.6345,                 1.1619,               0.029109,               0.029109,               0.029109
                      8,                 1.4424,                 1.9735,                 2.0541,                 1.1633,                0.37893,                0.30976,                0.28043,                0.17809,                0.38122,                0.30922,                0.27936,                0.17631,                 1.3764,                 1.8226,                 2.0333,                 1.1395,                0.02896,                0.02896,                0.02896
                      9,                 1.4378,                 1.9767,                 2.0162,                 1.1573,                0.40434,                0.31104,                0.28031,                0.17032,                0.40463,                0.30734,                0.28077,                 0.1615,                 1.3714,                 1.7822,                 2.0062,                 1.1315,               0.028812,               0.028812,               0.028812
                     10,                 1.3956,                 1.8977,                 1.9048,                 1.1386,                0.48641,                 0.3408,                 0.3249,                0.19707,                0.48199,                 0.3388,                0.31966,                0.19657,                 1.3146,                 1.7039,                 1.9177,                 1.0954,               0.028663,               0.028663,               0.028663
                     11,                 1.3741,                 1.8692,                 1.8698,                 1.1319,                0.45217,                0.38645,                0.36158,                0.23104,                0.45207,                0.38562,                0.36068,                0.22981,                 1.2674,                 1.5472,                 1.8276,                 1.0884,               0.028515,               0.028515,               0.028515
                     12,                 1.3485,                 1.8392,                 1.8242,                 1.1362,                0.48116,                0.39286,                0.38927,                0.24471,                0.48318,                0.39104,                0.38584,                0.23551,                 1.2625,                 1.5853,                 1.8483,                 1.0953,               0.028366,               0.028366,               0.028366
