                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8921,                 3.2068,                 4.0207,                 1.4616,                0.16769,                 0.1253,                0.03075,                 0.0178,                0.19323,                0.01229,                0.00108,                0.00036,                 1.7127,                 55.203,                 11.803,                 1.2782,               0.067541,             0.00032787,             0.00032787
                      1,                 1.8785,                 2.9925,                 3.0842,                 1.4334,                0.15607,                0.21833,                0.07964,                0.04874,                0.20583,                0.17667,                0.05251,                0.02398,                 1.2803,                 7.5593,                 5.7565,                 1.1368,               0.034538,              0.0006579,              0.0006579
                      2,                 1.8723,                 2.8947,                 2.9665,                  1.414,                0.32055,                0.16399,                0.05311,                0.03039,                0.30889,                0.15497,                0.05001,                0.02452,                 1.4412,                  4.074,                 4.4234,                 1.2016,               0.001531,             0.00098459,             0.00098459
                      3,                 1.8869,                 2.9123,                 2.9616,                 1.4287,                0.49328,                0.13763,                0.12188,                0.07438,                0.27615,                0.20261,                0.11835,                0.06576,                 1.3455,                 2.2482,                 4.2582,                 1.1422,               0.000985,               0.000985,               0.000985
                      4,                 1.8895,                 2.8497,                  2.898,                 1.4203,                0.16314,                0.25387,                0.11943,                 0.0736,                0.16109,                 0.2491,                0.11431,                0.06304,                 1.3459,                  2.169,                 2.8516,                  1.149,               0.000985,               0.000985,               0.000985
                      5,                 1.8716,                 2.8609,                 2.8828,                 1.4166,                0.21651,                0.29818,                0.16727,                0.10044,                0.21263,                0.29312,                0.16101,                0.09334,                  1.301,                 1.7999,                 2.7148,                 1.1277,                0.00098,                0.00098,                0.00098
                      6,                 1.8402,                 2.8185,                 2.7995,                 1.3886,                0.25972,                0.25965,                0.18531,                0.11522,                0.26202,                 0.2523,                0.18341,                0.11211,                 1.2812,                 1.7446,                 2.2659,                 1.1012,               0.000975,               0.000975,               0.000975
                      7,                 1.8315,                 2.6875,                 2.7485,                 1.3847,                 0.3989,                0.26788,                0.20646,                0.13422,                0.40021,                0.26281,                0.20231,                0.12824,                 1.2485,                 1.6141,                 2.2769,                 1.0787,                0.00097,                0.00097,                0.00097
                      8,                 1.8018,                 2.7157,                 2.7466,                 1.3712,                0.39298,                0.26318,                0.21019,                0.13742,                0.39163,                0.26086,                0.20728,                0.12544,                 1.2325,                 1.6891,                 2.4751,                 1.0955,               0.000965,               0.000965,               0.000965
                      9,                 1.7618,                 2.6573,                  2.678,                 1.3634,                0.45516,                0.29338,                0.26907,                0.17045,                0.45636,                0.28788,                0.26335,                0.16006,                 1.2376,                 1.6108,                 2.0219,                 1.1047,                0.00096,                0.00096,                0.00096
                     10,                 1.7433,                 2.6212,                 2.6997,                 1.3532,                 0.4185,                0.28305,                0.25574,                0.16026,                0.41487,                0.27948,                 0.2527,                  0.159,                 1.2562,                 1.4882,                 2.0058,                 1.1029,               0.000955,               0.000955,               0.000955
                     11,                 1.7542,                 2.5918,                  2.638,                 1.3518,                0.41252,                0.29093,                0.26405,                0.17122,                 0.4144,                 0.2922,                0.26097,                0.16112,                 1.2318,                 1.7603,                 2.0261,                 1.0876,                0.00095,                0.00095,                0.00095
                     12,                 1.7487,                 2.6362,                 2.5751,                 1.3403,                0.35824,                0.31781,                0.28677,                0.19154,                 0.3626,                0.31412,                0.28313,                0.17243,                 1.1366,                 1.4737,                 1.9324,                 1.0497,             0.00094501,             0.00094501,             0.00094501
                     13,                 1.7243,                 2.5514,                 2.5601,                 1.3296,                0.50691,                0.31688,                0.28979,                0.19009,                0.50424,                0.31358,                0.28914,                0.18316,                 1.1991,                 1.4577,                 1.8541,                  1.077,             0.00094001,             0.00094001,             0.00094001
                     14,                 1.7131,                 2.5905,                 2.5641,                 1.3268,                0.45542,                0.34151,                0.29769,                0.19151,                0.42663,                0.33378,                0.29373,                0.18302,                 1.1611,                  1.443,                 1.9417,                 1.0421,             0.00093501,             0.00093501,             0.00093501
                     15,                 1.7086,                 2.5504,                 2.5417,                 1.3218,                0.51585,                0.32177,                 0.3213,                0.21718,                0.51478,                0.31946,                0.31806,                0.20204,                 1.1501,                 1.4792,                 1.8394,                 1.0667,             0.00093001,             0.00093001,             0.00093001
                     16,                 1.6983,                 2.5668,                 2.5567,                  1.315,                0.39484,                0.39148,                0.34106,                0.22742,                0.39712,                0.38887,                0.33788,                0.20777,                   1.13,                 1.4605,                 1.8036,                 1.0554,             0.00092501,             0.00092501,             0.00092501
                     17,                 1.7027,                 2.5935,                 2.5715,                   1.32,                0.57402,                0.32314,                0.34093,                0.22013,                  0.568,                0.31004,                0.33954,                0.21382,                 1.1643,                 1.4463,                 1.9994,                 1.0617,             0.00092001,             0.00092001,             0.00092001
                     18,                 1.6731,                 2.5258,                 2.4922,                 1.3113,                0.51242,                0.30847,                0.32935,                0.21726,                0.51309,                0.30978,                0.32514,                 0.2021,                 1.1282,                 1.4484,                 1.9569,                 1.0643,             0.00091501,             0.00091501,             0.00091501
                     19,                 1.6918,                  2.563,                 2.5175,                  1.326,                0.47571,                0.37912,                0.34803,                0.22997,                0.47532,                0.37641,                0.34443,                0.21585,                  1.128,                 1.4218,                 1.7485,                 1.0458,             0.00091001,             0.00091001,             0.00091001
                     20,                 1.6592,                  2.487,                 2.4684,                 1.3046,                0.41769,                0.35929,                 0.3484,                0.22637,                0.42242,                0.35641,                0.34508,                0.21526,                 1.1591,                 1.3435,                 1.7615,                 1.0662,             0.00090501,             0.00090501,             0.00090501
                     21,                 1.6428,                 2.4922,                  2.427,                 1.2931,                0.47732,                0.38858,                0.38034,                0.25337,                0.46887,                0.38156,                0.36853,                0.23537,                 1.0952,                 1.3866,                 1.7005,                 1.0344,             0.00090001,             0.00090001,             0.00090001
                     22,                 1.6624,                 2.4678,                  2.428,                 1.2972,                0.53216,                0.34461,                0.35978,                0.24227,                 0.5384,                0.33252,                 0.3532,                0.22669,                 1.1456,                 1.4224,                 1.7287,                 1.0557,             0.00089501,             0.00089501,             0.00089501
                     23,                 1.6697,                 2.5224,                 2.4358,                 1.3026,                0.53056,                0.37013,                0.38493,                0.25526,                0.52975,                 0.3677,                0.38095,                 0.2467,                 1.1243,                 1.3787,                 1.7912,                 1.0483,             0.00089001,             0.00089001,             0.00089001
                     24,                 1.6542,                 2.4569,                 2.4162,                 1.2949,                0.55885,                0.34752,                 0.3627,                0.24248,                0.56007,                0.33555,                0.35996,                0.23367,                 1.1281,                 1.4178,                 1.7263,                 1.0539,             0.00088501,             0.00088501,             0.00088501
                     25,                 1.6702,                 2.4815,                 2.4084,                 1.2932,                0.45014,                0.41768,                0.35764,                0.23899,                0.45212,                 0.4161,                0.35758,                0.22956,                 1.1672,                 1.3789,                 1.7583,                 1.0636,             0.00088001,             0.00088001,             0.00088001
                     26,                  1.653,                  2.441,                 2.4113,                 1.2911,                0.52348,                0.39548,                0.39031,                0.26875,                0.52893,                0.38501,                0.38486,                0.24281,                 1.0844,                 1.3615,                 1.7235,                 1.0386,             0.00087501,             0.00087501,             0.00087501
                     27,                 1.6265,                 2.4455,                 2.3712,                 1.2962,                0.57014,                0.37411,                 0.3875,                0.26699,                 0.5685,                0.36762,                0.38219,                0.24771,                 1.0832,                 1.3729,                 1.8062,                 1.0325,             0.00087001,             0.00087001,             0.00087001
                     28,                 1.6336,                 2.4419,                 2.3883,                 1.2879,                0.50928,                0.41523,                0.40949,                0.27973,                0.50545,                 0.4095,                0.40333,                0.26158,                 1.0605,                 1.2989,                 1.5836,                  1.022,             0.00086501,             0.00086501,             0.00086501
                     29,                 1.6314,                 2.4435,                 2.3519,                 1.2859,                 0.4948,                0.42697,                0.41497,                0.28332,                0.49357,                0.42261,                0.40976,                0.27068,                 1.0815,                 1.3373,                 1.7417,                 1.0262,             0.00086001,             0.00086001,             0.00086001
                     30,                 1.6375,                 2.4442,                 2.3678,                  1.294,                0.44144,                0.39361,                0.39068,                0.26792,                0.44663,                0.39379,                0.39179,                0.25808,                 1.0911,                 1.3287,                 1.6704,                 1.0315,             0.00085501,             0.00085501,             0.00085501
                     31,                 1.6252,                 2.4244,                 2.3826,                 1.2899,                0.54466,                0.35463,                0.40564,                0.27273,                0.54868,                0.35413,                0.40428,                0.26282,                  1.089,                 1.2901,                 1.7176,                 1.0228,             0.00085001,             0.00085001,             0.00085001
                     32,                 1.6223,                 2.4198,                 2.3076,                 1.2777,                0.55093,                0.41453,                 0.4457,                0.30923,                0.55224,                0.41168,                0.44044,                0.28309,                 1.0476,                 1.2933,                 1.5521,                 1.0227,             0.00084502,             0.00084502,             0.00084502
                     33,                 1.6158,                 2.3952,                 2.3424,                 1.2861,                0.43454,                0.47134,                0.44913,                0.30936,                 0.4356,                0.46873,                0.44869,                0.30166,                 1.0767,                 1.3079,                 1.5836,                 1.0225,             0.00084002,             0.00084002,             0.00084002
