                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2624,                 1.9622,                 3.5023,                 1.1688,                0.21159,                0.28983,                0.18202,                0.12902,                0.21871,                0.28176,                0.18087,                0.12189,                 1.0768,                  1.449,                 2.3377,                 1.0528,               0.070246,               0.003306,               0.003306
                      1,                 1.1141,                 1.5907,                 2.0595,                 1.0439,                0.38641,                0.33121,                0.29311,                0.19962,                0.37747,                0.33827,                0.28835,                 0.1864,                 1.0642,                 1.4037,                 1.8973,                 1.0041,               0.040213,              0.0066065,              0.0066065
                      2,                 1.1664,                 1.6403,                  1.868,                 1.0506,                0.43725,                0.34215,                0.30703,                0.20595,                0.44044,                0.34145,                0.30723,                0.19579,                  1.264,                 1.7211,                 1.9732,                 1.0759,               0.010147,              0.0098739,              0.0098739
                      3,                 1.2351,                 1.6943,                 1.7533,                 1.0642,                0.42523,                0.39097,                0.34019,                0.22259,                0.42321,                0.38854,                0.33686,                0.20724,                  1.215,                 1.6558,                 1.8496,                 1.0738,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.2342,                 1.7019,                 1.6586,                 1.0713,                0.57689,                0.40581,                0.43539,                0.28781,                 0.5808,                0.40458,                0.43018,                0.27603,                 1.1805,                 1.5273,                 1.6343,                 1.0373,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2095,                 1.6832,                 1.6163,                 1.0545,                0.42592,                0.38561,                0.36675,                0.23846,                0.42867,                0.38665,                0.37023,                0.23073,                 1.3461,                 1.7973,                 1.8901,                 1.1405,               0.009802,               0.009802,               0.009802
                      6,                 1.1921,                 1.5879,                 1.5218,                 1.0498,                0.64386,                0.40612,                0.46829,                0.31399,                0.64472,                0.40479,                0.46234,                0.29034,                 1.1528,                 1.5365,                 1.5717,                 1.0288,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1851,                 1.6172,                 1.4826,                 1.0452,                0.66891,                0.46729,                0.52506,                0.35451,                0.66944,                0.46806,                0.51953,                0.33337,                 1.0613,                  1.355,                 1.3798,                 1.0017,               0.009703,               0.009703,               0.009703
                      8,                 1.1555,                 1.5641,                 1.4241,                  1.038,                  0.583,                0.55317,                0.56671,                0.38989,                0.58395,                0.55271,                0.57213,                 0.3741,                 1.0726,                 1.2718,                 1.3236,                0.99085,              0.0096535,              0.0096535,              0.0096535
                      9,                  1.157,                  1.569,                 1.4111,                 1.0379,                0.64687,                0.49289,                0.53518,                0.34429,                0.64008,                0.48531,                0.52168,                0.32538,                 1.1196,                 1.3965,                 1.3601,                  1.017,               0.009604,               0.009604,               0.009604
