                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3507,                  2.158,                 2.4175,                 1.1411,                0.60601,                0.51263,                0.51961,                0.34284,                0.60489,                0.50313,                0.51446,                0.32062,                 1.1552,                 1.5503,                 1.7004,                 1.0491,               0.067927,              0.0010945,              0.0010945
                      1,                 1.2502,                 1.8099,                  1.495,                 1.0662,                 0.6776,                0.61955,                0.62783,                0.41616,                0.68089,                0.61496,                0.62452,                0.39236,                 1.0911,                 1.4095,                 1.4348,                0.98917,               0.035683,              0.0021837,              0.0021837
                      2,                  1.212,                  1.725,                 1.3183,                 1.0369,                 0.6979,                0.59888,                0.61409,                0.40231,                0.69838,                0.59724,                0.61122,                0.38989,                 1.1689,                  1.492,                 1.3228,                 1.0158,              0.0034277,              0.0032619,              0.0032619
                      3,                 1.1949,                 1.6594,                 1.2349,                 1.0251,                0.69097,                0.55067,                0.57205,                0.38353,                0.68809,                0.54838,                0.56797,                0.37131,                 1.1892,                 1.5263,                 1.3295,                 1.0364,               0.003251,               0.003251,               0.003251
                      4,                 1.1834,                 1.6368,                 1.1755,                 1.0156,                0.69835,                 0.6143,                0.63754,                 0.4195,                0.69535,                0.60512,                0.62178,                0.38081,                 1.0845,                 1.4153,                 1.1959,                0.99018,               0.003251,               0.003251,               0.003251
                      5,                 1.1916,                 1.6143,                 1.1591,                 1.0152,                0.73448,                 0.5619,                0.60086,                0.40761,                0.73172,                0.56028,                0.59497,                0.38841,                 1.1137,                  1.482,                 1.2177,                 1.0053,              0.0032347,              0.0032347,              0.0032347
                      6,                 1.1503,                 1.5736,                 1.0976,                0.99869,                0.71234,                 0.7039,                0.69866,                 0.4704,                0.71181,                0.69892,                0.68727,                0.44211,                 1.0311,                  1.254,                 1.1083,                0.95459,              0.0032183,              0.0032183,              0.0032183
                      7,                 1.1522,                  1.566,                 1.0851,                  1.001,                0.72554,                0.69014,                0.69379,                0.46555,                0.71854,                0.67662,                0.67997,                0.42365,                 1.0305,                 1.2585,                 1.0425,                0.96195,               0.003202,               0.003202,               0.003202
                      8,                 1.1198,                 1.5094,                 1.0587,                0.99144,                0.74889,                0.71337,                0.73039,                 0.5013,                0.74636,                0.70023,                0.71903,                 0.4583,                0.99165,                 1.2218,                 0.9837,                0.95252,              0.0031857,              0.0031857,              0.0031857
                      9,                 1.1138,                 1.4998,                 1.0325,                0.98677,                0.74491,                0.69859,                0.71084,                0.48807,                0.74168,                0.69531,                0.70197,                0.45489,                0.99419,                 1.1915,                0.97872,                0.94828,              0.0031693,              0.0031693,              0.0031693
                     10,                 1.1174,                 1.4713,                 1.0206,                0.98219,                0.70582,                0.71925,                0.70447,                0.48868,                0.69745,                0.71072,                0.68795,                0.44282,                0.97048,                 1.1708,                0.97271,                0.93972,               0.003153,               0.003153,               0.003153
                     11,                 1.1059,                 1.4882,                 1.0086,                0.98158,                0.72818,                0.71728,                0.72112,                0.49958,                0.73355,                0.69859,                0.70517,                 0.4678,                0.99163,                 1.2111,                0.96383,                0.94761,              0.0031366,              0.0031366,              0.0031366
                     12,                 1.1083,                 1.4428,                0.99224,                0.97997,                0.73675,                0.72942,                0.73067,                0.51078,                0.72644,                0.72057,                0.71641,                0.46712,                0.97308,                 1.2098,                0.92289,                0.93892,              0.0031203,              0.0031203,              0.0031203
                     13,                  1.103,                 1.4384,                0.97357,                0.97665,                0.74306,                0.72155,                0.73357,                0.51313,                0.74561,                0.71105,                0.72642,                0.48495,                0.99189,                 1.1513,                0.91914,                0.94296,               0.003104,               0.003104,               0.003104
                     14,                 1.0893,                 1.4263,                0.96707,                0.97606,                0.74285,                0.72056,                0.73329,                0.51332,                 0.7327,                0.71072,                0.71863,                0.47162,                0.96716,                 1.2063,                0.91999,                0.93883,              0.0030876,              0.0030876,              0.0030876
                     15,                 1.0779,                 1.3957,                0.95832,                0.97153,                0.74355,                0.74393,                0.74281,                0.52328,                0.73502,                 0.7354,                0.73048,                 0.4807,                0.94317,                 1.1498,                0.88756,                0.93306,              0.0030713,              0.0030713,              0.0030713
                     16,                 1.0896,                 1.4387,                0.96318,                0.97726,                0.74924,                0.72778,                 0.7354,                 0.5253,                0.74452,                 0.7163,                0.72355,                0.48499,                0.94862,                 1.1899,                0.87939,                0.93656,               0.003055,               0.003055,               0.003055
                     17,                 1.0624,                 1.3909,                0.93758,                0.96667,                0.73156,                 0.7386,                0.73289,                0.51291,                0.73414,                0.72756,                0.72251,                0.46925,                0.97903,                  1.188,                0.90638,                0.94289,              0.0030386,              0.0030386,              0.0030386
                     18,                 1.0607,                  1.388,                0.91587,                0.96652,                0.72667,                0.74647,                 0.7372,                0.52677,                0.71926,                0.73008,                0.72269,                0.47232,                0.93707,                 1.1555,                0.88439,                0.93269,              0.0030223,              0.0030223,              0.0030223
                     19,                  1.051,                 1.3618,                0.90908,                0.96246,                0.75786,                0.74123,                0.74853,                0.53372,                0.76266,                0.72745,                 0.7405,                0.49509,                0.93388,                 1.1306,                0.85446,                0.93082,               0.003006,               0.003006,               0.003006
                     20,                 1.0574,                 1.3764,                0.91224,                0.96315,                 0.7697,                0.72811,                0.75176,                0.53576,                0.75652,                0.72353,                0.73743,                0.49779,                0.92353,                  1.132,                0.85392,                0.92668,              0.0029896,              0.0029896,              0.0029896
                     21,                 1.0541,                  1.359,                0.91115,                0.96381,                0.75816,                0.74063,                0.74392,                0.52225,                0.75196,                0.73729,                0.73642,                0.48235,                0.95808,                 1.1397,                0.89665,                0.93607,              0.0029733,              0.0029733,              0.0029733
                     22,                 1.0427,                 1.3411,                0.89125,                0.95495,                0.74917,                0.72979,                0.73193,                0.50888,                0.74422,                0.72622,                0.72382,                0.48577,                0.97661,                 1.1473,                0.86579,                0.93758,               0.002957,               0.002957,               0.002957
                     23,                 1.0553,                 1.3809,                0.90208,                0.96007,                0.74083,                0.75336,                0.75012,                0.52714,                0.73599,                0.74844,                0.73885,                0.48486,                0.95145,                 1.1531,                0.89535,                0.93512,              0.0029406,              0.0029406,              0.0029406
                     24,                  1.031,                 1.3181,                0.87488,                0.95465,                0.75952,                0.73441,                0.74862,                0.53679,                0.75758,                0.72286,                0.73666,                0.49614,                0.93289,                 1.1353,                0.84151,                0.93292,              0.0029243,              0.0029243,              0.0029243
                     25,                 1.0348,                 1.3387,                0.87316,                0.95512,                0.77374,                0.73642,                0.75411,                0.53153,                0.76464,                0.72625,                0.73776,                0.47963,                0.94329,                 1.1439,                0.85159,                0.93591,               0.002908,               0.002908,               0.002908
                     26,                 1.0348,                 1.3411,                0.87977,                0.95847,                0.74771,                0.74024,                0.74293,                0.52837,                0.73348,                0.72689,                0.72714,                0.48033,                0.95311,                 1.1269,                0.85053,                0.93627,              0.0028916,              0.0028916,              0.0028916
                     27,                 1.0389,                 1.3376,                0.87295,                0.95834,                0.76662,                0.73937,                0.75649,                0.53775,                0.76328,                0.72887,                0.74462,                0.49695,                0.94577,                 1.1236,                0.84919,                0.93245,              0.0028753,              0.0028753,              0.0028753
                     28,                 1.0357,                   1.32,                0.87107,                0.95686,                0.76111,                0.74505,                 0.7505,                0.53479,                0.75734,                0.74007,                0.73934,                0.48744,                 0.9278,                 1.1342,                0.82645,                0.93019,               0.002859,               0.002859,               0.002859
                     29,                 1.0395,                 1.3498,                0.86986,                0.95755,                0.77002,                0.76063,                0.75627,                0.53962,                0.76205,                0.75276,                0.74399,                0.49836,                0.93356,                 1.1157,                0.83185,                0.93072,              0.0028426,              0.0028426,              0.0028426
                     30,                 1.0116,                 1.3117,                 0.8571,                0.95023,                0.75636,                0.75959,                0.75805,                0.54541,                0.74549,                0.75336,                0.74661,                 0.4911,                0.91734,                 1.1499,                0.84876,                0.93138,              0.0028263,              0.0028263,              0.0028263
                     31,                 1.0295,                 1.3235,                0.85592,                0.95465,                0.77529,                0.73106,                0.75224,                0.53885,                0.76998,                0.72024,                0.73962,                0.48847,                0.92554,                 1.1307,                0.82362,                0.93079,                0.00281,                0.00281,                0.00281
