                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3483,                 2.2615,                 2.6367,                 1.1584,                0.62733,                0.46676,                0.50452,                0.33515,                0.63524,                0.46852,                0.50464,                0.31377,                 1.1306,                 1.6512,                 2.0998,                 1.0417,               0.068031,               0.001091,               0.001091
                      1,                 1.2184,                  1.851,                 1.6227,                 1.0843,                0.67163,                0.58563,                0.61436,                0.42156,                0.66919,                0.58108,                0.60806,                0.39672,                 1.0917,                 1.4695,                 1.4431,                 0.9964,               0.035787,              0.0021801,              0.0021801
                      2,                 1.1901,                 1.7636,                 1.3967,                 1.0502,                0.67594,                0.60968,                0.63612,                0.42094,                0.67762,                 0.6064,                0.63294,                0.41499,                 1.1289,                 1.4388,                 1.4377,                 1.0086,              0.0035316,              0.0032584,              0.0032584
                      3,                 1.1854,                 1.7169,                 1.3301,                 1.0428,                0.68112,                0.52867,                0.55929,                 0.3606,                 0.6843,                0.52867,                0.55769,                0.36002,                 1.2826,                 1.6583,                 1.5236,                 1.1169,               0.003251,               0.003251,               0.003251
                      4,                 1.1597,                 1.6222,                  1.252,                  1.027,                0.70395,                0.58319,                0.62429,                0.42844,                0.70289,                0.57666,                0.61559,                0.40639,                 1.1252,                 1.5241,                 1.3079,                 1.0126,               0.003251,               0.003251,               0.003251
                      5,                 1.1391,                 1.5953,                 1.1877,                 1.0142,                0.73532,                0.64691,                0.69741,                0.48769,                0.74797,                0.63261,                0.68844,                0.46523,                 1.0472,                 1.3599,                 1.1486,                0.97308,              0.0032347,              0.0032347,              0.0032347
                      6,                 1.1493,                 1.5956,                 1.1735,                  1.016,                0.73694,                0.66585,                0.70231,                0.48141,                0.73546,                0.66398,                0.69898,                0.45628,                 1.0409,                  1.358,                 1.1518,                0.97255,              0.0032183,              0.0032183,              0.0032183
                      7,                 1.1311,                 1.5636,                 1.1283,                 1.0061,                0.74343,                0.68027,                0.72007,                0.50737,                0.75535,                0.66725,                0.71342,                0.48326,                0.99978,                 1.2741,                 1.0645,                 0.9543,               0.003202,               0.003202,               0.003202
                      8,                 1.1073,                 1.5178,                 1.1038,                  1.003,                0.75575,                0.65494,                0.70309,                0.48376,                0.75348,                0.65178,                 0.6987,                0.45587,                 1.0585,                 1.3757,                 1.1069,                0.99207,              0.0031857,              0.0031857,              0.0031857
                      9,                 1.0944,                 1.5418,                 1.0823,                0.99675,                0.75024,                0.70067,                0.73065,                0.51047,                0.74613,                0.69469,                0.72034,                0.47412,                 1.0028,                 1.2566,                 1.0472,                0.95586,              0.0031693,              0.0031693,              0.0031693
                     10,                 1.0897,                 1.4679,                 1.0632,                0.99078,                0.75454,                0.71255,                0.74839,                0.53035,                0.75492,                0.71291,                0.74374,                0.50273,                0.98019,                 1.2014,                0.97724,                0.93648,               0.003153,               0.003153,               0.003153
                     11,                 1.1046,                 1.5119,                 1.0676,                0.99758,                0.75765,                0.68728,                0.73539,                0.52784,                0.75375,                0.68044,                 0.7267,                 0.4943,                0.96674,                 1.2205,                0.96879,                0.93963,              0.0031366,              0.0031366,              0.0031366
                     12,                 1.0895,                 1.5121,                 1.0471,                0.98953,                0.75418,                0.70489,                0.74514,                0.52646,                0.75589,                0.70489,                0.74012,                0.49363,                0.97247,                 1.2079,                0.96405,                0.95089,              0.0031203,              0.0031203,              0.0031203
                     13,                 1.0722,                 1.4423,                 1.0363,                0.98122,                0.74692,                0.72494,                0.75611,                0.53642,                0.74193,                0.71931,                0.74407,                0.49669,                0.95751,                 1.1792,                0.97801,                0.93874,               0.003104,               0.003104,               0.003104
                     14,                 1.0604,                 1.4245,                 1.0216,                0.98736,                0.74077,                0.70662,                 0.7325,                0.50595,                0.74267,                0.69082,                0.72238,                0.47613,                 1.0044,                 1.3046,                 1.0138,                0.97306,              0.0030876,              0.0030876,              0.0030876
                     15,                 1.0614,                 1.4387,                 1.0017,                0.98174,                0.76836,                0.71017,                0.75466,                0.53661,                0.77121,                0.69715,                0.74576,                0.50943,                0.98372,                 1.2254,                0.95228,                0.93972,              0.0030713,              0.0030713,              0.0030713
                     16,                 1.0566,                 1.4302,                 0.9997,                0.98307,                0.75619,                0.71892,                0.74744,                0.52907,                  0.755,                0.70781,                0.73542,                0.50218,                 0.9842,                 1.1746,                0.93018,                0.93555,               0.003055,               0.003055,               0.003055
                     17,                  1.061,                 1.4233,                0.99555,                0.98289,                0.75195,                0.72001,                0.75764,                0.54622,                0.74755,                0.71579,                0.74976,                 0.5093,                 0.9453,                 1.1733,                0.90667,                0.93474,              0.0030386,              0.0030386,              0.0030386
                     18,                 1.0508,                 1.4122,                0.96088,                0.97878,                0.75213,                0.72898,                0.76432,                0.54366,                 0.7534,                 0.7275,                0.75972,                0.51926,                0.95303,                  1.147,                0.91656,                0.93498,              0.0030223,              0.0030223,              0.0030223
                     19,                 1.0639,                 1.4053,                0.99328,                0.98468,                0.76397,                0.67218,                0.71916,                0.50621,                0.75735,                0.66549,                0.70945,                0.47298,                 1.0249,                 1.2996,                0.97937,                 0.9693,               0.003006,               0.003006,               0.003006
                     20,                 1.0449,                 1.3936,                0.96258,                0.97726,                0.77727,                0.73405,                0.76716,                0.55705,                0.77502,                0.72459,                0.75706,                0.51595,                0.93954,                 1.1605,                0.87409,                0.93406,              0.0029896,              0.0029896,              0.0029896
                     21,                  1.036,                 1.3912,                0.94398,                0.97433,                0.74888,                0.71614,                 0.7474,                0.54096,                0.76357,                0.69082,                0.73648,                0.50578,                0.95057,                 1.1672,                0.90571,                0.93503,              0.0029733,              0.0029733,              0.0029733
