                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.8838,                 1.0897,                 3.5291,                0.91594,                0.56773,                 0.1242,                  0.091,                0.07346,                0.56751,                0.12369,                0.09039,                0.06585,                0.73055,                0.81506,                 2.7676,                0.87441,               0.067972,               0.001093,               0.001093
                      1,                 0.9268,                 1.1203,                 2.6082,                0.94326,                 0.1419,                0.23454,                0.11916,                0.09468,                0.14135,                0.23326,                  0.118,                0.08622,                0.76124,                0.81669,                 2.3415,                0.88147,               0.035728,              0.0021821,              0.0021821
                      2,                 0.9664,                 1.1689,                  2.294,                0.95015,                0.23525,                0.28284,                0.20789,                0.16147,                  0.233,                 0.2803,                0.20492,                0.14585,                0.78164,                0.85961,                 2.0529,                0.88348,              0.0034727,              0.0032604,              0.0032604
                      3,                0.97994,                 1.1845,                 2.0535,                0.95468,                 0.3541,                0.37437,                0.30201,                0.23376,                0.35267,                0.37256,                0.29992,                0.20786,                0.82063,                0.89318,                 1.7915,                0.90099,               0.003251,               0.003251,               0.003251
                      4,                0.98156,                 1.2147,                 1.8626,                0.95687,                0.44208,                0.46427,                0.42991,                0.33131,                0.43964,                0.46037,                0.42383,                0.29439,                0.81381,                0.88318,                 1.5836,                0.89746,               0.003251,               0.003251,               0.003251
                      5,                 1.0102,                 1.2484,                 1.7884,                0.96838,                0.50591,                0.49711,                0.49091,                0.37842,                 0.5062,                0.49324,                0.48508,                0.34324,                0.81292,                0.88616,                 1.4967,                 0.9013,              0.0032347,              0.0032347,              0.0032347
                      6,                0.99337,                 1.2232,                 1.6864,                 0.9639,                0.57236,                0.52495,                0.54487,                0.41859,                0.56706,                 0.5198,                 0.5366,                0.37316,                0.81978,                0.92954,                 1.3869,                0.90185,              0.0032183,              0.0032183,              0.0032183
                      7,                0.97778,                 1.2262,                 1.6201,                0.95992,                0.60466,                0.55718,                0.59174,                0.45354,                0.60241,                  0.552,                0.58661,                 0.4188,                0.82721,                0.90045,                 1.3126,                0.90064,               0.003202,               0.003202,               0.003202
                      8,                0.97024,                 1.2128,                 1.5385,                0.95691,                0.61712,                0.57974,                0.62012,                0.48124,                0.61419,                0.57691,                 0.6139,                0.44222,                0.80403,                0.88816,                 1.2476,                0.89447,              0.0031857,              0.0031857,              0.0031857
                      9,                0.98326,                  1.243,                 1.5245,                0.95946,                0.63196,                0.57474,                0.61785,                0.46792,                0.62941,                0.57241,                0.61362,                0.42647,                0.84407,                0.95872,                 1.3207,                0.91305,              0.0031693,              0.0031693,              0.0031693
                     10,                0.96612,                 1.1833,                  1.472,                0.95252,                0.67717,                0.62556,                0.67824,                0.52332,                0.68851,                0.60595,                0.67285,                0.47661,                 0.7881,                0.86344,                  1.155,                0.88853,               0.003153,               0.003153,               0.003153
                     11,                0.95835,                 1.2045,                 1.4357,                0.95193,                0.70796,                0.63101,                0.69669,                0.53453,                0.70484,                0.62752,                0.69058,                0.48922,                0.79044,                0.88131,                 1.0919,                0.88861,              0.0031366,              0.0031366,              0.0031366
                     12,                 0.9611,                 1.2157,                 1.4099,                0.94863,                0.75001,                0.62837,                0.72332,                0.56288,                 0.7462,                0.62451,                 0.7181,                0.51327,                0.78656,                0.86346,                  1.079,                0.89197,              0.0031203,              0.0031203,              0.0031203
                     13,                0.97761,                 1.2232,                 1.4006,                  0.954,                0.73962,                0.66592,                 0.7264,                0.56718,                0.73559,                0.66223,                0.72082,                0.52439,                0.78843,                0.85815,                 1.0431,                0.88866,               0.003104,               0.003104,               0.003104
                     14,                0.95933,                 1.1971,                 1.3647,                0.95219,                0.72008,                0.65587,                  0.713,                0.55254,                0.72467,                0.64548,                0.70654,                 0.5116,                0.81171,                0.89865,                 1.0762,                 0.8952,              0.0030876,              0.0030876,              0.0030876
                     15,                0.97246,                 1.2305,                 1.3392,                0.95102,                 0.7769,                0.64638,                0.74042,                0.57757,                0.77689,                0.64213,                0.73494,                0.52838,                 0.8005,                0.86903,                  1.037,                0.89227,              0.0030713,              0.0030713,              0.0030713
                     16,                0.96631,                 1.2147,                  1.332,                0.94867,                0.75587,                0.68075,                0.75669,                0.58835,                0.75392,                0.67505,                0.74946,                0.54062,                0.79359,                 0.8622,                 1.0233,                 0.8921,               0.003055,               0.003055,               0.003055
                     17,                0.95681,                 1.1965,                 1.3055,                0.94524,                0.76103,                0.68277,                0.75386,                0.58841,                0.76729,                0.67213,                 0.7439,                0.53534,                0.78341,                 0.8897,                0.96958,                0.88776,              0.0030386,              0.0030386,              0.0030386
                     18,                0.94727,                 1.2046,                  1.288,                0.94435,                0.77433,                0.69903,                 0.7729,                 0.5999,                0.77818,                0.68734,                0.76529,                0.54867,                0.79415,                0.86645,                0.94711,                 0.8887,              0.0030223,              0.0030223,              0.0030223
                     19,                0.94967,                 1.2036,                 1.2773,                0.94151,                0.78246,                0.69467,                0.77953,                0.61019,                0.77948,                 0.6881,                0.77184,                0.55997,                 0.7854,                0.87492,                0.95584,                0.88733,               0.003006,               0.003006,               0.003006
