                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2964,                 2.1976,                 4.5176,                 1.1191,                0.00646,                0.44539,                0.02764,                0.01986,                0.00707,                 0.4854,                0.03007,                0.02146,                 1.1096,                 1.5691,                 4.0555,                0.98384,               0.068031,               0.001091,               0.001091
                      1,                 1.2443,                 1.7662,                 3.5828,                 1.0497,                0.63967,                0.10265,                0.08612,                0.06046,                0.57618,                 0.1034,                0.08598,                0.05893,                 1.1055,                 1.4539,                 2.9904,                 1.0057,                0.03579,              0.0021838,              0.0021838
                      2,                 1.2184,                   1.68,                 2.8748,                 1.0548,                0.22787,                0.16127,                0.10722,                0.07221,                0.22921,                0.16184,                0.10737,                0.06937,                 1.1514,                 1.4828,                 2.6558,                 1.0307,              0.0035425,              0.0032693,              0.0032693
                      3,                 1.2128,                 1.6409,                 2.6082,                 1.0537,                0.22011,                0.24287,                0.16777,                0.11239,                0.21932,                0.24276,                0.16671,                0.10679,                 1.2261,                  1.561,                 2.4514,                 1.0499,              0.0032673,              0.0032673,              0.0032673
                      4,                 1.1871,                 1.5889,                  2.374,                 1.0414,                0.37412,                0.27859,                0.22118,                0.14899,                0.37192,                0.27501,                0.21725,                0.14493,                 1.1611,                 1.3947,                 2.2613,                 1.0253,              0.0032673,              0.0032673,              0.0032673
                      5,                 1.1512,                 1.5359,                 2.2205,                 1.0321,                0.35044,                0.34078,                0.29074,                0.19233,                0.34851,                0.33874,                0.28919,                0.18811,                  1.125,                  1.316,                 2.0808,                 1.0082,              0.0032564,              0.0032564,              0.0032564
                      6,                  1.152,                 1.5181,                 2.0899,                 1.0189,                0.39017,                0.36091,                0.32617,                  0.217,                0.38734,                0.35287,                 0.3199,                0.19974,                 1.0765,                 1.3013,                 1.9221,                0.98442,              0.0032455,              0.0032455,              0.0032455
                      7,                 1.1094,                 1.4654,                 1.9751,                 1.0107,                0.36298,                0.38895,                0.36139,                0.24448,                0.36022,                0.38327,                0.35497,                0.23416,                 1.0889,                 1.3213,                 1.9488,                0.99979,              0.0032347,              0.0032347,              0.0032347
                      8,                 1.1339,                 1.4692,                 1.9124,                 1.0037,                0.45154,                0.41056,                 0.3931,                 0.2716,                0.44756,                0.40689,                 0.3878,                0.25835,                  1.076,                 1.3164,                 1.8869,                0.99666,              0.0032238,              0.0032238,              0.0032238
                      9,                 1.1137,                 1.4383,                 1.8497,                  1.004,                0.53208,                  0.426,                0.42888,                0.29663,                0.52819,                0.42387,                0.42457,                0.28296,                 1.0523,                 1.2612,                 1.7054,                0.97726,              0.0032129,              0.0032129,              0.0032129
                     10,                 1.0919,                 1.4476,                 1.7923,                 1.0008,                 0.5821,                0.41411,                0.43393,                0.29651,                0.57604,                 0.4074,                0.42646,                0.27402,                 1.0657,                 1.2736,                 1.7823,                0.99878,               0.003202,               0.003202,               0.003202
                     11,                 1.0838,                  1.406,                 1.7754,                 0.9953,                0.49476,                0.49749,                0.49897,                0.34243,                0.49384,                0.49479,                0.49557,                0.32693,                 1.0167,                 1.2114,                 1.5791,                0.96843,              0.0031911,              0.0031911,              0.0031911
                     12,                  1.077,                 1.4202,                  1.711,                0.99311,                0.47104,                0.50634,                0.50149,                0.34333,                0.50564,                0.45393,                0.49053,                0.32901,                 1.0359,                 1.2511,                 1.6263,                0.97785,              0.0031802,              0.0031802,              0.0031802
                     13,                 1.0788,                 1.4244,                 1.6572,                0.99606,                0.57144,                0.46857,                 0.5112,                0.34774,                0.57131,                0.46335,                0.50358,                 0.3284,                 1.0251,                 1.2391,                 1.5708,                0.98244,              0.0031693,              0.0031693,              0.0031693
                     14,                 1.0717,                 1.4039,                 1.6495,                0.98897,                0.53002,                0.49958,                 0.5231,                0.35609,                0.52399,                  0.494,                0.51581,                0.33328,                 1.0301,                 1.2332,                  1.538,                0.97503,              0.0031584,              0.0031584,              0.0031584
                     15,                 1.0586,                 1.3632,                 1.5894,                0.98204,                  0.603,                0.55569,                0.56614,                0.39818,                0.59773,                0.55187,                0.56149,                 0.3756,                0.99926,                 1.1711,                 1.4701,                0.96199,              0.0031475,              0.0031475,              0.0031475
                     16,                 1.0643,                 1.3581,                 1.5704,                0.98259,                0.53257,                0.57542,                0.55568,                0.38449,                0.52876,                0.56987,                0.54751,                0.35991,                 1.0089,                 1.2129,                 1.4961,                0.96358,              0.0031366,              0.0031366,              0.0031366
                     17,                 1.0507,                 1.3372,                 1.5165,                0.98013,                0.59533,                0.54921,                0.56581,                0.39097,                0.59495,                0.54519,                0.56122,                 0.3705,                 0.9981,                 1.1795,                 1.4477,                 0.9639,              0.0031258,              0.0031258,              0.0031258
                     18,                 1.0519,                 1.3486,                 1.4949,                 0.9804,                0.67856,                0.52285,                0.59064,                0.40978,                0.54345,                0.59528,                0.58141,                0.39689,                0.99701,                 1.1595,                 1.4028,                0.96215,              0.0031149,              0.0031149,              0.0031149
                     19,                 1.0298,                 1.3284,                 1.5019,                0.97122,                0.70662,                0.49627,                0.57969,                0.40367,                0.70517,                0.49049,                0.57084,                0.38743,                 1.0024,                 1.2038,                 1.4294,                0.96857,               0.003104,               0.003104,               0.003104
                     20,                 1.0306,                 1.3125,                 1.4688,                0.97233,                0.65288,                0.49411,                0.58135,                 0.4064,                0.66811,                0.47957,                 0.5734,                0.39286,                 1.0016,                 1.1672,                  1.408,                0.96025,              0.0030931,              0.0030931,              0.0030931
                     21,                  1.028,                  1.289,                 1.4293,                0.96718,                0.66258,                0.51397,                0.58681,                0.40164,                0.56314,                0.58281,                0.58174,                0.37996,                 1.0013,                 1.1855,                 1.4213,                0.96254,              0.0030822,              0.0030822,              0.0030822
                     22,                 1.0227,                 1.2913,                 1.4091,                0.96765,                0.67365,                0.57318,                0.60518,                 0.4266,                0.67116,                 0.5706,                0.60121,                0.40177,                0.98463,                  1.183,                 1.3487,                0.95342,              0.0030713,              0.0030713,              0.0030713
                     23,                 1.0182,                 1.2806,                 1.3992,                0.96588,                0.66195,                0.55739,                0.63265,                0.44065,                0.66235,                0.55719,                0.62787,                0.41698,                0.97687,                 1.1353,                  1.319,                0.95792,              0.0030604,              0.0030604,              0.0030604
                     24,                 1.0031,                 1.2937,                 1.3709,                0.95534,                0.65882,                0.57524,                0.62342,                0.43381,                0.65692,                0.57442,                 0.6187,                0.41143,                0.97101,                 1.1512,                 1.3358,                0.95609,              0.0030495,              0.0030495,              0.0030495
                     25,                  1.007,                  1.283,                 1.3627,                 0.9643,                0.63502,                0.57387,                0.62296,                0.43069,                0.63067,                0.57007,                0.61601,                0.40751,                 1.0059,                 1.1797,                 1.3476,                 0.9695,              0.0030386,              0.0030386,              0.0030386
                     26,                 1.0079,                 1.2826,                 1.3524,                0.95908,                0.59918,                0.63208,                 0.6181,                0.43267,                0.59628,                0.62908,                0.61292,                0.41295,                 0.9631,                 1.1417,                 1.3413,                0.94717,              0.0030278,              0.0030278,              0.0030278
