                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4199,                   2.34,                 5.2539,                 1.2399,                0.03515,                0.07772,                0.01182,                0.00785,                0.03568,                 0.0799,                0.01238,                 0.0081,                 1.2422,                 1.7691,                 4.5275,                 1.1402,               0.066976,             3.6366e-05,             3.6366e-05
                      1,                 1.3163,                 2.0608,                 4.1326,                 1.1815,                0.05617,                0.09236,                0.04117,                0.02943,                0.05645,                0.09369,                0.04215,                0.02823,                 1.1501,                 1.5816,                 3.6346,                 1.1021,               0.033679,             7.2792e-05,             7.2792e-05
                      2,                  1.206,                 1.8247,                 3.3966,                 1.1338,                 0.0944,                0.13745,                 0.0831,                0.05845,                0.09404,                0.13719,                0.08352,                 0.0544,                 1.0643,                 1.4231,                 3.1033,                 1.0668,              0.0003822,             0.00010898,             0.00010898
                      3,                 1.1403,                 1.7046,                 2.9099,                 1.1018,                0.21054,                0.18079,                 0.1316,                0.09452,                0.21093,                0.17989,                 0.1308,                0.08713,                0.99702,                 1.3073,                 2.6395,                  1.036,             0.00010891,             0.00010891,             0.00010891
                      4,                 1.0941,                 1.5909,                 2.5938,                 1.0772,                0.18281,                0.22126,                0.16628,                0.12054,                 0.1854,                0.21482,                0.16547,                0.10949,                0.97327,                 1.2795,                 2.3827,                 1.0161,             0.00010891,             0.00010891,             0.00010891
                      5,                 1.0391,                 1.5194,                 2.4058,                 1.0509,                0.27942,                0.24951,                0.19769,                0.14358,                0.27999,                0.24395,                 0.1964,                0.13045,                0.93187,                 1.2095,                 2.2091,                0.99398,             0.00010855,             0.00010855,             0.00010855
                      6,                  1.031,                 1.4628,                 2.2522,                 1.0319,                0.23653,                0.30516,                0.23306,                0.16986,                0.23323,                0.30839,                0.23167,                0.15522,                0.91605,                  1.173,                 2.0553,                0.98029,             0.00010818,             0.00010818,             0.00010818
                      7,                0.99541,                 1.4322,                 2.1011,                 1.0199,                0.25585,                0.33189,                0.25735,                0.18918,                0.25737,                0.32953,                0.25523,                0.17291,                0.89168,                  1.145,                 1.9642,                0.96677,             0.00010782,             0.00010782,             0.00010782
                      8,                 1.0113,                  1.415,                 2.0158,                 1.0097,                0.30315,                0.32592,                 0.2818,                 0.2067,                0.30227,                0.32487,                0.27896,                0.18919,                0.88105,                 1.1142,                 1.8717,                0.96321,             0.00010746,             0.00010746,             0.00010746
                      9,                0.99398,                 1.3783,                 1.9582,                  1.004,                0.29043,                0.37115,                0.30553,                0.22554,                0.28997,                0.37045,                0.30312,                0.20652,                0.87948,                 1.1028,                 1.7964,                0.95787,              0.0001071,              0.0001071,              0.0001071
                     10,                0.97204,                 1.3706,                 1.8795,                0.99592,                0.41198,                 0.3424,                0.31955,                0.23693,                0.40642,                0.34305,                0.31537,                0.21623,                0.86821,                 1.0867,                 1.7502,                0.95024,             0.00010673,             0.00010673,             0.00010673
                     11,                0.95767,                  1.339,                 1.8429,                0.99002,                0.41967,                0.39447,                 0.3532,                0.26266,                0.41707,                0.39216,                0.34917,                0.23833,                  0.862,                 1.0759,                 1.6824,                0.95035,             0.00010637,             0.00010637,             0.00010637
                     12,                0.96553,                 1.3357,                 1.7951,                 0.9898,                0.47365,                0.38055,                0.36695,                 0.2735,                0.47086,                0.37875,                0.36318,                0.24984,                0.85507,                 1.0629,                 1.6404,                0.94439,             0.00010601,             0.00010601,             0.00010601
                     13,                0.96736,                 1.3421,                 1.7078,                0.99144,                0.45078,                 0.4257,                0.39368,                0.29233,                0.44954,                0.42045,                0.38702,                0.26784,                0.85444,                 1.0582,                 1.5848,                 0.9434,             0.00010564,             0.00010564,             0.00010564
                     14,                0.96049,                 1.3191,                 1.7075,                0.97986,                0.46765,                0.43512,                 0.4289,                0.32612,                0.46611,                0.43337,                0.42492,                0.30105,                  0.846,                 1.0373,                 1.5585,                0.93902,             0.00010528,             0.00010528,             0.00010528
                     15,                0.94957,                 1.2945,                 1.6318,                0.97534,                 0.4755,                0.46686,                0.44969,                0.34072,                0.47303,                0.46506,                 0.4462,                0.31617,                0.84786,                 1.0372,                 1.5246,                0.93973,             0.00010492,             0.00010492,             0.00010492
                     16,                0.96271,                 1.2657,                 1.6049,                  0.978,                0.46606,                0.45301,                0.45325,                0.34555,                0.46854,                0.44841,                0.44795,                0.31813,                0.84704,                 1.0427,                 1.5255,                0.93614,             0.00010456,             0.00010456,             0.00010456
                     17,                0.95087,                 1.2702,                 1.5612,                0.97253,                0.51669,                0.48874,                0.48138,                 0.3688,                0.50846,                0.48518,                0.47614,                0.33826,                0.84234,                 1.0336,                 1.4815,                0.93572,             0.00010419,             0.00010419,             0.00010419
                     18,                0.95036,                  1.277,                 1.5342,                0.97295,                0.48347,                0.50404,                0.48642,                0.36912,                0.47837,                0.49794,                0.47962,                0.33901,                0.84416,                 1.0266,                 1.4523,                0.93441,             0.00010383,             0.00010383,             0.00010383
                     19,                 0.9272,                 1.2756,                 1.5186,                0.96641,                0.52768,                0.50293,                0.50475,                0.38818,                0.52435,                0.50491,                0.50158,                 0.3569,                0.83555,                 1.0254,                 1.4157,                0.93316,             0.00010347,             0.00010347,             0.00010347
                     20,                0.92979,                 1.2406,                 1.4929,                0.96687,                0.55827,                0.51719,                0.52361,                0.40001,                0.55674,                0.51538,                0.51974,                0.36973,                0.84185,                 1.0205,                  1.388,                0.93489,              0.0001031,              0.0001031,              0.0001031
                     21,                0.93268,                  1.237,                 1.4657,                0.96344,                0.58312,                 0.5069,                0.53216,                0.40799,                0.58232,                0.50836,                0.52935,                0.37505,                0.83102,                 1.0091,                 1.3647,                 0.9286,             0.00010274,             0.00010274,             0.00010274
                     22,                0.92457,                 1.2254,                 1.4423,                0.96012,                0.59946,                0.49176,                 0.5363,                0.41251,                0.60105,                0.48805,                0.53253,                0.37721,                0.83415,                 1.0232,                 1.3547,                0.92695,             0.00010238,             0.00010238,             0.00010238
                     23,                0.91611,                 1.2034,                 1.4305,                0.95504,                0.59292,                0.49859,                 0.5375,                0.41386,                0.59238,                0.49737,                0.53373,                0.37975,                0.81956,                 1.0031,                 1.3575,                0.92277,             0.00010201,             0.00010201,             0.00010201
                     24,                0.91077,                 1.2219,                  1.391,                0.95529,                  0.571,                0.51006,                0.55162,                0.42339,                0.57066,                0.51067,                0.54999,                0.38661,                0.82533,                 1.0057,                 1.3371,                0.92413,             0.00010165,             0.00010165,             0.00010165
                     25,                0.91767,                 1.2155,                  1.386,                 0.9602,                0.53015,                0.54865,                0.53342,                0.40413,                 0.5297,                0.54844,                0.53102,                0.37098,                0.82303,                 1.0057,                 1.3431,                 0.9235,             0.00010129,             0.00010129,             0.00010129
                     26,                0.90863,                 1.2174,                 1.3679,                0.95409,                0.53372,                0.56351,                0.55759,                0.42841,                0.53469,                0.55988,                0.55352,                0.39309,                0.81595,                0.99406,                 1.2988,                0.92015,             0.00010093,             0.00010093,             0.00010093
                     27,                0.90549,                 1.2135,                 1.3477,                0.95156,                0.60364,                 0.5156,                0.57297,                0.44103,                0.63124,                0.50207,                0.57143,                0.40763,                0.81713,                0.99498,                 1.2747,                0.92097,             0.00010056,             0.00010056,             0.00010056
                     28,                 0.9104,                 1.2301,                  1.326,                0.94896,                0.56593,                0.54859,                 0.5758,                0.44115,                0.56567,                 0.5474,                0.57363,                0.40968,                0.81881,                0.99158,                 1.2919,                0.92049,              0.0001002,              0.0001002,              0.0001002
                     29,                0.92099,                 1.2198,                  1.314,                0.95379,                0.61329,                0.53366,                0.58953,                0.45446,                0.61185,                0.53397,                0.58778,                0.42048,                0.81635,                0.98769,                 1.2689,                0.91853,             9.9836e-05,             9.9836e-05,             9.9836e-05
                     30,                0.89004,                 1.1903,                 1.2914,                 0.9457,                 0.5665,                0.60053,                0.59517,                 0.4593,                0.56819,                0.59255,                0.59135,                0.42197,                 0.8035,                0.97818,                 1.2488,                0.91609,             9.9473e-05,             9.9473e-05,             9.9473e-05
                     31,                 0.8986,                 1.1731,                 1.3042,                0.94736,                0.61135,                0.52745,                0.58133,                0.44558,                0.61295,                0.52608,                0.57673,                 0.4092,                 0.8137,                0.98391,                  1.248,                0.91788,              9.911e-05,              9.911e-05,              9.911e-05
                     32,                0.90069,                 1.1941,                  1.297,                0.94959,                0.58193,                0.58527,                0.59839,                0.45878,                0.58201,                0.58663,                0.59766,                0.42128,                0.80504,                 0.9736,                 1.2166,                0.91473,             9.8747e-05,             9.8747e-05,             9.8747e-05
                     33,                0.89153,                 1.1492,                 1.2602,                0.94548,                0.63425,                0.55089,                0.58586,                0.44579,                0.63272,                0.54686,                0.58124,                0.40837,                0.81243,                0.98645,                 1.2193,                0.91731,             9.8384e-05,             9.8384e-05,             9.8384e-05
                     34,                0.89884,                 1.1992,                 1.2463,                0.94396,                0.58794,                0.61431,                0.60455,                0.46293,                0.59535,                0.61084,                0.60295,                0.42749,                0.80844,                 0.9733,                  1.203,                0.91378,             9.8021e-05,             9.8021e-05,             9.8021e-05
                     35,                0.88825,                 1.1623,                 1.2576,                 0.9465,                 0.5726,                0.62491,                0.60743,                0.46758,                0.57236,                0.62323,                0.60442,                0.43119,                0.80275,                0.97792,                 1.1839,                0.91355,             9.7658e-05,             9.7658e-05,             9.7658e-05
